Date,Machine,Group,Island,種別,開始時刻,開始差玉,終了時刻,終了差玉,増減差玉,時間(分)
2026/08/28,0035,8,s2,当り,11:41,-1956,11:41,-1956,0,0
2026/08/28,0035,8,s2,当り,11:58,-1956,11:58,-1956,0,0
2026/08/28,0035,8,s2,当り,12:28,-3333,12:29,-3333,0,1
2026/08/28,0035,8,s2,当り,13:18,-3778,14:13,-3333,445,55
2026/08/28,0035,8,s2,当り,14:35,-3244,14:36,-3244,0,1
2026/08/28,0035,8,s2,当り,18:10,-3911,18:11,-3911,0,1
2026/08/28,0035,8,s2,当り,18:30,-4044,18:45,-3689,355,15
2026/08/28,0035,8,s2,当り,18:48,-3644,18:49,-3689,-45,1
2026/08/28,0035,8,s2,当り,19:42,-6178,19:42,-6178,0,0
2026/08/28,0035,8,s2,当り,20:13,-6800,20:14,-6800,0,1
2026/08/28,0035,8,s2,大当り,20:19,-6800,21:14,-3644,3156,55
2026/08/28,0035,8,s2,大当り,21:35,-2844,22:30,4224,7068,55
2026/08/28,0036,9,s2,当り,11:08,0,11:09,0,0,1
2026/08/28,0036,9,s2,当り,11:41,-267,11:41,-267,0,0
2026/08/28,0036,9,s2,当り,12:03,-889,12:04,-889,0,1
2026/08/28,0036,9,s2,当り,12:17,-578,12:17,-578,0,0
2026/08/28,0036,9,s2,大当り,13:02,-2800,14:06,3707,6507,64
2026/08/28,0036,9,s2,当り,15:16,3491,15:16,3491,0,0
2026/08/28,0036,9,s2,当り,15:51,2845,15:52,2802,-43,1
2026/08/28,0036,9,s2,当り,16:17,2371,16:17,2371,0,0
2026/08/28,0036,9,s2,当り,19:20,2069,19:21,2112,43,1
2026/08/28,0036,9,s2,当り,19:28,2026,19:29,2026,0,1
2026/08/28,0036,9,s2,当り,19:56,1121,19:57,1078,-43,1
2026/08/28,0036,9,s2,当り,21:53,-978,22:07,0,978,14
2026/08/28,0037,1,s2,大当り,17:32,-400,18:23,1767,2167,51
2026/08/28,0037,1,s2,当り,20:01,86,20:29,517,431,28
2026/08/28,0038,2,s2,大当り,12:35,0,13:28,2069,2069,53
2026/08/28,0038,2,s2,大当り,13:30,2241,15:26,13103,10862,116
2026/08/28,0038,2,s2,当り,16:26,13103,16:48,13966,863,22
2026/08/28,0038,2,s2,当り,18:57,13276,18:57,13276,0,0
2026/08/28,0038,2,s2,当り,19:04,13276,19:23,13879,603,19
2026/08/28,0038,2,s2,当り,19:57,12759,19:57,12759,0,0
2026/08/28,0038,2,s2,当り,20:21,11897,21:11,13190,1293,50
2026/08/28,0038,2,s2,当り,21:12,13190,21:47,13621,431,35
2026/08/28,0039,3,s3,大当り,11:16,86,11:47,4267,4181,31
2026/08/28,0039,3,s3,大当り,11:48,4655,12:08,7586,2931,20
2026/08/28,0039,3,s3,当り,12:42,7069,12:42,7069,0,0
2026/08/28,0039,3,s3,当り,14:51,3707,15:07,5086,1379,16
2026/08/28,0040,4,s3,大当り,11:03,0,11:30,1724,1724,27
2026/08/28,0040,4,s3,大当り,12:40,1638,13:49,12155,10517,69
2026/08/28,0040,4,s3,大当り,17:34,4828,18:09,10172,5344,35
2026/08/28,0041,5,s3,当り,12:18,86,12:27,517,431,9
2026/08/28,0041,5,s3,当り,15:22,-4978,15:22,-4978,0,0
2026/08/28,0041,5,s3,大当り,16:55,-9333,17:18,-5867,3466,23
2026/08/28,0041,5,s3,大当り,17:20,-5511,18:06,2931,8442,46
2026/08/28,0042,6,s3,当り,10:50,0,11:28,776,776,38
2026/08/28,0042,6,s3,当り,13:15,-3644,13:16,-3556,88,1
2026/08/28,0042,6,s3,大当り,18:16,-8711,19:10,-4622,4089,54
2026/08/28,0043,7,s3,当り,11:23,0,11:47,647,647,24
2026/08/28,0043,7,s3,大当り,12:44,345,13:09,7026,6681,25
2026/08/28,0043,7,s3,当り,14:46,3190,15:07,4138,948,21
2026/08/28,0043,7,s3,大当り,16:14,2845,16:46,6379,3534,32
2026/08/28,0043,7,s3,大当り,19:06,2414,19:29,4655,2241,23
2026/08/28,0044,8,s3,大当り,10:11,345,11:05,2759,2414,54
2026/08/28,0044,8,s3,大当り,11:09,2931,11:47,5948,3017,38
2026/08/28,0044,8,s3,大当り,11:49,6121,12:06,7759,1638,17
2026/08/28,0044,8,s3,当り,12:32,6638,12:48,8017,1379,16
2026/08/28,0044,8,s3,大当り,13:47,5172,14:29,16983,11811,42
2026/08/28,0045,9,s3,大当り,14:12,-12800,14:40,-9067,3733,28
2026/08/28,0045,9,s3,当り,14:42,-8978,14:42,-8978,0,0
2026/08/28,0046,1,s3,大当り,13:53,-5106,14:32,-383,4723,39
2026/08/28,0046,1,s3,大当り,14:34,0,15:09,5826,5826,35
2026/08/28,0046,1,s3,大当り,15:10,6198,15:26,9174,2976,16
2026/08/28,0046,1,s3,大当り,15:27,9421,15:49,12025,2604,22
2026/08/28,0046,1,s3,大当り,15:50,12397,16:13,16612,4215,23
2026/08/28,0046,1,s3,大当り,16:14,16612,16:46,20826,4214,32
2026/08/28,0047,2,s3,当り,12:22,-1787,12:23,-1787,0,1
2026/08/28,0047,2,s3,当り,17:16,-12894,17:16,-12894,0,0
2026/08/28,0048,3,s3,当り,14:32,-6222,14:46,-5067,1155,14
2026/08/28,0048,3,s3,当り,16:32,-11467,16:46,-10844,623,14
2026/08/28,0048,3,s3,大当り,18:16,-13333,18:47,-11200,2133,31
2026/08/28,0049,4,s3,大当り,11:32,1293,12:02,5259,3966,30
2026/08/28,0049,4,s3,大当り,14:48,-978,15:09,2026,3004,21
2026/08/28,0049,4,s3,当り,17:28,-4533,17:47,-4000,533,19
2026/08/28,0050,5,s3,当り,16:25,-18255,16:46,-17617,638,21
2026/08/28,0050,5,s3,大当り,18:02,-20170,18:45,-10085,10085,43
2026/08/28,0051,6,s3,大当り,12:39,-3896,13:05,-1948,1948,26
2026/08/28,0051,6,s3,大当り,15:25,-11104,15:54,-4091,7013,29
2026/08/28,0051,6,s3,大当り,15:55,-4091,16:30,2115,6206,35
2026/08/28,0051,6,s3,大当り,16:52,2212,17:07,3750,1538,15
2026/08/28,0051,6,s3,大当り,18:14,4519,19:08,9519,5000,54
2026/08/28,0051,6,s3,大当り,19:09,10000,19:48,14904,4904,39
2026/08/28,0051,6,s3,大当り,20:01,14712,20:50,28077,13365,49
2026/08/28,0052,7,s3,当り,12:03,-5333,12:04,-5333,0,1
2026/08/28,0052,7,s3,大当り,17:14,-18844,17:50,-15200,3644,36
2026/08/28,0052,7,s3,大当り,18:29,-16711,18:47,-14933,1778,18
2026/08/28,0052,7,s3,当り,19:19,-15644,19:19,-15644,0,0
2026/08/28,0053,8,s3,当り,12:21,868,12:21,868,0,0
2026/08/28,0053,8,s3,大当り,13:10,868,13:45,7066,6198,35
2026/08/28,0053,8,s3,大当り,13:47,7438,14:27,13760,6322,40
2026/08/28,0053,8,s3,当り,16:00,9917,16:27,10909,992,27
2026/08/28,0053,8,s3,大当り,20:14,2851,21:48,29504,26653,94
2026/08/28,0054,9,s3,大当り,13:45,-10756,14:27,-4000,6756,42
2026/08/28,0054,9,s3,当り,16:51,-10578,17:05,-9956,622,14
2026/08/28,0055,1,s3,大当り,10:11,1121,10:29,4828,3707,18
2026/08/28,0055,1,s3,当り,13:03,-89,13:26,1379,1468,23
2026/08/28,0055,1,s3,当り,13:53,172,13:54,172,0,1
2026/08/28,0055,1,s3,大当り,14:06,517,14:38,3190,2673,32
2026/08/28,0055,1,s3,当り,14:39,3190,14:55,4397,1207,16
2026/08/28,0055,1,s3,大当り,14:56,4397,15:26,6207,1810,30
2026/08/28,0055,1,s3,当り,15:43,5776,15:56,6379,603,13
2026/08/28,0055,1,s3,当り,15:57,6379,16:10,7069,690,13
2026/08/28,0055,1,s3,当り,17:50,4483,18:06,5000,517,16
2026/08/28,0055,1,s3,当り,18:08,5000,18:32,6379,1379,24
2026/08/28,0055,1,s3,大当り,18:34,6638,19:10,11379,4741,36
2026/08/28,0055,1,s3,当り,19:12,11466,19:12,11466,0,0
2026/08/28,0056,2,s3,当り,16:00,-12178,16:30,-11200,978,30
2026/08/28,0057,3,s3,大当り,16:17,-16978,16:50,-14311,2667,33
2026/08/28,0057,3,s3,大当り,17:36,-14578,18:06,-12089,2489,30
