Date,Machine,Group,Island,Open,High,Low,Close,Source,PointCount
2026/08/19,0035,8,s2,0,1965,-3114,1965,image,422
2026/08/19,0036,9,s2,0,0,-8202,-7412,image,422
2026/08/19,0037,1,s2,0,0,-5088,-4254,image,422
2026/08/19,0038,2,s2,0,0,-12456,-3070,image,422
2026/08/19,0039,3,s3,0,4541,-15614,-14561,image,422
2026/08/19,0040,4,s3,0,1135,-6754,-1579,image,422
2026/08/19,0041,5,s3,0,2838,-6535,2838,image,422
2026/08/19,0042,6,s3,0,27500,-380,27500,image,422
2026/08/19,0043,7,s3,0,10742,-5000,6987,image,422
2026/08/19,0044,8,s3,0,17380,-526,8821,image,422
2026/08/19,0045,9,s3,0,3755,-11667,1921,image,422
2026/08/19,0046,1,s3,0,9345,-6974,-6974,image,422
2026/08/19,0047,2,s3,0,25500,-2152,21875,image,422
2026/08/19,0048,3,s3,0,0,-24937,-24937,image,422
2026/08/19,0049,4,s3,0,8821,-5088,1790,image,422
2026/08/19,0050,5,s3,0,32154,-2071,28553,image,422
2026/08/19,0051,6,s3,0,20125,-1899,20000,image,422
2026/08/19,0052,7,s3,0,0,-8947,-3202,image,422
2026/08/19,0053,8,s3,0,9476,-1754,-44,image,422
2026/08/19,0054,9,s3,0,28625,-1772,28375,image,422
2026/08/19,0055,1,s3,0,1310,-16579,-351,image,422
2026/08/19,0056,2,s3,0,13054,-10588,13054,image,422
2026/08/19,0057,3,s3,0,8821,-4912,4978,image,422
2026/08/19,0058,4,s4,0,19825,-1404,14498,image,422
2026/08/19,0059,5,s4,0,0,-25696,-22658,image,422
2026/08/19,0060,6,s4,0,25375,-759,25250,image,422
2026/08/19,0061,7,s4,0,6900,-13333,-13333,image,422
2026/08/19,0062,8,s4,0,0,-22532,-22532,image,422
2026/08/19,0063,9,s4,0,0,-12719,-2719,image,422
2026/08/19,0064,1,s4,0,0,-8421,-8421,image,422
2026/08/19,0065,2,s4,0,12314,-4211,6638,image,422
2026/08/19,0066,3,s4,0,0,-16228,-15000,image,422
2026/08/19,0067,4,s4,0,21375,-2658,18000,image,422
2026/08/19,0068,5,s4,0,9520,-2632,-1711,image,422
2026/08/19,0069,6,s4,0,10655,-2018,8472,image,422
2026/08/19,0070,7,s4,0,0,-14035,-12544,image,422
2026/08/19,0071,8,s4,0,0,-9298,-9298,image,422
2026/08/19,0072,9,s4,0,9214,-5132,1266,image,422
2026/08/19,0073,1,s4,0,15721,-614,4978,image,422
2026/08/19,0074,2,s4,0,0,-14123,-14123,image,422
2026/08/19,0075,3,s4,0,19875,-2785,6000,image,422
2026/08/19,0076,4,s4,0,0,-6535,-6184,image,422
2026/08/19,0077,5,s4,0,15808,-8421,15808,image,422
2026/08/19,0118,1,s7,0,21500,-253,15375,image,422
2026/08/19,0119,2,s7,0,0,-8289,-8289,image,422
2026/08/19,0120,3,s7,0,0,-2719,-2719,image,422
2026/08/19,0121,4,s7,0,0,-833,-833,image,422
2026/08/19,0148,4,s8,0,0,-2105,-2105,image,422
2026/08/19,0149,5,s8,0,0,-3421,-3421,image,422
2026/08/19,0150,6,s8,0,0,-3465,-3465,image,422
2026/08/19,0151,7,s8,0,6638,0,1659,image,422
2026/08/19,0152,8,s8,0,0,-4868,-4868,image,422
2026/08/19,0153,9,s8,0,0,-7237,-7237,image,422
2026/08/19,0154,1,s9,0,34855,-1683,33698,image,422
2026/08/19,0155,2,s9,0,0,-3289,-3289,image,422
2026/08/19,0156,3,s9,0,0,-12368,-12368,image,422
2026/08/19,0157,4,s9,0,0,-5000,-5000,image,422
2026/08/19,0158,5,s9,0,0,-16491,-16491,image,422
2026/08/19,0159,6,s9,0,11441,-965,11354,image,422
2026/08/19,1173,3,sl1,0,8956,0,8668,image,422
2026/08/19,1174,4,sl1,0,0,-772,-44,image,422
2026/08/19,1175,5,sl1,0,0,-1825,-1825,image,422
2026/08/19,1176,6,sl1,0,0,-1333,-149,image,422
2026/08/19,1177,7,sl1,0,0,-1026,-693,image,422
2026/08/19,1178,8,sl1,0,1258,-588,-518,image,422
2026/08/19,1179,9,sl1,0,568,-1632,-1632,image,422
2026/08/19,1180,1,sl1,0,332,-325,166,image,422
2026/08/19,1015,7,sl2,0,0,-439,-439,image,422
2026/08/19,1016,8,sl2,0,0,-482,-482,image,422
2026/08/19,1017,9,sl2,0,0,-711,-711,image,422
2026/08/19,1018,1,sl2,0,4436,-882,4414,image,422
