Date,Machine,Group,Island,Open,High,Low,Close,Source,PointCount
2026/09/02,0035,8,s2,0,3534,-4089,345,svg,45
2026/09/02,0036,9,s2,0,862,-10844,-10311,svg,36
2026/09/02,0037,1,s2,0,0,-7556,-7200,svg,39
2026/09/02,0038,2,s2,0,3190,-2933,3017,svg,34
2026/09/02,0039,3,s3,0,345,-16000,-16000,svg,36
2026/09/02,0040,4,s3,0,4224,-4356,2845,svg,37
2026/09/02,0041,5,s3,0,9655,-9422,7931,svg,45
2026/09/02,0042,6,s3,0,11034,-4267,10000,svg,47
2026/09/02,0043,7,s3,0,30256,-2338,28718,svg,41
2026/09/02,0044,8,s3,0,4052,-7911,-7911,svg,46
2026/09/02,0045,9,s3,0,1034,-5333,345,svg,38
2026/09/02,0046,1,s3,0,6293,-978,2845,svg,44
2026/09/02,0047,2,s3,0,0,-16533,-16533,svg,32
2026/09/02,0048,3,s3,0,0,-16356,-11378,svg,39
2026/09/02,0049,4,s3,0,1466,-7644,603,svg,34
2026/09/02,0050,5,s3,0,5000,-7556,-7556,svg,40
2026/09/02,0051,6,s3,0,2759,-12800,-12800,svg,43
2026/09/02,0052,7,s3,0,8707,-8889,3362,svg,42
2026/09/02,0053,8,s3,0,10172,-1956,10000,svg,48
2026/09/02,0054,9,s3,0,2241,-7022,-7022,svg,38
2026/09/02,0055,1,s3,0,0,-20426,-19660,svg,37
2026/09/02,0056,2,s3,0,8448,-10133,-4800,svg,42
2026/09/02,0057,3,s3,0,8879,-3022,4655,svg,45
2026/09/02,0058,4,s4,0,11552,-178,1897,svg,41
2026/09/02,0059,5,s4,0,0,-13511,-13511,svg,35
2026/09/02,0060,6,s4,0,7328,-3822,6466,svg,41
2026/09/02,0061,7,s4,0,16724,-1956,12759,svg,40
2026/09/02,0062,8,s4,0,5172,-5956,-2311,svg,43
2026/09/02,0063,9,s4,0,0,-16178,-16178,svg,34
2026/09/02,0064,1,s4,0,0,-13689,-12089,svg,33
2026/09/02,0065,2,s4,0,5948,-8533,5948,svg,38
2026/09/02,0066,3,s4,0,0,-12978,-9600,svg,38
2026/09/02,0067,4,s4,0,0,-12089,-6400,svg,39
2026/09/02,0068,5,s4,0,2328,-6133,-6133,svg,40
2026/09/02,0069,6,s4,0,517,-14578,-14578,svg,49
2026/09/02,0070,7,s4,0,28017,-511,25289,svg,38
2026/09/02,0071,8,s4,0,17931,-6933,11034,svg,37
2026/09/02,0072,9,s4,0,0,-12267,-12267,svg,41
2026/09/02,0073,1,s4,0,517,-12267,-12267,svg,35
2026/09/02,0074,2,s4,0,9655,-5600,4310,svg,33
2026/09/02,0075,3,s4,0,9655,-2578,-1600,svg,37
2026/09/02,0076,4,s4,0,0,-15644,-15644,svg,45
2026/09/02,0077,5,s4,0,7586,-6756,-2133,svg,39
2026/09/02,0118,1,s7,0,4828,-3200,1638,svg,34
2026/09/02,0119,2,s7,0,0,0,0,svg,87
2026/09/02,0120,3,s7,0,6638,-4711,2500,svg,65
2026/09/02,0121,4,s7,0,0,0,0,svg,87
2026/09/02,0148,4,s8,0,38974,-1818,35385,svg,28
2026/09/02,0149,5,s8,0,8448,-1333,7586,svg,43
2026/09/02,0150,6,s8,0,52812,-947,52812,svg,71
2026/09/02,0151,7,s8,0,0,-25532,-25532,svg,42
2026/09/02,0152,8,s8,0,172,-6667,-6667,svg,47
2026/09/02,0153,9,s8,0,0,-3111,-3111,svg,38
2026/09/02,0154,1,s9,0,0,-13511,-13511,svg,35
2026/09/02,0155,2,s9,0,0,-5156,-5156,svg,53
2026/09/02,0156,3,s9,0,0,-3822,-3822,svg,53
2026/09/02,0157,4,s9,0,0,-6311,-6311,svg,36
2026/09/02,0158,5,s9,0,8017,-3289,5345,svg,26
2026/09/02,0159,6,s9,0,27521,-1532,27521,svg,50
2026/09/02,1015,7,sl2,0,0,-2347,-2347,svg,45
2026/09/02,1016,8,sl2,0,0,-1333,-1333,svg,45
2026/09/02,1017,9,sl2,0,5532,-303,5532,svg,52
2026/09/02,1018,1,sl2,0,0,-142,-142,svg,33
2026/09/02,1173,3,sl1,0,138,-409,-409,svg,21
2026/09/02,1174,4,sl1,0,0,-427,-409,svg,31
2026/09/02,1175,5,sl1,0,1138,-711,-89,svg,27
2026/09/02,1176,6,sl1,0,379,0,379,svg,34
2026/09/02,1177,7,sl1,0,138,-516,-516,svg,19
2026/09/02,1178,8,sl1,0,0,-1956,-1813,svg,16
2026/09/02,1179,9,sl1,0,431,-1120,-533,svg,33
2026/09/02,1180,1,sl1,0,0,-2311,-2240,svg,39
