bonus_id,time,start,status
37,20:44,9,継続
36,20:41,14,継続
35,20:31,34,継続
34,20:26,8,継続
33,20:22,35,継続
32,20:16,93,初当り
31,20:02,104,初当り
30,19:43,2,継続
29,19:41,129,初当り
28,19:19,6,継続
27,19:16,3,継続
26,19:15,3,継続
25,19:13,172,初当り
24,17:31,8,継続
23,17:28,409,初当り
22,16:38,7,継続
21,16:35,91,初当り
20,16:21,188,初当り
19,15:42,53,初当り
18,15:36,1,継続
17,15:34,6,継続
16,15:31,20,継続
15,15:27,158,初当り
14,15:01,82,初当り
13,14:40,10,継続
12,14:38,8,継続
11,14:35,7,継続
10,14:33,39,継続
9,14:27,82,初当り
8,13:38,5,継続
7,13:35,31,継続
6,13:30,4,継続
5,13:28,195,初当り
4,12:37,364,初当り
3,11:43,457,初当り
2,10:44,51,初当り
1,10:38,30,初当り
