feature,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,feature_family,machine_consistency,machine_rates
UP-UP-UP,29,23,0.7931034482758621,0.49166666666666664,0.30143678160919546,0.6160955339174228,0.9015406348441479,direction_pattern,4,049=0.7143(n=7); 056=0.8750(n=8); 075=0.8000(n=5); 077=0.7778(n=9)
low + BOTTOM,12,9,0.75,0.49166666666666664,0.25833333333333336,0.46768966087934005,0.9110599603710386,convergence_region,4,049=0.5000(n=2); 056=0.7500(n=4); 075=1.0000(n=4); 077=0.5000(n=2)
RIGHT + STABLE,21,15,0.7142857142857143,0.49166666666666664,0.22261904761904766,0.500432261771624,0.8618632425437179,region_regime,3,049=0.6000(n=5); 056=0.5000(n=6); 075=1.0000(n=4); 077=0.8333(n=6)
low + RIGHT,52,37,0.7115384615384616,0.49166666666666664,0.21987179487179492,0.5772695428589907,0.816701976581713,convergence_region,4,049=0.7692(n=13); 056=0.7500(n=12); 075=0.6667(n=12); 077=0.6667(n=15)
RIGHT,61,41,0.6721311475409836,0.49166666666666664,0.18046448087431693,0.5472157118133126,0.7766504481827393,region,4,049=0.6875(n=16); 056=0.6667(n=15); 075=0.7143(n=14); 077=0.6250(n=16)
BOTTOM,27,18,0.6666666666666666,0.49166666666666664,0.175,0.47824419872105484,0.8135694555640665,region,4,049=0.5714(n=7); 056=0.7500(n=8); 075=0.8333(n=6); 077=0.5000(n=6)
RIGHT + TRANSITION,15,10,0.6666666666666666,0.49166666666666664,0.175,0.41713125151212976,0.8482389930530876,region_regime,3,049=0.8000(n=5); 056=0.6667(n=3); 075=0.5000(n=4); 077=0.6667(n=3)
BOTTOM + TRANSITION,9,6,0.6666666666666666,0.49166666666666664,0.175,0.35419734749908977,0.879418401317257,region_regime,1,049=(n=0); 056=1.0000(n=4); 075=0.5000(n=2); 077=0.3333(n=3)
middle + BOTTOM,9,6,0.6666666666666666,0.49166666666666664,0.175,0.35419734749908977,0.879418401317257,convergence_region,3,049=0.6667(n=3); 056=1.0000(n=2); 075=0.5000(n=2); 077=0.5000(n=2)
UP-DOWN-UP,29,19,0.6551724137931034,0.49166666666666664,0.16350574712643678,0.47344776507155983,0.8005949125080951,direction_pattern,3,049=0.3750(n=8); 056=0.6667(n=6); 075=0.8750(n=8); 077=0.7143(n=7)
RIGHT + INSUFFICIENT_HISTORY,22,14,0.6363636363636364,0.49166666666666664,0.1446969696969697,0.4295134934371804,0.802670272273921,region_regime,4,049=0.6667(n=6); 056=0.8000(n=5); 075=0.6000(n=5); 077=0.5000(n=6)
low + TRANSITION,38,24,0.631578947368421,0.49166666666666664,0.13991228070175438,0.47283672824260115,0.7661598684458619,convergence_regime,4,049=0.5714(n=14); 056=0.8333(n=6); 075=0.7273(n=11); 077=0.4286(n=7)
TRANSITION,49,29,0.5918367346938775,0.49166666666666664,0.1001700680272109,0.4524706997204626,0.7178496539402894,regime,3,049=0.5714(n=14); 056=0.8000(n=10); 075=0.6667(n=12); 077=0.3846(n=13)
UP-UP-DOWN,27,15,0.5555555555555556,0.49166666666666664,0.06388888888888894,0.37312719479576884,0.7241440232992717,direction_pattern,3,049=0.7143(n=7); 056=0.1429(n=7); 075=0.6250(n=8); 077=0.8000(n=5)
TOP + TRANSITION,18,10,0.5555555555555556,0.49166666666666664,0.06388888888888894,0.3371606942825164,0.7544076889861088,region_regime,3,049=0.4000(n=5); 056=0.6667(n=3); 075=0.8000(n=5); 077=0.4000(n=5)
TOP + UNSTABLE,20,11,0.55,0.49166666666666664,0.058333333333333404,0.3420820083075997,0.7418049791429071,region_regime,2,049=0.0000(n=1); 056=0.5714(n=7); 075=0.5000(n=10); 077=1.0000(n=2)
rising,108,58,0.5370370370370371,0.49166666666666664,0.04537037037037045,0.44334384333440474,0.6281858915763978,convergence_change,3,049=0.5556(n=27); 056=0.5714(n=28); 075=0.5385(n=26); 077=0.4815(n=27)
prev_bearish,119,61,0.5126050420168067,0.49166666666666664,0.020938375350140037,0.42381749364556476,0.6006042006338974,prev_bullish,4,049=0.5000(n=30); 056=0.5357(n=28); 075=0.6000(n=25); 077=0.4444(n=36)
low,193,98,0.5077720207253886,0.49166666666666664,0.016105354058721988,0.4377784181819439,0.5774622626497503,convergence_bin,3,049=0.5217(n=46); 056=0.5102(n=49); 075=0.5918(n=49); 077=0.4082(n=49)
phase_cluster=low,193,98,0.5077720207253886,0.49166666666666664,0.016105354058721988,0.4377784181819439,0.5774622626497503,phase_cluster,3,049=0.5217(n=46); 056=0.5102(n=49); 075=0.5918(n=49); 077=0.4082(n=49)
not_high,226,113,0.5,0.49166666666666664,0.00833333333333336,0.43535845059643097,0.564641549403569,hypothesis,3,049=0.4828(n=58); 056=0.5185(n=54); 075=0.5862(n=58); 077=0.4107(n=56)
UNSTABLE,36,18,0.5,0.49166666666666664,0.00833333333333336,0.34474067624730526,0.6552593237526947,regime,1,049=0.0000(n=1); 056=0.4615(n=13); 075=0.5333(n=15); 077=0.5714(n=7)
UP-DOWN-DOWN,34,17,0.5,0.49166666666666664,0.00833333333333336,0.34069062628048985,0.6593093737195102,direction_pattern,3,049=0.7500(n=8); 056=0.5556(n=9); 075=0.6250(n=8); 077=0.1111(n=9)
low + UNSTABLE,28,14,0.5,0.49166666666666664,0.00833333333333336,0.3263284683244634,0.6736715316755366,convergence_regime,2,049=0.0000(n=1); 056=0.4000(n=10); 075=0.6364(n=11); 077=0.5000(n=6)
middle + INSUFFICIENT_HISTORY,10,5,0.5,0.49166666666666664,0.00833333333333336,0.23658959361548731,0.7634104063845126,convergence_regime,1,049=0.3750(n=8); 056=(n=0); 075=1.0000(n=2); 077=(n=0)
middle + TRANSITION,8,4,0.5,0.49166666666666664,0.00833333333333336,0.21521252682444186,0.7847874731755582,convergence_regime,2,049=(n=0); 056=0.6667(n=3); 075=0.0000(n=1); 077=0.5000(n=4)
other,237,117,0.4936708860759494,0.49166666666666664,0.002004219409282748,0.43062871350902454,0.5569149666525424,hypothesis,16,049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4138(n=58); 049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4068(n=59); 049=0.4828(n=58); 056=0.5172(n=58); 075=0.5667(n=60); 077=0.3966(n=58); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60)
other,240,118,0.49166666666666664,0.49166666666666664,0.0,0.42904808854732723,0.5545478196160049,hypothesis,16,049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4138(n=58); 049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4068(n=59); 049=0.4828(n=58); 056=0.5172(n=58); 075=0.5667(n=60); 077=0.3966(n=58); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60)
other,240,118,0.49166666666666664,0.49166666666666664,0.0,0.42904808854732723,0.5545478196160049,hypothesis,16,049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4138(n=58); 049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4068(n=59); 049=0.4828(n=58); 056=0.5172(n=58); 075=0.5667(n=60); 077=0.3966(n=58); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60)
