feature,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,threshold,feature_family
convergence >= 0.5,47,20,0.425531914893617,0.49166666666666664,-0.06613475177304962,0.2951341600182584,0.5671833122878847,0.5,
convergence >= 0.7,14,5,0.35714285714285715,0.49166666666666664,-0.1345238095238095,0.16344490737202735,0.6123599531785959,0.7,
convergence >= 0.8,10,5,0.5,0.49166666666666664,0.00833333333333336,0.23658959361548731,0.7634104063845126,0.8,
middle,33,15,0.45454545454545453,0.49166666666666664,-0.03712121212121211,0.298426891258915,0.6201434205625044,,convergence_bin
low,193,98,0.5077720207253886,0.49166666666666664,0.016105354058721988,0.4377784181819439,0.5774622626497503,,convergence_bin
high,14,5,0.35714285714285715,0.49166666666666664,-0.1345238095238095,0.16344490737202735,0.6123599531785959,,convergence_bin
flat_or_unknown,4,2,0.5,0.49166666666666664,0.00833333333333336,0.15003570882017148,0.8499642911798285,,convergence_change
rising,108,58,0.5370370370370371,0.49166666666666664,0.04537037037037045,0.44334384333440474,0.6281858915763978,,convergence_change
falling,128,58,0.453125,0.49166666666666664,-0.03854166666666664,0.3695064886070455,0.5394751985084021,,convergence_change
not_high,226,113,0.5,0.49166666666666664,0.00833333333333336,0.43535845059643097,0.564641549403569,,hypothesis
high_convergence,14,5,0.35714285714285715,0.49166666666666664,-0.1345238095238095,0.16344490737202735,0.6123599531785959,,hypothesis
other,237,117,0.4936708860759494,0.49166666666666664,0.002004219409282748,0.43062871350902454,0.5569149666525424,,hypothesis
high_convergence+TRANSITION,3,1,0.3333333333333333,0.49166666666666664,-0.15833333333333333,0.0614903152761605,0.7923450448735121,,hypothesis
other,238,117,0.49159663865546216,0.49166666666666664,-7.002801120448154e-05,0.42872147033171826,0.5547387780291922,,hypothesis
high_convergence+TOP,2,1,0.5,0.49166666666666664,0.00833333333333336,0.09452865480086614,0.9054713451991339,,hypothesis
other,234,115,0.49145299145299143,0.49166666666666664,-0.00021367521367521292,0.42805506238599894,0.5551270218246689,,hypothesis
high_convergence+BOTTOM,6,3,0.5,0.49166666666666664,0.00833333333333336,0.18761280689940868,0.8123871931005913,,hypothesis
other,240,118,0.49166666666666664,0.49166666666666664,0.0,0.42904808854732723,0.5545478196160049,,hypothesis
other,240,118,0.49166666666666664,0.49166666666666664,0.0,0.42904808854732723,0.5545478196160049,,hypothesis
