metric,days,min_count,max_count,mean_count,median_count,std_count,p25,p75,mode_count,band,rate
UP_UP_UP,60,0,10,5.05,5.0,2.527308476540452,3.0,7.0,7,,
UP_UP_UP,9,,,,,,,,,0-2,0.15
UP_UP_UP,18,,,,,,,,,3-4,0.3
UP_UP_UP,15,,,,,,,,,5-6,0.25
UP_UP_UP,14,,,,,,,,,7-9,0.23333333333333334
UP_UP_UP,4,,,,,,,,,10+,0.06666666666666667
RIGHT,60,5,15,9.3,9.0,2.409726055180744,7.75,11.0,11,,
LOW_CONVERGENCE_RIGHT,60,2,13,7.3,7.0,2.416749462832607,6.0,9.0,6,,
ANY_SIGNAL,60,6,17,11.35,11.0,2.7048293282414795,9.0,14.0,9,,
ALL_3,60,0,7,1.7166666666666666,1.0,1.70832127596682,0.0,2.25,1,,
ALL_3,45,,,,,,,,,0-2,0.75
ALL_3,10,,,,,,,,,3-4,0.16666666666666666
ALL_3,3,,,,,,,,,5-6,0.05
ALL_3,2,,,,,,,,,7-9,0.03333333333333333
ALL_3,0,,,,,,,,,10+,0.0
