signal,threshold,signal_n,strong_n,precision,capture_rate
UP_UP_UP,3000,80,104,0.6625,0.5096153846153846
UP_UP_UP,5000,80,93,0.6,0.5161290322580645
UP_UP_UP,10000,80,68,0.4625,0.5441176470588235
UP_UP_UP,15000,80,48,0.35,0.5833333333333334
UP_UP_UP,20000,80,27,0.225,0.6666666666666666
RIGHT,3000,100,104,0.62,0.5961538461538461
RIGHT,5000,100,93,0.56,0.6021505376344086
RIGHT,10000,100,68,0.43,0.6323529411764706
RIGHT,15000,100,48,0.31,0.6458333333333334
RIGHT,20000,100,27,0.19,0.7037037037037037
LOW_CONV_RIGHT,3000,88,104,0.6022727272727273,0.5096153846153846
LOW_CONV_RIGHT,5000,88,93,0.5340909090909091,0.5053763440860215
LOW_CONV_RIGHT,10000,88,68,0.42045454545454547,0.5441176470588235
LOW_CONV_RIGHT,15000,88,48,0.3181818181818182,0.5833333333333334
LOW_CONV_RIGHT,20000,88,27,0.19318181818181818,0.6296296296296297
ALL_3,3000,60,104,0.6666666666666666,0.38461538461538464
ALL_3,5000,60,93,0.6166666666666667,0.3978494623655914
ALL_3,10000,60,68,0.5166666666666667,0.45588235294117646
ALL_3,15000,60,48,0.4,0.5
ALL_3,20000,60,27,0.25,0.5555555555555556
score>=2,3000,97,104,0.6185567010309279,0.5769230769230769
score>=2,5000,97,93,0.5567010309278351,0.5806451612903226
score>=2,10000,97,68,0.422680412371134,0.6029411764705882
score>=2,15000,97,48,0.30927835051546393,0.625
score>=2,20000,97,27,0.1958762886597938,0.7037037037037037
