machine,n,all3_n,all3_strong5000,all3_strong10000,all3_close_mean
039,5,1,0.0,0.0,3621.0
040,7,3,0.3333333333333333,0.3333333333333333,8593.333333333334
041,7,2,0.5,0.5,14569.0
042,7,3,1.0,1.0,23624.333333333332
043,4,3,0.3333333333333333,0.3333333333333333,3578.3333333333335
044,6,2,0.0,0.0,-8088.5
045,4,1,1.0,0.0,5517.0
046,5,4,0.75,0.5,13060.0
047,6,0,,,
048,5,1,0.0,0.0,86.0
049,7,1,0.0,0.0,2759.0
050,7,1,1.0,1.0,11207.0
051,7,2,1.0,1.0,16467.5
052,4,2,1.0,1.0,17550.5
053,6,2,0.5,0.5,7034.0
054,4,1,1.0,1.0,28375.0
055,5,1,1.0,1.0,20339.0
056,6,2,1.0,1.0,24286.0
057,5,1,0.0,0.0,-267.0
058,7,0,,,
059,7,2,1.0,1.0,16361.5
060,7,1,0.0,0.0,3451.0
061,4,0,,,
062,6,2,0.5,0.0,1244.0
063,4,2,1.0,1.0,20546.0
064,5,0,,,
065,6,2,0.5,0.5,6252.0
066,5,1,0.0,0.0,3276.0
067,7,2,1.0,1.0,24421.5
068,7,0,,,
069,7,2,0.5,0.0,1046.0
070,4,1,1.0,0.0,9224.0
071,6,1,1.0,1.0,15172.0
072,4,0,,,
073,5,2,0.5,0.0,4220.5
074,6,2,0.5,0.5,-2747.5
075,5,2,0.5,0.5,5573.5
076,7,3,0.3333333333333333,0.3333333333333333,10133.0
077,7,2,1.0,1.0,14806.5
