signal_date,next_date,up_up_up_count,right_count,low_convergence_right_count,any_signal_machine_count,all3_machine_count,down_down_down_count,score_1_count,score_2_count,score_3_count,next_day_bullish_count,next_day_bullish_rate,next_day_Close_mean,next_day_Close_sum,direction_balance
2026-06-27,2026-06-28,4,14,13,16,2,3,1,4,0,18,0.46153846153846156,1719.7277777777779,68006.0,1
2026-06-28,2026-06-29,8,14,12,14,7,5,0,1,1,18,0.46153846153846156,552.95,24721.0,3
2026-06-29,2026-06-30,5,10,8,10,3,2,0,1,1,15,0.38461538461538464,-2149.7444444444445,-66548.0,3
2026-06-30,2026-07-01,2,6,6,6,2,2,0,1,1,16,0.41025641025641024,-417.4555555555555,-8488.0,0
2026-07-01,2026-07-02,7,8,7,11,3,2,1,0,4,18,0.46153846153846156,984.3777777777777,33315.0,5
2026-07-02,2026-07-03,7,8,6,12,1,7,4,1,0,21,0.5384615384615384,5162.633333333333,199966.0,0
2026-07-03,2026-07-04,3,9,8,10,2,8,0,4,1,10,0.2564102564102564,-3383.6722222222224,-125944.0,-5
2026-07-04,2026-07-05,2,9,6,9,0,3,1,4,0,15,0.38461538461538464,366.20000000000005,15711.0,-1
2026-07-05,2026-07-06,4,12,9,12,2,4,0,3,1,19,0.48717948717948717,626.211111111111,37251.0,0
2026-07-06,2026-07-07,2,6,4,7,0,5,1,2,1,16,0.41025641025641024,-1224.6055555555556,-47622.0,-3
2026-07-07,2026-07-08,0,11,10,11,0,5,0,6,1,18,0.46153846153846156,264.1833333333333,20968.0,-5
2026-07-08,2026-07-09,2,7,6,9,0,8,2,2,1,12,0.3076923076923077,-3663.3944444444446,-135932.0,-6
2026-07-09,2026-07-10,10,12,10,15,5,3,1,2,2,17,0.4358974358974359,-2083.827777777778,-72360.0,7
2026-07-10,2026-07-11,5,9,7,13,1,2,3,1,2,20,0.5128205128205128,1167.4388888888889,34267.0,3
2026-07-11,2026-07-12,6,11,9,12,3,3,0,3,2,19,0.48717948717948717,924.088888888889,34044.0,3
2026-07-12,2026-07-13,4,7,7,7,4,6,0,1,2,20,0.5128205128205128,-153.96111111111114,-9784.0,-2
2026-07-13,2026-07-14,10,10,8,17,1,4,1,4,1,19,0.48717948717948717,3084.711111111111,118224.0,6
2026-07-14,2026-07-15,3,8,7,10,1,13,1,1,1,16,0.41025641025641024,-1301.7277777777779,-56348.0,-10
2026-07-15,2026-07-16,7,8,6,12,1,3,1,2,2,17,0.4358974358974359,181.97777777777782,-2001.0,4
2026-07-16,2026-07-17,1,15,10,15,0,2,1,2,1,19,0.48717948717948717,1662.0,57476.0,-1
2026-07-17,2026-07-18,9,9,9,11,7,4,2,0,1,15,0.38461538461538464,-1339.9944444444443,-68851.0,5
2026-07-18,2026-07-19,5,5,2,8,0,5,0,6,0,15,0.38461538461538464,-2245.8722222222223,-93539.0,0
2026-07-19,2026-07-20,5,7,4,9,1,4,0,1,3,20,0.5128205128205128,-657.6555555555556,-13364.0,1
2026-07-20,2026-07-21,9,11,9,15,4,5,2,0,4,18,0.46153846153846156,754.2,23101.0,4
2026-07-21,2026-07-22,4,5,3,9,0,6,1,1,1,18,0.46153846153846156,142.49444444444438,13627.0,-2
2026-07-22,2026-07-23,1,8,8,9,0,4,0,5,1,16,0.41025641025641024,-139.71111111111114,-12564.0,-3
2026-07-23,2026-07-24,3,7,6,7,3,3,0,0,2,17,0.4358974358974359,-1531.6,-45433.0,0
2026-07-24,2026-07-25,6,10,8,13,1,5,0,3,1,16,0.41025641025641024,-1705.3555555555556,-79717.0,1
2026-07-25,2026-07-26,7,11,8,15,0,8,1,3,1,13,0.3333333333333333,-2866.3722222222223,-102931.0,-1
2026-07-26,2026-07-27,5,8,6,12,1,5,0,2,1,16,0.41025641025641024,-320.4222222222222,-17900.0,0
2026-07-27,2026-07-28,6,13,11,14,3,5,0,2,1,18,0.46153846153846156,474.13888888888886,15746.0,1
2026-07-28,2026-07-29,5,11,10,13,2,4,0,2,3,18,0.46153846153846156,682.7388888888888,26670.0,1
2026-07-29,2026-07-30,10,11,6,14,3,5,0,4,2,20,0.5128205128205128,1848.4499999999998,88093.0,5
2026-07-30,2026-07-31,6,10,5,12,2,7,1,2,2,16,0.41025641025641024,-527.8555555555556,-19798.0,-1
2026-07-31,2026-08-01,7,9,7,14,0,3,0,5,2,19,0.48717948717948717,1178.0055555555555,39456.0,4
2026-08-01,2026-08-02,3,11,7,11,1,4,0,4,1,17,0.4358974358974359,-698.5222222222222,-37309.0,-1
2026-08-02,2026-08-03,6,10,9,14,1,2,1,1,2,23,0.5897435897435898,3705.8166666666666,144207.0,4
2026-08-03,2026-08-04,7,10,8,10,5,10,0,2,4,20,0.5128205128205128,1613.888888888889,71258.0,-3
2026-08-04,2026-08-05,3,8,6,9,0,2,0,3,1,18,0.46153846153846156,1144.161111111111,43059.0,1
2026-08-05,2026-08-06,4,8,4,10,1,7,3,4,0,17,0.4358974358974359,-105.21666666666668,10028.0,-3
2026-08-06,2026-08-07,3,7,6,8,1,6,1,4,1,19,0.48717948717948717,2347.7277777777776,78146.0,-3
2026-08-07,2026-08-08,4,7,6,9,1,7,2,6,1,15,0.38461538461538464,-2147.672222222222,-91699.0,-3
2026-08-08,2026-08-09,3,7,5,8,0,8,0,4,1,19,0.48717948717948717,-1613.6,-59782.0,-5
2026-08-09,2026-08-10,7,11,8,16,1,3,0,4,1,19,0.48717948717948717,1603.8722222222223,66009.0,4
