machine,first_date,last_date,ohlc_observation_count,usable_paired_samples,missing_dates,invalid_rows
039,2026-06-27,2026-08-26,61,60,,0
040,2026-06-27,2026-08-26,61,60,,0
041,2026-06-27,2026-08-26,61,60,,0
042,2026-06-27,2026-08-26,61,60,,0
043,2026-06-27,2026-08-26,61,60,,0
044,2026-06-27,2026-08-26,61,60,,0
045,2026-06-27,2026-08-26,61,60,,0
046,2026-06-27,2026-08-26,61,60,,0
047,2026-06-27,2026-08-26,61,60,,0
048,2026-06-27,2026-08-26,61,60,,0
049,2026-06-27,2026-08-26,61,60,,0
050,2026-06-27,2026-08-26,61,60,,0
051,2026-06-27,2026-08-26,61,60,,0
052,2026-06-27,2026-08-26,61,60,,0
053,2026-06-27,2026-08-26,61,60,,0
054,2026-06-27,2026-08-26,61,60,,0
055,2026-06-27,2026-08-26,61,60,,0
056,2026-06-27,2026-08-26,61,60,,0
057,2026-06-27,2026-08-26,61,60,,0
058,2026-06-27,2026-08-26,61,60,,0
059,2026-06-27,2026-08-26,61,60,,0
060,2026-06-27,2026-08-26,61,60,,0
061,2026-06-27,2026-08-26,61,60,,0
062,2026-06-27,2026-08-26,61,60,,0
063,2026-06-27,2026-08-26,61,60,,0
064,2026-06-27,2026-08-26,61,60,,0
065,2026-06-27,2026-08-26,61,60,,0
066,2026-06-27,2026-08-26,61,60,,0
067,2026-06-27,2026-08-26,61,60,,0
068,2026-06-27,2026-08-26,61,60,,0
069,2026-06-27,2026-08-26,61,60,,0
070,2026-06-27,2026-08-26,61,60,,0
071,2026-06-27,2026-08-26,61,60,,0
072,2026-06-27,2026-08-26,61,60,,0
073,2026-06-27,2026-08-26,61,60,,0
074,2026-06-27,2026-08-26,61,60,,0
075,2026-06-27,2026-08-26,61,60,,0
076,2026-06-27,2026-08-26,61,60,,0
077,2026-06-27,2026-08-26,61,60,,0
