feature_family,feature,event,n,event_count,event_rate
phase,317.6796979672181 + 245.3345200089885 + 319.5605707909265,close_gt_3000,1,0,0.0
phase,317.6796979672181 + 245.3345200089885 + 319.5605707909265,close_gt_5000,1,0,0.0
phase,317.6796979672181 + 245.3345200089885 + 319.5605707909265,close_gt_10000,1,0,0.0
phase,317.6796979672181 + 245.3345200089885 + 319.5605707909265,close_lt_minus3000,1,1,1.0
phase,317.6796979672181 + 245.3345200089885 + 319.5605707909265,close_lt_minus5000,1,1,1.0
phase,317.6796979672181 + 245.3345200089885 + 319.5605707909265,close_lt_minus10000,1,1,1.0
phase,317.6796979672181 + 245.3345200089885 + 319.5605707909265,abs_close_gt_5000,1,1,1.0
phase,317.6796979672181 + 245.3345200089885 + 319.5605707909265,abs_close_gt_10000,1,1,1.0
phase,109.55469796721803 + 42.83452000898848 + 49.56057079092648,close_gt_3000,1,1,1.0
phase,109.55469796721803 + 42.83452000898848 + 49.56057079092648,close_gt_5000,1,1,1.0
phase,109.55469796721803 + 42.83452000898848 + 49.56057079092648,close_gt_10000,1,1,1.0
phase,109.55469796721803 + 42.83452000898848 + 49.56057079092648,close_lt_minus3000,1,0,0.0
phase,109.55469796721803 + 42.83452000898848 + 49.56057079092648,close_lt_minus5000,1,0,0.0
phase,109.55469796721803 + 42.83452000898848 + 49.56057079092648,close_lt_minus10000,1,0,0.0
phase,109.55469796721803 + 42.83452000898848 + 49.56057079092648,abs_close_gt_5000,1,1,1.0
phase,109.55469796721803 + 42.83452000898848 + 49.56057079092648,abs_close_gt_10000,1,1,1.0
phase,261.4296979672182 + 200.33452000898842 + 139.56057079092653,close_gt_3000,1,0,0.0
phase,261.4296979672182 + 200.33452000898842 + 139.56057079092653,close_gt_5000,1,0,0.0
phase,261.4296979672182 + 200.33452000898842 + 139.56057079092653,close_gt_10000,1,0,0.0
phase,261.4296979672182 + 200.33452000898842 + 139.56057079092653,close_lt_minus3000,1,1,1.0
phase,261.4296979672182 + 200.33452000898842 + 139.56057079092653,close_lt_minus5000,1,1,1.0
phase,261.4296979672182 + 200.33452000898842 + 139.56057079092653,close_lt_minus10000,1,0,0.0
phase,261.4296979672182 + 200.33452000898842 + 139.56057079092653,abs_close_gt_5000,1,1,1.0
phase,261.4296979672182 + 200.33452000898842 + 139.56057079092653,abs_close_gt_10000,1,0,0.0
phase,53.30469796721809 + 357.83452000898853 + 229.56057079092648,close_gt_3000,1,0,0.0
phase,53.30469796721809 + 357.83452000898853 + 229.56057079092648,close_gt_5000,1,0,0.0
phase,53.30469796721809 + 357.83452000898853 + 229.56057079092648,close_gt_10000,1,0,0.0
