scope,signal,min_signal_n,eligible_machines,above_baseline,equal_baseline,below_baseline
Holdout35,UP-UP-UP,0,35,35,0,0
Holdout35,UP-UP-UP,3,35,35,0,0
Holdout35,UP-UP-UP,5,35,35,0,0
Holdout35,UP-UP-UP,10,3,3,0,0
Holdout35,RIGHT,0,35,32,0,3
Holdout35,RIGHT,3,35,32,0,3
Holdout35,RIGHT,5,35,32,0,3
Holdout35,RIGHT,10,35,32,0,3
Holdout35,low_convergence + RIGHT,0,35,30,0,5
Holdout35,low_convergence + RIGHT,3,35,30,0,5
Holdout35,low_convergence + RIGHT,5,35,30,0,5
Holdout35,low_convergence + RIGHT,10,29,26,0,3
Holdout35,DOWN-DOWN-DOWN,0,35,4,0,31
Holdout35,DOWN-DOWN-DOWN,3,35,4,0,31
Holdout35,DOWN-DOWN-DOWN,5,35,4,0,31
Holdout35,DOWN-DOWN-DOWN,10,1,0,0,1
