feature,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,feature_family
317.6796979672181 + 245.3345200089885 + 319.5605707909265,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
109.55469796721803 + 42.83452000898848 + 49.56057079092648,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
261.4296979672182 + 200.33452000898842 + 139.56057079092653,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
53.30469796721809 + 357.83452000898853 + 229.56057079092648,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
205.1796979672181 + 155.33452000898853 + 319.5605707909265,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
357.0546979672181 + 312.83452000898865 + 49.56057079092648,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
148.9296979672181 + 110.33452000898842 + 139.56057079092648,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
300.8046979672181 + 267.8345200089884 + 229.56057079092648,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
92.67969796721809 + 65.33452000898842 + 319.5605707909265,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
244.5546979672181 + 222.83452000898842 + 49.56057079092648,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
36.42969796721809 + 20.33452000898842 + 139.56057079092648,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
188.3046979672181 + 177.8345200089882 + 229.56057079092648,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
340.1796979672181 + 335.3345200089884 + 319.5605707909265,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
132.05469796721854 + 132.83452000898887 + 49.560570790926704,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
283.9296979672181 + 290.3345200089884 + 139.56057079092648,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
75.80469796721763 + 87.83452000898842 + 229.56057079092648,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
227.6796979672181 + 245.33452000898887 + 319.5605707909265,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
19.55469796721809 + 42.83452000898842 + 49.560570790926704,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
171.42969796721854 + 200.33452000898842 + 139.5605707909267,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
323.3046979672181 + 357.8345200089889 + 229.56057079092648,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
115.17969796721763 + 155.33452000898842 + 319.56057079092625,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
267.05469796721854 + 312.8345200089884 + 49.560570790926704,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
58.92969796721809 + 110.33452000898887 + 139.56057079092625,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
210.80469796721763 + 267.8345200089884 + 229.5605707909258,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
2.6796979672180896 + 65.33452000898842 + 319.5605707909267,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
154.5546979672181 + 222.83452000898797 + 49.56057079092625,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
306.4296979672181 + 20.334520008987965 + 139.5605707909267,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
98.30469796721809 + 177.83452000898887 + 229.56057079092625,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
250.1796979672181 + 335.33452000898797 + 319.56057079092625,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
42.05469796721809 + 132.83452000898797 + 49.560570790926704,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,phase
193.9296979672181 + 290.3345200089889 + 139.56057079092625,1,0,0.0,0.49166666666666664,-0.49166666666666664,0.0,0.7934567085261071,phase
