feature,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,feature_family
LEFT,63,21,0.3333333333333333,0.49166666666666664,-0.15833333333333333,0.22949449812708317,0.4563298986557586,region
RIGHT,61,41,0.6721311475409836,0.49166666666666664,0.18046448087431693,0.5472157118133126,0.7766504481827393,region
TOP,89,38,0.42696629213483145,0.49166666666666664,-0.06470037453183519,0.32932584473480486,0.5306507174959193,region
BOTTOM,27,18,0.6666666666666666,0.49166666666666664,0.175,0.47824419872105484,0.8135694555640665,region
INSUFFICIENT_HISTORY,80,37,0.4625,0.49166666666666664,-0.02916666666666662,0.3574781238878701,0.5709583563319731,regime
TRANSITION,49,29,0.5918367346938775,0.49166666666666664,0.1001700680272109,0.4524706997204626,0.7178496539402894,regime
STABLE,75,34,0.4533333333333333,0.49166666666666664,-0.03833333333333333,0.3456961212759212,0.5655182630085175,regime
UNSTABLE,36,18,0.5,0.49166666666666664,0.00833333333333336,0.34474067624730526,0.6552593237526947,regime
LEFT + INSUFFICIENT_HISTORY,25,9,0.36,0.49166666666666664,-0.13166666666666665,0.20247656431735636,0.5548184539895337,region_regime
RIGHT + INSUFFICIENT_HISTORY,22,14,0.6363636363636364,0.49166666666666664,0.1446969696969697,0.4295134934371804,0.802670272273921,region_regime
TOP + INSUFFICIENT_HISTORY,26,9,0.34615384615384615,0.49166666666666664,-0.1455128205128205,0.19412014972852126,0.5377977099036699,region_regime
BOTTOM + INSUFFICIENT_HISTORY,7,5,0.7142857142857143,0.49166666666666664,0.22261904761904766,0.35892909014821267,0.9177828342909844,region_regime
TOP + TRANSITION,18,10,0.5555555555555556,0.49166666666666664,0.06388888888888894,0.3371606942825164,0.7544076889861088,region_regime
LEFT + TRANSITION,7,3,0.42857142857142855,0.49166666666666664,-0.0630952380952381,0.15821692226262685,0.7495457695909742,region_regime
RIGHT + STABLE,21,15,0.7142857142857143,0.49166666666666664,0.22261904761904766,0.500432261771624,0.8618632425437179,region_regime
LEFT + STABLE,23,8,0.34782608695652173,0.49166666666666664,-0.1438405797101449,0.18811054636982238,0.5511002309310836,region_regime
BOTTOM + STABLE,6,3,0.5,0.49166666666666664,0.00833333333333336,0.18761280689940868,0.8123871931005913,region_regime
TOP + STABLE,25,8,0.32,0.49166666666666664,-0.17166666666666663,0.17204987516891143,0.5159008626542329,region_regime
RIGHT + TRANSITION,15,10,0.6666666666666666,0.49166666666666664,0.175,0.41713125151212976,0.8482389930530876,region_regime
TOP + UNSTABLE,20,11,0.55,0.49166666666666664,0.058333333333333404,0.3420820083075997,0.7418049791429071,region_regime
BOTTOM + TRANSITION,9,6,0.6666666666666666,0.49166666666666664,0.175,0.35419734749908977,0.879418401317257,region_regime
LEFT + UNSTABLE,8,1,0.125,0.49166666666666664,-0.36666666666666664,0.02241690886329617,0.4708948057698615,region_regime
BOTTOM + UNSTABLE,5,4,0.8,0.49166666666666664,0.3083333333333334,0.3755282641185388,0.9637768390302125,region_regime
RIGHT + UNSTABLE,3,2,0.6666666666666666,0.49166666666666664,0.175,0.2076549551264879,0.9385096847238394,region_regime
middle + LEFT,9,3,0.3333333333333333,0.49166666666666664,-0.15833333333333333,0.12058159868274293,0.6458026525009102,convergence_region
middle + RIGHT,8,3,0.375,0.49166666666666664,-0.11666666666666664,0.13684175946152105,0.6942621454161981,convergence_region
low + TOP,80,34,0.425,0.49166666666666664,-0.06666666666666665,0.32256388014807325,0.534309080291613,convergence_region
low + LEFT,49,18,0.3673469387755102,0.49166666666666664,-0.12431972789115642,0.24664982524781226,0.5073318861311014,convergence_region
middle + BOTTOM,9,6,0.6666666666666666,0.49166666666666664,0.175,0.35419734749908977,0.879418401317257,convergence_region
low + RIGHT,52,37,0.7115384615384616,0.49166666666666664,0.21987179487179492,0.5772695428589907,0.816701976581713,convergence_region
middle + TOP,7,3,0.42857142857142855,0.49166666666666664,-0.0630952380952381,0.15821692226262685,0.7495457695909742,convergence_region
high + BOTTOM,6,3,0.5,0.49166666666666664,0.00833333333333336,0.18761280689940868,0.8123871931005913,convergence_region
low + BOTTOM,12,9,0.75,0.49166666666666664,0.25833333333333336,0.46768966087934005,0.9110599603710386,convergence_region
high + LEFT,5,0,0.0,0.49166666666666664,-0.49166666666666664,-2.7755575615628914e-17,0.43449149475208104,convergence_region
high + RIGHT,1,1,1.0,0.49166666666666664,0.5083333333333333,0.20654329147389294,1.0,convergence_region
high + TOP,2,1,0.5,0.49166666666666664,0.00833333333333336,0.09452865480086614,0.9054713451991339,convergence_region
middle + INSUFFICIENT_HISTORY,10,5,0.5,0.49166666666666664,0.00833333333333336,0.23658959361548731,0.7634104063845126,convergence_regime
low + INSUFFICIENT_HISTORY,66,31,0.4696969696969697,0.49166666666666664,-0.021969696969696917,0.354302309719119,0.5884252337506756,convergence_regime
high + INSUFFICIENT_HISTORY,4,1,0.25,0.49166666666666664,-0.24166666666666664,0.045586062644636216,0.6993639475573634,convergence_regime
low + TRANSITION,38,24,0.631578947368421,0.49166666666666664,0.13991228070175438,0.47283672824260115,0.7661598684458619,convergence_regime
low + STABLE,61,29,0.47540983606557374,0.49166666666666664,-0.016256830601092898,0.3553028228679598,0.5984305828468899,convergence_regime
middle + STABLE,10,4,0.4,0.49166666666666664,-0.09166666666666662,0.16817758120350967,0.6873304525498135,convergence_regime
low + UNSTABLE,28,14,0.5,0.49166666666666664,0.00833333333333336,0.3263284683244634,0.6736715316755366,convergence_regime
