scope,signal,sample_type,n,next_open_min,next_open_max,next_open_mean,next_open_median,next_open_std,next_open_p25,next_open_p75,next_high_min,next_high_max,next_high_mean,next_high_median,next_high_std,next_high_p25,next_high_p75,next_low_min,next_low_max,next_low_mean,next_low_median,next_low_std,next_low_p25,next_low_p75,next_close_min,next_close_max,next_close_mean,next_close_median,next_close_std,next_close_p25,next_close_p75,intraday_range_min,intraday_range_max,intraday_range_mean,intraday_range_median,intraday_range_std,intraday_range_p25,intraday_range_p75
Original4,UP_UP_UP,all_signal_occurrences,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41406.0,16176.620689655172,16207.0,11496.878618047947,9052.0,23058.0,-17244.0,0.0,-5405.172413793103,-5867.0,4247.250245486278,-8000.0,-2311.0,-11911.0,40365.0,11863.758620689656,12931.0,14233.371557854482,1379.0,18843.0,7200.0,47023.0,21581.793103448275,21537.0,10269.068623017203,13333.0,26163.0
Original4,RIGHT,all_signal_occurrences,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39231.0,12286.688524590163,10169.0,10751.93532740499,3362.0,16549.0,-18133.0,0.0,-5668.868852459016,-4978.0,4303.578017090003,-8000.0,-2311.0,-18133.0,38205.0,7129.7213114754095,5690.0,13516.258517221828,-2044.0,15321.0,3733.0,47023.0,17955.55737704918,14860.0,9201.450230850553,11806.0,22495.0
Original4,LOW_CONVERGENCE_RIGHT,all_signal_occurrences,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37179.0,12063.326923076924,10776.0,9824.214164494235,3491.0,16292.5,-18133.0,0.0,-5348.903846153846,-4609.0,4221.192598230678,-7227.5,-2288.75,-18133.0,35641.0,7305.442307692308,6034.5,12487.788942918633,-977.75,14562.75,3733.0,42893.0,17412.23076923077,14795.0,8428.87428721196,11503.0,21823.75
Original4,DOWN_DOWN_DOWN,all_signal_occurrences,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15345.0,2558.3030303030305,862.0,3792.082495846185,0.0,3450.0,-26043.0,-1067.0,-9222.151515151516,-7733.0,5403.278536691937,-12267.0,-5333.0,-26043.0,13054.0,-6380.484848484848,-6667.0,7551.006833202825,-10044.0,-1711.0,2756.0,26291.0,11780.454545454546,11251.0,5797.826947933322,7706.0,15968.0
Holdout35,UP_UP_UP,all_signal_occurrences,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47396.0,12798.642335766423,12241.0,10003.471734889272,3845.25,19835.0,-28085.0,0.0,-5783.186131386861,-4666.5,5196.861948850609,-8346.5,-1848.25,-28085.0,47135.0,7689.985401459854,7672.5,13377.916865869505,-1594.75,17046.5,5490.0,58975.0,18581.828467153286,17024.5,8236.415440881492,12025.75,23936.25
Holdout35,RIGHT,all_signal_occurrences,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53438.0,10583.458752515091,8448.0,9680.82196042487,2759.0,16379.0,-29872.0,0.0,-6297.020120724346,-5156.0,5361.836155202759,-8711.0,-2298.0,-29872.0,53438.0,4843.042253521126,3680.0,12727.147035115646,-4444.0,13276.0,1707.0,58975.0,16880.478873239437,15006.0,8084.928994794156,11022.0,21600.0
Holdout35,LOW_CONVERGENCE_RIGHT,all_signal_occurrences,386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53438.0,9962.326424870465,6702.5,9839.193879036735,2069.0,15955.75,-29872.0,0.0,-6595.940414507772,-5422.0,5485.332033807586,-9244.0,-2486.75,-29872.0,53438.0,3773.2901554404143,2414.0,13016.234372116878,-5659.5,11681.0,3518.0,58975.0,16558.266839378237,14212.0,8220.419482378873,10506.75,20420.0
Holdout35,DOWN_DOWN_DOWN,all_signal_occurrences,266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25785.0,3284.09022556391,905.0,4907.846757550832,0.0,5237.25,-31688.0,0.0,-10378.436090225563,-9644.5,6408.971506518954,-13999.75,-5631.25,-29362.0,23554.0,-6177.154135338345,-7572.0,9497.704587570432,-11688.75,129.0,978.0,31688.0,13662.526315789473,12978.0,5519.010715396678,9724.0,16800.25
All39,UP_UP_UP,all_signal_occurrences,303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47396.0,13121.947194719472,12414.0,10183.610562236514,4267.5,19980.0,-28085.0,0.0,-5747.006600660066,-4711.0,5108.704500698095,-8264.5,-1854.5,-28085.0,47135.0,8089.455445544554,7931.0,13493.654605765521,-1511.0,17241.0,5490.0,58975.0,18868.953795379537,17414.0,8478.379406199863,12221.0,24040.0
All39,RIGHT,all_signal_occurrences,558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53438.0,10769.6541218638,8664.0,9807.67897993765,2802.0,16439.75,-29872.0,0.0,-6228.351254480287,-5139.0,5256.838099351184,-8666.25,-2301.25,-29872.0,53438.0,5093.019713261649,3879.5,12823.036920377719,-4155.75,13448.0,1707.0,58975.0,16998.005376344085,14950.0,8212.217914945775,11024.25,21634.5
