scope,signal,low_band,bullish_total,count,rate
Original4,UP_UP_UP,A: Low >= -3000,23,8,0.34782608695652173
Original4,UP_UP_UP,B: -5000 <= Low < -3000,23,5,0.21739130434782608
Original4,UP_UP_UP,C: -10000 <= Low < -5000,23,10,0.43478260869565216
Original4,UP_UP_UP,D: Low < -10000,23,0,0.0
Original4,RIGHT,A: Low >= -3000,41,18,0.43902439024390244
Original4,RIGHT,B: -5000 <= Low < -3000,41,10,0.24390243902439024
Original4,RIGHT,C: -10000 <= Low < -5000,41,12,0.2926829268292683
Original4,RIGHT,D: Low < -10000,41,1,0.024390243902439025
Original4,LOW_CONVERGENCE_RIGHT,A: Low >= -3000,37,16,0.43243243243243246
Original4,LOW_CONVERGENCE_RIGHT,B: -5000 <= Low < -3000,37,10,0.2702702702702703
Original4,LOW_CONVERGENCE_RIGHT,C: -10000 <= Low < -5000,37,10,0.2702702702702703
Original4,LOW_CONVERGENCE_RIGHT,D: Low < -10000,37,1,0.02702702702702703
Original4,DOWN_DOWN_DOWN,A: Low >= -3000,6,1,0.16666666666666666
Original4,DOWN_DOWN_DOWN,B: -5000 <= Low < -3000,6,3,0.5
Original4,DOWN_DOWN_DOWN,C: -10000 <= Low < -5000,6,1,0.16666666666666666
Original4,DOWN_DOWN_DOWN,D: Low < -10000,6,1,0.16666666666666666
Holdout35,UP_UP_UP,A: Low >= -3000,193,94,0.48704663212435234
Holdout35,UP_UP_UP,B: -5000 <= Low < -3000,193,36,0.18652849740932642
Holdout35,UP_UP_UP,C: -10000 <= Low < -5000,193,49,0.2538860103626943
Holdout35,UP_UP_UP,D: Low < -10000,193,14,0.07253886010362694
Holdout35,RIGHT,A: Low >= -3000,304,139,0.45723684210526316
Holdout35,RIGHT,B: -5000 <= Low < -3000,304,69,0.22697368421052633
Holdout35,RIGHT,C: -10000 <= Low < -5000,304,76,0.25
Holdout35,RIGHT,D: Low < -10000,304,20,0.06578947368421052
Holdout35,LOW_CONVERGENCE_RIGHT,A: Low >= -3000,216,103,0.47685185185185186
Holdout35,LOW_CONVERGENCE_RIGHT,B: -5000 <= Low < -3000,216,44,0.2037037037037037
Holdout35,LOW_CONVERGENCE_RIGHT,C: -10000 <= Low < -5000,216,56,0.25925925925925924
Holdout35,LOW_CONVERGENCE_RIGHT,D: Low < -10000,216,13,0.06018518518518518
Holdout35,DOWN_DOWN_DOWN,A: Low >= -3000,67,29,0.43283582089552236
Holdout35,DOWN_DOWN_DOWN,B: -5000 <= Low < -3000,67,11,0.16417910447761194
Holdout35,DOWN_DOWN_DOWN,C: -10000 <= Low < -5000,67,20,0.29850746268656714
Holdout35,DOWN_DOWN_DOWN,D: Low < -10000,67,7,0.1044776119402985
All39,UP_UP_UP,A: Low >= -3000,216,102,0.4722222222222222
All39,UP_UP_UP,B: -5000 <= Low < -3000,216,41,0.18981481481481483
All39,UP_UP_UP,C: -10000 <= Low < -5000,216,59,0.27314814814814814
All39,UP_UP_UP,D: Low < -10000,216,14,0.06481481481481481
All39,RIGHT,A: Low >= -3000,345,157,0.45507246376811594
All39,RIGHT,B: -5000 <= Low < -3000,345,79,0.2289855072463768
All39,RIGHT,C: -10000 <= Low < -5000,345,88,0.25507246376811593
All39,RIGHT,D: Low < -10000,345,21,0.06086956521739131
All39,LOW_CONVERGENCE_RIGHT,A: Low >= -3000,253,119,0.47035573122529645
All39,LOW_CONVERGENCE_RIGHT,B: -5000 <= Low < -3000,253,54,0.2134387351778656
All39,LOW_CONVERGENCE_RIGHT,C: -10000 <= Low < -5000,253,66,0.2608695652173913
All39,LOW_CONVERGENCE_RIGHT,D: Low < -10000,253,14,0.05533596837944664
All39,DOWN_DOWN_DOWN,A: Low >= -3000,73,30,0.410958904109589
All39,DOWN_DOWN_DOWN,B: -5000 <= Low < -3000,73,14,0.1917808219178082
All39,DOWN_DOWN_DOWN,C: -10000 <= Low < -5000,73,21,0.2876712328767123
All39,DOWN_DOWN_DOWN,D: Low < -10000,73,8,0.1095890410958904
