machine,first_date,last_date,ohlc_count
039,2026-06-27,2026-08-26,61
040,2026-06-27,2026-08-26,61
041,2026-06-27,2026-08-26,61
042,2026-06-27,2026-08-26,61
043,2026-06-27,2026-08-26,61
044,2026-06-27,2026-08-26,61
045,2026-06-27,2026-08-26,61
046,2026-06-27,2026-08-26,61
047,2026-06-27,2026-08-26,61
048,2026-06-27,2026-08-26,61
049,2026-06-27,2026-08-26,61
050,2026-06-27,2026-08-26,61
051,2026-06-27,2026-08-26,61
052,2026-06-27,2026-08-26,61
053,2026-06-27,2026-08-26,61
054,2026-06-27,2026-08-26,61
055,2026-06-27,2026-08-26,61
056,2026-06-27,2026-08-26,61
057,2026-06-27,2026-08-26,61
058,2026-06-27,2026-08-26,61
059,2026-06-27,2026-08-26,61
060,2026-06-27,2026-08-26,61
061,2026-06-27,2026-08-26,61
062,2026-06-27,2026-08-26,61
063,2026-06-27,2026-08-26,61
064,2026-06-27,2026-08-26,61
065,2026-06-27,2026-08-26,61
066,2026-06-27,2026-08-26,61
067,2026-06-27,2026-08-26,61
068,2026-06-27,2026-08-26,61
069,2026-06-27,2026-08-26,61
070,2026-06-27,2026-08-26,61
071,2026-06-27,2026-08-26,61
072,2026-06-27,2026-08-26,61
073,2026-06-27,2026-08-26,61
074,2026-06-27,2026-08-26,61
075,2026-06-27,2026-08-26,61
076,2026-06-27,2026-08-26,61
077,2026-06-27,2026-08-26,61
