scope,signal,sample_type,n,next_open_min,next_open_max,next_open_mean,next_open_median,next_open_std,next_open_p25,next_open_p75,next_high_min,next_high_max,next_high_mean,next_high_median,next_high_std,next_high_p25,next_high_p75,next_low_min,next_low_max,next_low_mean,next_low_median,next_low_std,next_low_p25,next_low_p75,next_close_min,next_close_max,next_close_mean,next_close_median,next_close_std,next_close_p25,next_close_p75,intraday_range_min,intraday_range_max,intraday_range_mean,intraday_range_median,intraday_range_std,intraday_range_p25,intraday_range_p75,machine
All39,UP_UP_UP,bullish_only,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4803.0,15172.0,11001.666666666666,12500.0,4174.306920515868,8233.0,13793.25,-13333.0,-178.0,-4903.666666666667,-3822.0,4657.594858579551,-5955.5,-2155.75,948.0,14828.0,6561.833333333333,6021.5,4792.2810191668295,3873.0,7801.75,8764.0,19794.0,15905.333333333334,16699.5,4113.907226307694,14552.75,18903.25,039
All39,RIGHT,bullish_only,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4803.0,34359.0,15100.777777777777,12241.0,10044.269856213763,10172.0,14138.0,-13333.0,0.0,-3091.3333333333335,-1867.0,4394.658035615513,-3022.0,0.0,948.0,30769.0,9085.666666666666,7414.0,8826.577451084877,4310.0,10000.0,8764.0,34359.0,18192.11111111111,15263.0,8507.18833464448,13194.0,19159.0,039
All39,LOW_CONVERGENCE_RIGHT,bullish_only,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6897.0,34359.0,17454.166666666668,11896.5,11477.967789058595,10387.5,25317.75,-6400.0,0.0,-1881.5,-933.5,2543.1444905864078,-2733.25,0.0,948.0,30769.0,10299.5,7155.0,10866.810070117173,3793.25,11611.75,8764.0,34359.0,19335.666666666668,16176.5,10464.460170819451,11574.0,26917.75,039
All39,UP_UP_UP,bullish_only,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6293.0,27273.0,15499.0,12931.0,10723.155692239108,9612.0,20102.0,-4267.0,0.0,-2370.3333333333335,-2844.0,2172.5773480668836,-3555.5,-1422.0,86.0,27273.0,11648.333333333334,7586.0,14041.37302165758,3836.0,17429.5,10560.0,27273.0,17869.333333333332,15775.0,8551.068139907045,13167.5,21524.0,040
All39,RIGHT,bullish_only,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6121.0,27273.0,13814.142857142857,11897.0,8093.950630534128,7198.0,18506.0,-8356.0,0.0,-3452.4285714285716,-4267.0,3339.069673683717,-5555.5,-216.5,86.0,27273.0,10993.857142857143,7069.0,10116.37513190984,3879.5,17385.0,10560.0,27273.0,17266.571428571428,16459.0,6431.666991201759,11631.5,21655.5,040
All39,LOW_CONVERGENCE_RIGHT,bullish_only,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6121.0,27273.0,13814.142857142857,11897.0,8093.950630534128,7198.0,18506.0,-8356.0,0.0,-3452.4285714285716,-4267.0,3339.069673683717,-5555.5,-216.5,86.0,27273.0,10993.857142857143,7069.0,10116.37513190984,3879.5,17385.0,10560.0,27273.0,17266.571428571428,16459.0,6431.666991201759,11631.5,21655.5,040
All39,UP_UP_UP,bullish_only,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.0,31538.0,19222.4,20579.0,10328.922126727455,19835.0,21322.0,-9447.0,-1532.0,-5051.6,-4935.0,3120.514829319034,-6535.0,-2809.0,2838.0,31538.0,17784.4,17851.0,10217.880127501985,16860.0,19835.0,9373.0,36473.0,24274.0,24131.0,10007.927907414201,22111.0,29282.0,041
All39,RIGHT,bullish_only,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,31538.0,14834.714285714286,15575.0,11657.10216583701,5086.0,22934.0,-11733.0,-450.0,-6444.285714285715,-6638.0,4429.206803115193,-9911.0,-3233.5,690.0,31538.0,12067.142857142857,6379.0,12161.95730448806,2600.5,20331.0,11890.0,36473.0,21279.0,18112.0,9568.071784151009,14220.0,27019.0,041
All39,LOW_CONVERGENCE_RIGHT,bullish_only,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,31538.0,14834.714285714286,15575.0,11657.10216583701,5086.0,22934.0,-11733.0,-450.0,-6444.285714285715,-6638.0,4429.206803115193,-9911.0,-3233.5,690.0,31538.0,12067.142857142857,6379.0,12161.95730448806,2600.5,20331.0,11890.0,36473.0,21279.0,18112.0,9568.071784151009,14220.0,27019.0,041
All39,UP_UP_UP,bullish_only,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2931.0,40885.0,19451.0,18952.0,11675.860582129839,15000.0,21694.5,-7149.0,0.0,-3563.8571428571427,-3911.0,2850.4382369834193,-5822.5,-1121.0,1724.0,40885.0,16478.0,12402.0,12764.970962233587,9597.5,20570.0,9420.0,40885.0,23014.85714285714,21112.0,10325.698094698351,17517.5,27326.0,042
