scope,signal,sample_type,n,next_open_min,next_open_max,next_open_mean,next_open_median,next_open_std,next_open_p25,next_open_p75,next_high_min,next_high_max,next_high_mean,next_high_median,next_high_std,next_high_p25,next_high_p75,next_low_min,next_low_max,next_low_mean,next_low_median,next_low_std,next_low_p25,next_low_p75,next_close_min,next_close_max,next_close_mean,next_close_median,next_close_std,next_close_p25,next_close_p75,intraday_range_min,intraday_range_max,intraday_range_mean,intraday_range_median,intraday_range_std,intraday_range_p25,intraday_range_p75
Original4,UP_UP_UP,bullish_only,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,41406.0,19710.695652173912,17414.0,10079.704547594558,13053.0,24297.5,-9956.0,0.0,-4411.391304347826,-3830.0,3243.1459998409855,-6622.5,-2076.5,948.0,40365.0,16778.956521739132,15000.0,11458.923769384679,10172.5,22810.0,9684.0,47023.0,24122.08695652174,23313.0,9926.383846337101,17157.5,28893.0
Original4,RIGHT,bullish_only,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,39231.0,17142.536585365855,13793.0,9802.197537025973,10169.0,23802.0,-11354.0,0.0,-3981.170731707317,-3378.0,3026.250360614923,-6578.0,-1511.0,259.0,38205.0,13974.414634146342,12586.0,10719.115681751946,5690.0,19091.0,8405.0,47023.0,21123.70731707317,20737.0,9407.66526095583,14035.0,26060.0
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,37179.0,16175.513513513513,13448.0,8631.242670353704,10169.0,23058.0,-11354.0,0.0,-3923.5135135135133,-3378.0,2934.7491244437615,-5946.0,-1511.0,259.0,35641.0,13012.864864864865,12069.0,9677.026253974933,5690.0,18843.0,8405.0,42893.0,20099.027027027027,18076.0,8263.661565642162,14035.0,24229.0
Original4,DOWN_DOWN_DOWN,bullish_only,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2586.0,13054.0,6442.833333333333,6034.5,3981.8043355577715,3211.0,8017.25,-10588.0,-1067.0,-5349.833333333333,-4800.0,3378.6844431918566,-6999.75,-3533.25,517.0,13054.0,4129.666666666667,2715.5,4608.7888936972,1444.25,4245.5,3653.0,23642.0,11792.666666666666,9990.0,7176.608799890563,7588.75,15017.0
Holdout35,UP_UP_UP,bullish_only,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,47396.0,16996.968911917098,16207.0,8837.480866850301,11207.0,22562.0,-14298.0,0.0,-3942.6891191709847,-3022.0,3391.76049216083,-5867.0,-1171.0,86.0,47135.0,14250.61139896373,13793.0,9590.435356780094,5776.0,20826.0,8017.0,58975.0,20939.65803108808,20679.0,8185.618982853293,14828.0,26220.0
Holdout35,RIGHT,bullish_only,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,53438.0,15663.911184210527,14310.5,8966.23756367136,8879.0,21074.0,-19556.0,0.0,-4014.7138157894738,-3203.0,3538.2975582753925,-5711.25,-1268.75,86.0,53438.0,12603.980263157895,10548.0,9402.002573337668,5000.0,18100.0,5581.0,58975.0,19678.625,18365.0,8446.641628257034,13071.75,25188.75
Holdout35,LOW_CONVERGENCE_RIGHT,bullish_only,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,53438.0,15747.203703703704,14052.0,9457.169414526526,8577.75,21136.0,-18018.0,0.0,-3922.7175925925926,-3055.5,3514.9907431636675,-5711.25,-1007.0,86.0,53438.0,12631.902777777777,10000.0,9925.484473433242,4962.0,18099.0,5581.0,58975.0,19669.921296296296,18235.5,8970.137295794575,12575.5,25320.0
Holdout35,DOWN_DOWN_DOWN,bullish_only,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,25785.0,9569.611940298508,8821.0,5163.375405139619,5868.0,12837.0,-12055.0,0.0,-4689.328358208955,-4000.0,3608.832294096097,-7644.5,-1600.0,172.0,23554.0,6227.940298507463,5086.0,5030.786051842399,1983.0,8209.0,5738.0,29133.0,14258.940298507463,13497.0,4448.91309463946,11419.5,16893.5
All39,UP_UP_UP,bullish_only,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,47396.0,17285.930555555555,16419.5,8991.458034223457,11231.0,22925.25,-14298.0,0.0,-3992.597222222222,-3348.5,3372.0369304429805,-5927.25,-1250.5,86.0,47135.0,14519.833333333334,13844.5,9807.354478643434,6487.0,21136.0,8017.0,58975.0,21278.527777777777,21004.0,8419.440862458392,15050.75,26339.25
All39,RIGHT,bullish_only,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,53438.0,15839.631884057972,14138.0,9067.177413977219,8966.0,21322.0,-19556.0,0.0,-4010.727536231884,-3319.0,3477.4154355777227,-5867.0,-1404.0,86.0,53438.0,12766.84347826087,10862.0,9561.355888623648,5086.0,18107.0,5581.0,58975.0,19850.359420289857,18385.0,8564.62677261318,13157.0,25278.0
