scope,signal,sample_type,field,threshold,bullish_count,count,rate
Original4,UP_UP_UP,bullish_only,next_close,0,23,23,1.0
Original4,UP_UP_UP,bullish_only,next_close,1000,23,22,0.9565217391304348
Original4,UP_UP_UP,bullish_only,next_close,3000,23,20,0.8695652173913043
Original4,UP_UP_UP,bullish_only,next_close,5000,23,18,0.782608695652174
Original4,UP_UP_UP,bullish_only,next_close,10000,23,17,0.7391304347826086
Original4,UP_UP_UP,bullish_only,next_close,15000,23,12,0.5217391304347826
Original4,UP_UP_UP,bullish_only,next_close,20000,23,7,0.30434782608695654
Original4,RIGHT,bullish_only,next_close,0,41,41,1.0
Original4,RIGHT,bullish_only,next_close,1000,41,38,0.926829268292683
Original4,RIGHT,bullish_only,next_close,3000,41,35,0.8536585365853658
Original4,RIGHT,bullish_only,next_close,5000,41,32,0.7804878048780488
Original4,RIGHT,bullish_only,next_close,10000,41,23,0.5609756097560976
Original4,RIGHT,bullish_only,next_close,15000,41,16,0.3902439024390244
Original4,RIGHT,bullish_only,next_close,20000,41,10,0.24390243902439024
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_close,0,37,37,1.0
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_close,1000,37,35,0.9459459459459459
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_close,3000,37,32,0.8648648648648649
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_close,5000,37,29,0.7837837837837838
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_close,10000,37,20,0.5405405405405406
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_close,15000,37,13,0.35135135135135137
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_close,20000,37,8,0.21621621621621623
Original4,DOWN_DOWN_DOWN,bullish_only,next_close,0,6,6,1.0
Original4,DOWN_DOWN_DOWN,bullish_only,next_close,1000,6,5,0.8333333333333334
Original4,DOWN_DOWN_DOWN,bullish_only,next_close,3000,6,3,0.5
Original4,DOWN_DOWN_DOWN,bullish_only,next_close,5000,6,1,0.16666666666666666
Original4,DOWN_DOWN_DOWN,bullish_only,next_close,10000,6,1,0.16666666666666666
Original4,DOWN_DOWN_DOWN,bullish_only,next_close,15000,6,0,0.0
Original4,DOWN_DOWN_DOWN,bullish_only,next_close,20000,6,0,0.0
Holdout35,UP_UP_UP,bullish_only,next_close,0,193,193,1.0
Holdout35,UP_UP_UP,bullish_only,next_close,1000,193,185,0.9585492227979274
Holdout35,UP_UP_UP,bullish_only,next_close,3000,193,168,0.8704663212435233
Holdout35,UP_UP_UP,bullish_only,next_close,5000,193,153,0.7927461139896373
Holdout35,UP_UP_UP,bullish_only,next_close,10000,193,122,0.6321243523316062
Holdout35,UP_UP_UP,bullish_only,next_close,15000,193,83,0.43005181347150256
Holdout35,UP_UP_UP,bullish_only,next_close,20000,193,54,0.27979274611398963
Holdout35,RIGHT,bullish_only,next_close,0,304,304,1.0
Holdout35,RIGHT,bullish_only,next_close,1000,304,292,0.9605263157894737
Holdout35,RIGHT,bullish_only,next_close,3000,304,263,0.8651315789473685
Holdout35,RIGHT,bullish_only,next_close,5000,304,229,0.7532894736842105
Holdout35,RIGHT,bullish_only,next_close,10000,304,161,0.5296052631578947
Holdout35,RIGHT,bullish_only,next_close,15000,304,107,0.3519736842105263
Holdout35,RIGHT,bullish_only,next_close,20000,304,65,0.2138157894736842
