scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,deep_recovery_count,deep_recovery_rate,deep_recovery_close_mean,deep_recovery_close_median,deep_recovery_high_mean,deep_recovery_low_mean,deep_recovery_rebound_mean
Original4,UP_UP_UP,Low < -10000,deep,2,0,0.0,2,1.0,-11733.5,-11733.5,-11911.0,-11556.0,0.0,0.0,0.0,0.0,-15288.5,-15288.5,-17244.0,-13333.0,15288.5,15288.5,13333.0,17244.0,3555.0,3555.0,1777.0,5333.0,0,0.0,,,,,
Original4,RIGHT,Low < -10000,deep,10,1,0.1,9,0.9,-8839.7,-10844.0,-18133.0,8136.0,1499.7,0.0,0.0,10169.0,-12921.9,-11188.0,-18133.0,-10133.0,14421.6,13379.5,10667.0,21523.0,4082.2,1600.0,0.0,19490.0,1,0.1,8136.0,8136.0,10169.0,-11354.0,19490.0
Original4,LOW_CONVERGENCE_RIGHT,Low < -10000,deep,7,1,0.14285714285714285,6,0.8571428571428571,-8564.57142857143,-10844.0,-18133.0,8136.0,1748.2857142857142,0.0,0.0,10169.0,-13329.714285714286,-11354.0,-18133.0,-10844.0,15078.0,13867.0,10844.0,21523.0,4765.142857142857,0.0,0.0,19490.0,1,0.14285714285714285,8136.0,8136.0,10169.0,-11354.0,19490.0
Original4,DOWN_DOWN_DOWN,Low < -10000,deep,13,1,0.07692307692307693,12,0.9230769230769231,-10676.307692307691,-12622.0,-26043.0,13054.0,1460.8461538461538,0.0,0.0,13054.0,-14499.461538461539,-12622.0,-26043.0,-10044.0,15960.307692307691,15111.0,10263.0,26291.0,3823.153846153846,356.0,0.0,23642.0,1,0.07692307692307693,13054.0,13054.0,13054.0,-10588.0,23642.0
Holdout35,UP_UP_UP,Low < -10000,deep,50,14,0.28,36,0.72,-6345.72,-9955.5,-28085.0,47135.0,3716.9,1293.0,0.0,47396.0,-14490.9,-13157.0,-28085.0,-10044.0,18207.8,16361.0,10311.0,58975.0,8145.18,5511.0,0.0,58714.0,14,0.28,9424.785714285714,4987.0,10460.5,-11733.0,21157.785714285714
Holdout35,RIGHT,Low < -10000,deep,101,20,0.19801980198019803,81,0.801980198019802,-7241.39603960396,-9244.0,-29872.0,47135.0,2705.2178217821784,0.0,0.0,47396.0,-14807.742574257425,-13333.0,-29872.0,-10044.0,17512.960396039605,16189.0,10133.0,58975.0,7566.346534653465,5155.0,0.0,58714.0,20,0.19801980198019803,9702.8,5689.5,10330.55,-12736.15,22438.95
Holdout35,LOW_CONVERGENCE_RIGHT,Low < -10000,deep,86,13,0.1511627906976744,73,0.8488372093023255,-8032.081395348837,-9867.0,-29872.0,47135.0,2439.220930232558,0.0,0.0,47396.0,-14792.058139534884,-13333.0,-29872.0,-10044.0,17231.279069767443,15534.0,10133.0,58975.0,6759.976744186047,3870.5,0.0,58714.0,13,0.1511627906976744,10574.615384615385,6379.0,11237.538461538461,-12571.076923076924,23145.69230769231
Holdout35,DOWN_DOWN_DOWN,Low < -10000,deep,128,7,0.0546875,121,0.9453125,-12683.3046875,-11911.0,-29362.0,7069.0,826.8984375,0.0,0.0,7586.0,-15588.3515625,-14222.0,-31688.0,-10088.0,16415.25,15505.5,10088.0,31688.0,2905.046875,522.0,0.0,18980.0,7,0.0546875,3159.4285714285716,1983.0,3837.285714285714,-11322.0,14481.42857142857
All39,UP_UP_UP,Low < -10000,deep,52,14,0.2692307692307692,38,0.7307692307692307,-6552.942307692308,-10311.0,-28085.0,47135.0,3573.9423076923076,948.5,0.0,47396.0,-14521.576923076924,-13245.5,-28085.0,-10044.0,18095.51923076923,16361.0,10311.0,58975.0,7968.634615384615,5422.0,0.0,58714.0,14,0.2692307692307692,9424.785714285714,4987.0,10460.5,-11733.0,21157.785714285714
All39,RIGHT,Low < -10000,deep,111,21,0.1891891891891892,90,0.8108108108108109,-7385.387387387387,-9778.0,-29872.0,47135.0,2596.612612612613,0.0,0.0,47396.0,-14637.846846846847,-13333.0,-29872.0,-10044.0,17234.45945945946,15601.0,10133.0,58975.0,7252.459459459459,4266.0,0.0,58714.0,21,0.1891891891891892,9628.190476190477,5862.0,10322.857142857143,-12670.333333333334,22298.52380952381
All39,LOW_CONVERGENCE_RIGHT,Low < -10000,deep,93,14,0.15053763440860216,79,0.8494623655913979,-8072.1612903225805,-10133.0,-29872.0,47135.0,2387.2150537634407,0.0,0.0,47396.0,-14681.989247311827,-13333.0,-29872.0,-10044.0,17069.204301075268,15467.0,10133.0,58975.0,6609.8279569892475,3830.0,0.0,58714.0,14,0.15053763440860216,10400.42857142857,7241.0,11161.214285714286,-12484.142857142857,22884.571428571428
All39,DOWN_DOWN_DOWN,Low < -10000,deep,141,8,0.05673758865248227,133,0.9432624113475178,-12498.262411347518,-12089.0,-29362.0,13054.0,885.3475177304964,0.0,0.0,13054.0,-15487.95744680851,-14222.0,-31688.0,-10044.0,16373.304964539007,15367.0,10088.0,31688.0,2989.695035460993,511.0,0.0,23642.0,8,0.05673758865248227,4396.25,3405.5,4989.375,-11230.25,15626.5
