scope,signal,sample_type,field,threshold,bullish_count,count,rate
Original4,UP_UP_UP,bullish_only,next_high,3000,23,23,1.0
Original4,UP_UP_UP,bullish_only,next_high,5000,23,21,0.9130434782608695
Original4,UP_UP_UP,bullish_only,next_high,10000,23,21,0.9130434782608695
Original4,UP_UP_UP,bullish_only,next_high,15000,23,16,0.6956521739130435
Original4,UP_UP_UP,bullish_only,next_high,20000,23,9,0.391304347826087
Original4,UP_UP_UP,bullish_only,next_high,30000,23,3,0.13043478260869565
Original4,RIGHT,bullish_only,next_high,3000,41,41,1.0
Original4,RIGHT,bullish_only,next_high,5000,41,39,0.9512195121951219
Original4,RIGHT,bullish_only,next_high,10000,41,31,0.7560975609756098
Original4,RIGHT,bullish_only,next_high,15000,41,19,0.4634146341463415
Original4,RIGHT,bullish_only,next_high,20000,41,15,0.36585365853658536
Original4,RIGHT,bullish_only,next_high,30000,41,4,0.0975609756097561
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,3000,37,37,1.0
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,5000,37,36,0.972972972972973
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,10000,37,28,0.7567567567567568
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,15000,37,16,0.43243243243243246
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,20000,37,12,0.32432432432432434
Original4,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,30000,37,2,0.05405405405405406
Original4,DOWN_DOWN_DOWN,bullish_only,next_high,3000,6,4,0.6666666666666666
Original4,DOWN_DOWN_DOWN,bullish_only,next_high,5000,6,4,0.6666666666666666
Original4,DOWN_DOWN_DOWN,bullish_only,next_high,10000,6,1,0.16666666666666666
Original4,DOWN_DOWN_DOWN,bullish_only,next_high,15000,6,0,0.0
Original4,DOWN_DOWN_DOWN,bullish_only,next_high,20000,6,0,0.0
Original4,DOWN_DOWN_DOWN,bullish_only,next_high,30000,6,0,0.0
Holdout35,UP_UP_UP,bullish_only,next_high,3000,193,186,0.9637305699481865
Holdout35,UP_UP_UP,bullish_only,next_high,5000,193,176,0.9119170984455959
Holdout35,UP_UP_UP,bullish_only,next_high,10000,193,148,0.7668393782383419
Holdout35,UP_UP_UP,bullish_only,next_high,15000,193,112,0.5803108808290155
Holdout35,UP_UP_UP,bullish_only,next_high,20000,193,67,0.3471502590673575
Holdout35,UP_UP_UP,bullish_only,next_high,30000,193,12,0.06217616580310881
Holdout35,RIGHT,bullish_only,next_high,3000,304,298,0.9802631578947368
Holdout35,RIGHT,bullish_only,next_high,5000,304,276,0.9078947368421053
Holdout35,RIGHT,bullish_only,next_high,10000,304,212,0.6973684210526315
Holdout35,RIGHT,bullish_only,next_high,15000,304,148,0.4868421052631579
Holdout35,RIGHT,bullish_only,next_high,20000,304,90,0.29605263157894735
Holdout35,RIGHT,bullish_only,next_high,30000,304,19,0.0625
Holdout35,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,3000,216,213,0.9861111111111112
Holdout35,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,5000,216,196,0.9074074074074074
Holdout35,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,10000,216,147,0.6805555555555556
Holdout35,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,15000,216,105,0.4861111111111111
Holdout35,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,20000,216,64,0.2962962962962963
Holdout35,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,30000,216,18,0.08333333333333333
Holdout35,DOWN_DOWN_DOWN,bullish_only,next_high,3000,67,62,0.9253731343283582
Holdout35,DOWN_DOWN_DOWN,bullish_only,next_high,5000,67,56,0.835820895522388
Holdout35,DOWN_DOWN_DOWN,bullish_only,next_high,10000,67,29,0.43283582089552236
Holdout35,DOWN_DOWN_DOWN,bullish_only,next_high,15000,67,7,0.1044776119402985
Holdout35,DOWN_DOWN_DOWN,bullish_only,next_high,20000,67,3,0.04477611940298507
Holdout35,DOWN_DOWN_DOWN,bullish_only,next_high,30000,67,0,0.0
All39,UP_UP_UP,bullish_only,next_high,3000,216,209,0.9675925925925926
All39,UP_UP_UP,bullish_only,next_high,5000,216,197,0.9120370370370371
All39,UP_UP_UP,bullish_only,next_high,10000,216,169,0.7824074074074074
All39,UP_UP_UP,bullish_only,next_high,15000,216,128,0.5925925925925926
All39,UP_UP_UP,bullish_only,next_high,20000,216,76,0.35185185185185186
All39,UP_UP_UP,bullish_only,next_high,30000,216,15,0.06944444444444445
All39,RIGHT,bullish_only,next_high,3000,345,339,0.9826086956521739
All39,RIGHT,bullish_only,next_high,5000,345,315,0.9130434782608695
All39,RIGHT,bullish_only,next_high,10000,345,243,0.7043478260869566
All39,RIGHT,bullish_only,next_high,15000,345,167,0.48405797101449277
All39,RIGHT,bullish_only,next_high,20000,345,105,0.30434782608695654
All39,RIGHT,bullish_only,next_high,30000,345,23,0.06666666666666667
All39,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,3000,253,250,0.9881422924901185
All39,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,5000,253,232,0.9169960474308301
All39,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,10000,253,175,0.691699604743083
All39,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,15000,253,121,0.4782608695652174
All39,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,20000,253,76,0.30039525691699603
All39,LOW_CONVERGENCE_RIGHT,bullish_only,next_high,30000,253,20,0.07905138339920949
All39,DOWN_DOWN_DOWN,bullish_only,next_high,3000,73,66,0.9041095890410958
All39,DOWN_DOWN_DOWN,bullish_only,next_high,5000,73,60,0.821917808219178
All39,DOWN_DOWN_DOWN,bullish_only,next_high,10000,73,30,0.410958904109589
All39,DOWN_DOWN_DOWN,bullish_only,next_high,15000,73,7,0.0958904109589041
All39,DOWN_DOWN_DOWN,bullish_only,next_high,20000,73,3,0.0410958904109589
All39,DOWN_DOWN_DOWN,bullish_only,next_high,30000,73,0,0.0
