scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,bullish_rate_difference,close_mean_difference
Original4,UP_UP_UP,A: Low >= -3000,all_signal,9,8,0.8888888888888888,1,0.1111111111111111,14755.666666666666,11552.0,-444.0,40365.0,20953.777777777777,17586.0,9052.0,41406.0,-868.5555555555555,-255.0,-2857.0,0.0,21822.333333333332,17586.0,9496.0,43248.0,15624.222222222223,11552.0,0.0,42207.0,,
Original4,UP_UP_UP,B: -5000 <= Low < -3000,all_signal,5,5,1.0,0,0.0,21716.8,23058.0,10517.0,29504.0,22630.8,25041.0,11724.0,29504.0,-3735.8,-3556.0,-4596.0,-3319.0,26366.6,28360.0,15102.0,33334.0,25452.6,26377.0,13895.0,33334.0,,
Original4,UP_UP_UP,C: -10000 <= Low < -5000,all_signal,13,10,0.7692307692307693,3,0.23076923076923078,9702.384615384615,12931.0,-8000.0,38205.0,12875.692307692309,13966.0,0.0,39231.0,-7667.461538461538,-7792.0,-9956.0,-5867.0,20543.153846153848,22495.0,7200.0,47023.0,17369.846153846152,19751.0,0.0,45997.0,,
Original4,UP_UP_UP,D: Low < -10000,all_signal,2,0,0.0,2,1.0,-11733.5,-11733.5,-11911.0,-11556.0,0.0,0.0,0.0,0.0,-15288.5,-15288.5,-17244.0,-13333.0,15288.5,15288.5,13333.0,17244.0,3555.0,3555.0,1777.0,5333.0,,
Original4,UP_UP_UP,GROUP_1: Low >= -5000,wall_group,14,13,0.9285714285714286,1,0.07142857142857142,17241.785714285714,16281.0,-444.0,40365.0,21552.714285714286,20025.0,9052.0,41406.0,-1892.5714285714287,-2076.5,-4596.0,0.0,23445.285714285714,21857.0,9496.0,43248.0,19134.35714285714,17263.5,0.0,42207.0,,
Original4,UP_UP_UP,GROUP_2: Low < -5000,wall_group,15,10,0.6666666666666666,5,0.3333333333333333,6844.266666666666,9828.0,-11911.0,38205.0,11158.933333333332,11034.0,0.0,39231.0,-8683.6,-8000.0,-17244.0,-5867.0,19842.533333333333,17244.0,7200.0,47023.0,15527.866666666667,15695.0,0.0,45997.0,,
Original4,RIGHT,A: Low >= -3000,all_signal,20,18,0.9,2,0.1,14126.25,14815.5,-1511.0,35641.0,18279.1,17962.0,3534.0,38329.0,-1319.4,-1466.5,-2857.0,0.0,19598.5,19685.5,5045.0,39011.0,15445.65,15652.0,0.0,38498.0,,
Original4,RIGHT,B: -5000 <= Low < -3000,all_signal,11,10,0.9090909090909091,1,0.09090909090909091,11561.727272727272,8448.0,-3733.0,29504.0,13711.454545454546,11207.0,0.0,29504.0,-4001.090909090909,-3830.0,-4978.0,-3200.0,17712.545454545456,14585.0,3733.0,33334.0,15562.818181818182,11826.0,0.0,33334.0,,
Original4,RIGHT,C: -10000 <= Low < -5000,all_signal,20,12,0.6,8,0.4,5680.3,948.0,-8178.0,38205.0,10904.15,8362.0,0.0,39231.0,-7309.1,-7155.5,-9956.0,-5714.0,18213.25,15206.5,8178.0,47023.0,12989.4,8740.5,0.0,45997.0,,
Original4,RIGHT,D: Low < -10000,all_signal,10,1,0.1,9,0.9,-8839.7,-10844.0,-18133.0,8136.0,1499.7,0.0,0.0,10169.0,-12921.9,-11188.0,-18133.0,-10133.0,14421.6,13379.5,10667.0,21523.0,4082.2,1600.0,0.0,19490.0,,
