scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,machine
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,5,4,0.8,1,0.2,5833.0,7414.0,-1956.0,14828.0,10689.6,12241.0,5000.0,15172.0,-2329.0,-1956.0,-4622.0,-178.0,13018.6,14316.0,6956.0,19794.0,8162.0,7592.0,0.0,19450.0,039
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,2,2,1.0,0,0.0,4125.0,4125.0,3621.0,4629.0,8781.0,8781.0,4803.0,12759.0,-9866.5,-9866.5,-13333.0,-6400.0,18647.5,18647.5,18136.0,19159.0,13991.5,13991.5,10021.0,17962.0,039
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,9,7,0.7777777777777778,2,0.2222222222222222,7754.111111111111,7414.0,-1956.0,30769.0,14615.0,11034.0,5000.0,34359.0,-1392.6666666666667,-1867.0,-3022.0,0.0,16007.666666666666,13194.0,6956.0,34359.0,9146.777777777777,7592.0,0.0,30769.0,039
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,6,2,0.3333333333333333,4,0.6666666666666666,-5528.666666666667,-6400.0,-15644.0,4629.0,4478.666666666667,3694.5,0.0,12759.0,-12770.333333333334,-13155.5,-16889.0,-6400.0,17249.0,17321.0,12978.0,22751.0,7241.666666666667,7733.5,0.0,17962.0,039
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,6,5,0.8333333333333334,1,0.16666666666666666,9399.666666666666,7155.0,-1778.0,30769.0,16692.666666666668,10603.0,6897.0,34359.0,-1229.6666666666667,-933.5,-3022.0,0.0,17922.333333333332,12114.0,8764.0,34359.0,10629.333333333334,8666.0,711.0,30769.0,039
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,5,1,0.2,4,0.8,-7560.2,-11022.0,-15644.0,3621.0,4413.8,2586.0,0.0,12759.0,-12657.8,-12978.0,-16889.0,-6400.0,17071.6,16506.0,12978.0,22751.0,5097.6,5867.0,0.0,10021.0,039
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,machine_wall,0,0,,0,,,,,,,,,,,,,,,,,,,,,,039
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,machine_wall,8,2,0.25,6,0.75,-9697.5,-11155.5,-22468.0,5948.0,1826.5,1637.5,0.0,5948.0,-13654.25,-12800.0,-22468.0,-7733.0,15480.75,14894.5,8000.0,25443.0,3956.75,978.0,0.0,13681.0,039
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,3,3,1.0,0,0.0,11648.333333333334,7586.0,86.0,27273.0,15499.0,12931.0,6293.0,27273.0,-2370.3333333333335,-2844.0,-4267.0,0.0,17869.333333333332,15775.0,10560.0,27273.0,14018.666666666666,10430.0,4353.0,27273.0,040
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,5,0,0.0,5,1.0,-7566.6,-8533.0,-12432.0,-1579.0,1658.0,1135.0,0.0,4914.0,-9988.4,-9778.0,-15467.0,-5511.0,11646.4,12019.0,7889.0,15467.0,2421.8,0.0,0.0,6934.0,040
