scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max
Original4,UP-UP-UP only,ALL,bullish_success,11,11,1.0,0,0.0,13711.727272727272,11552.0,1379.0,40365.0,17032.636363636364,16897.0,3017.0,41406.0,-3958.0,-3556.0,-9778.0,0.0,20990.636363636364,17586.0,9684.0,43248.0,17669.727272727272,15695.0,4310.0,42207.0
Original4,RIGHT only,ALL,bullish_success,2,2,1.0,0,0.0,26161.0,26161.0,17893.0,34429.0,30361.0,30361.0,22393.0,38329.0,-866.5,-866.5,-1733.0,0.0,31227.5,31227.5,24126.0,38329.0,27027.5,27027.5,19626.0,34429.0
Original4,low_convergence + RIGHT,ALL,bullish_success,37,37,1.0,0,0.0,13012.864864864865,12069.0,259.0,35641.0,16175.513513513513,13448.0,3017.0,37179.0,-3923.5135135135133,-3378.0,-11354.0,0.0,20099.027027027027,18076.0,8405.0,42893.0,16936.37837837838,15544.0,2456.0,40842.0
Original4,UP-UP-UP + RIGHT,ALL,bullish_success,12,12,1.0,0,0.0,19590.583333333332,17325.5,948.0,38205.0,22165.583333333332,22243.5,4397.0,39231.0,-4827.0,-4213.0,-9956.0,-108.0,26992.583333333332,25196.0,12656.0,47023.0,24417.583333333332,23558.0,5070.0,45997.0
Original4,UP-UP-UP + low_convergence + RIGHT,ALL,bullish_success,10,10,1.0,0,0.0,19593.4,17325.5,2759.0,35641.0,22235.9,22243.5,10345.0,36154.0,-4159.9,-3574.5,-9956.0,-108.0,26395.8,25196.0,12656.0,39011.0,23753.3,23558.0,5070.0,38498.0
Original4,3 signals all true,ALL,bullish_success,10,10,1.0,0,0.0,19593.4,17325.5,2759.0,35641.0,22235.9,22243.5,10345.0,36154.0,-4159.9,-3574.5,-9956.0,-108.0,26395.8,25196.0,12656.0,39011.0,23753.3,23558.0,5070.0,38498.0
Holdout35,UP-UP-UP only,ALL,bullish_success,65,65,1.0,0,0.0,12585.63076923077,11897.0,172.0,36154.0,15855.123076923077,15690.0,1379.0,36667.0,-3874.646153846154,-3467.0,-12089.0,0.0,19729.76923076923,19794.0,8032.0,36667.0,16460.276923076923,16664.0,1034.0,36154.0
Holdout35,RIGHT only,ALL,bullish_success,27,27,1.0,0,0.0,10238.62962962963,10000.0,86.0,20826.0,14029.407407407407,12931.0,2069.0,27025.0,-4421.185185185185,-3733.0,-19556.0,0.0,18450.59259259259,17731.0,8647.0,29381.0,14659.814814814816,13556.0,5608.0,26814.0
Holdout35,low_convergence + RIGHT,ALL,bullish_success,216,216,1.0,0,0.0,12631.902777777777,10000.0,86.0,53438.0,15747.203703703704,14052.0,690.0,53438.0,-3922.7175925925926,-3055.5,-18018.0,0.0,19669.921296296296,18235.5,5581.0,58975.0,16554.62037037037,14797.5,1737.0,58714.0
Holdout35,UP-UP-UP + RIGHT,ALL,bullish_success,128,128,1.0,0,0.0,15096.109375,14584.0,86.0,47135.0,17576.8125,17241.5,2241.0,47396.0,-3977.2421875,-2939.5,-14298.0,0.0,21554.0546875,20764.5,8017.0,58975.0,19073.3515625,18342.5,2815.0,58714.0
Holdout35,UP-UP-UP + low_convergence + RIGHT,ALL,bullish_success,67,67,1.0,0,0.0,16501.880597014926,16379.0,86.0,47135.0,18928.253731343284,18952.0,2241.0,47396.0,-3810.3432835820895,-2553.0,-14298.0,0.0,22738.597014925374,22111.0,8698.0,58975.0,20312.223880597016,18905.0,2815.0,58714.0
Holdout35,3 signals all true,ALL,bullish_success,67,67,1.0,0,0.0,16501.880597014926,16379.0,86.0,47135.0,18928.253731343284,18952.0,2241.0,47396.0,-3810.3432835820895,-2553.0,-14298.0,0.0,22738.597014925374,22111.0,8698.0,58975.0,20312.223880597016,18905.0,2815.0,58714.0
All39,UP-UP-UP only,ALL,bullish_success,76,76,1.0,0,0.0,12748.618421052632,11724.5,172.0,40365.0,16025.552631578947,15862.0,1379.0,41406.0,-3886.7105263157896,-3511.5,-12089.0,0.0,19912.263157894737,19401.0,8032.0,43248.0,16635.32894736842,16319.0,1034.0,42207.0
All39,RIGHT only,ALL,bullish_success,29,29,1.0,0,0.0,11336.724137931034,11034.0,86.0,34429.0,15155.724137931034,13448.0,2069.0,38329.0,-4176.0344827586205,-3574.0,-19556.0,0.0,19331.758620689656,18388.0,8647.0,38329.0,15512.758620689656,13636.0,5608.0,34429.0
All39,low_convergence + RIGHT,ALL,bullish_success,253,253,1.0,0,0.0,12687.616600790514,10000.0,86.0,53438.0,15809.841897233202,13793.0,690.0,53438.0,-3922.8339920948615,-3117.0,-18018.0,0.0,19732.675889328064,18141.0,5581.0,58975.0,16610.450592885376,15414.0,1737.0,58714.0
All39,UP-UP-UP + RIGHT,ALL,bullish_success,140,140,1.0,0,0.0,15481.35,14655.0,86.0,47135.0,17970.135714285716,17672.5,2241.0,47396.0,-4050.0785714285716,-3022.0,-14298.0,0.0,22020.214285714286,21437.0,8017.0,58975.0,19531.428571428572,18727.0,2815.0,58714.0
All39,UP-UP-UP + low_convergence + RIGHT,ALL,bullish_success,77,77,1.0,0,0.0,16903.376623376622,16379.0,86.0,47135.0,19357.81818181818,18966.0,2241.0,47396.0,-3855.7402597402597,-2857.0,-14298.0,0.0,23213.55844155844,23313.0,8698.0,58975.0,20759.116883116883,19751.0,2815.0,58714.0
All39,3 signals all true,ALL,bullish_success,77,77,1.0,0,0.0,16903.376623376622,16379.0,86.0,47135.0,19357.81818181818,18966.0,2241.0,47396.0,-3855.7402597402597,-2857.0,-14298.0,0.0,23213.55844155844,23313.0,8698.0,58975.0,20759.116883116883,19751.0,2815.0,58714.0
