scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max
Original4,UP_UP_UP,ALL,bullish_success,23,23,1.0,0,0.0,16778.956521739132,15000.0,948.0,40365.0,19710.695652173912,17414.0,3017.0,41406.0,-4411.391304347826,-3830.0,-9956.0,0.0,24122.08695652174,23313.0,9684.0,47023.0,21190.347826086956,20797.0,4310.0,45997.0
Original4,UP_UP_UP,ALL,all_signal,29,23,0.7931034482758621,6,0.20689655172413793,11863.758620689656,12931.0,-11911.0,40365.0,16176.620689655172,16207.0,0.0,41406.0,-5405.172413793103,-5867.0,-17244.0,0.0,21581.793103448275,21537.0,7200.0,47023.0,17268.931034482757,15695.0,0.0,45997.0
Original4,RIGHT,ALL,bullish_success,41,41,1.0,0,0.0,13974.414634146342,12586.0,259.0,38205.0,17142.536585365855,13793.0,3017.0,39231.0,-3981.170731707317,-3378.0,-11354.0,0.0,21123.70731707317,20737.0,8405.0,47023.0,17955.585365853658,15875.0,2456.0,45997.0
Original4,RIGHT,ALL,all_signal,61,41,0.6721311475409836,20,0.32786885245901637,7129.7213114754095,5690.0,-18133.0,38205.0,12286.688524590163,10169.0,0.0,39231.0,-5668.868852459016,-4978.0,-18133.0,0.0,17955.55737704918,14860.0,3733.0,47023.0,12798.590163934427,9757.0,0.0,45997.0
Original4,LOW_CONVERGENCE_RIGHT,ALL,bullish_success,37,37,1.0,0,0.0,13012.864864864865,12069.0,259.0,35641.0,16175.513513513513,13448.0,3017.0,37179.0,-3923.5135135135133,-3378.0,-11354.0,0.0,20099.027027027027,18076.0,8405.0,42893.0,16936.37837837838,15544.0,2456.0,40842.0
Original4,LOW_CONVERGENCE_RIGHT,ALL,all_signal,52,37,0.7115384615384616,15,0.28846153846153844,7305.442307692308,6034.5,-18133.0,35641.0,12063.326923076924,10776.0,0.0,37179.0,-5348.903846153846,-4609.0,-18133.0,0.0,17412.23076923077,14795.0,3733.0,42893.0,12654.346153846154,10925.5,0.0,40842.0
Original4,DOWN_DOWN_DOWN,ALL,bullish_success,6,6,1.0,0,0.0,4129.666666666667,2715.5,517.0,13054.0,6442.833333333333,6034.5,2586.0,13054.0,-5349.833333333333,-4800.0,-10588.0,-1067.0,11792.666666666666,9990.0,3653.0,23642.0,9479.5,6869.0,1584.0,23642.0
Original4,DOWN_DOWN_DOWN,ALL,all_signal,33,6,0.18181818181818182,27,0.8181818181818182,-6380.484848484848,-6667.0,-26043.0,13054.0,2558.3030303030305,862.0,0.0,15345.0,-9222.151515151516,-7733.0,-26043.0,-1067.0,11780.454545454546,11251.0,2756.0,26291.0,2841.6666666666665,89.0,0.0,23642.0
Holdout35,UP_UP_UP,ALL,bullish_success,193,193,1.0,0,0.0,14250.61139896373,13793.0,86.0,47135.0,16996.968911917098,16207.0,1379.0,47396.0,-3942.6891191709847,-3022.0,-14298.0,0.0,20939.65803108808,20679.0,8017.0,58975.0,18193.300518134714,17962.0,1034.0,58714.0
Holdout35,UP_UP_UP,ALL,all_signal,274,193,0.7043795620437956,81,0.2956204379562044,7689.985401459854,7672.5,-28085.0,47135.0,12798.642335766423,12241.0,0.0,47396.0,-5783.186131386861,-4666.5,-28085.0,0.0,18581.828467153286,17024.5,5490.0,58975.0,13473.171532846716,11319.5,0.0,58714.0
