scope,signal,sample_type,n,next_open_min,next_open_max,next_open_mean,next_open_median,next_open_std,next_open_p25,next_open_p75,next_high_min,next_high_max,next_high_mean,next_high_median,next_high_std,next_high_p25,next_high_p75,next_low_min,next_low_max,next_low_mean,next_low_median,next_low_std,next_low_p25,next_low_p75,next_close_min,next_close_max,next_close_mean,next_close_median,next_close_std,next_close_p25,next_close_p75,intraday_range_min,intraday_range_max,intraday_range_mean,intraday_range_median,intraday_range_std,intraday_range_p25,intraday_range_p75
Original4,UP-UP-UP only,bullish_only,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,41406.0,17032.636363636364,16897.0,9661.922451279841,11932.0,18103.5,-9778.0,0.0,-3958.0,-3556.0,3276.521173439903,-6225.0,-921.0,1379.0,40365.0,13711.727272727272,11552.0,10765.66817332681,7141.0,16120.5,9684.0,43248.0,20990.636363636364,17586.0,9293.357620071738,16001.5,23609.5
Original4,RIGHT only,bullish_only,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22393.0,38329.0,30361.0,30361.0,11268.453664988821,26377.0,34345.0,-1733.0,0.0,-866.5,-866.5,1225.4160517962869,-1299.75,-433.25,17893.0,34429.0,26161.0,26161.0,11692.71773370075,22027.0,30295.0,24126.0,38329.0,31227.5,31227.5,10043.037613192535,27676.75,34778.25
Original4,low_convergence + RIGHT,bullish_only,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,37179.0,16175.513513513513,13448.0,8631.242670353704,10169.0,23058.0,-11354.0,0.0,-3923.5135135135133,-3378.0,2934.7491244437615,-5946.0,-1511.0,259.0,35641.0,13012.864864864865,12069.0,9677.026253974933,5690.0,18843.0,8405.0,42893.0,20099.027027027027,18076.0,8263.661565642162,14035.0,24229.0
Original4,UP-UP-UP + RIGHT,bullish_only,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4397.0,39231.0,22165.583333333332,22243.5,10226.847950000247,16107.25,28574.0,-9956.0,-108.0,-4827.0,-4213.0,3298.843240784977,-7949.25,-2720.5,948.0,38205.0,19590.583333333332,17325.5,11799.101055576097,13586.5,28574.0,12656.0,47023.0,26992.583333333332,25196.0,9987.812368157262,22255.5,32978.5
Original4,UP-UP-UP + low_convergence + RIGHT,bullish_only,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10345.0,36154.0,22235.9,22243.5,7770.829820553272,16292.5,27458.25,-9956.0,-108.0,-4159.9,-3574.5,3209.883156405818,-5608.5,-2447.5,2759.0,35641.0,19593.4,17325.5,9645.748299985164,14184.0,26962.5,12656.0,39011.0,26395.8,25196.0,7414.587795540476,22699.5,31735.0
Original4,3 signals all true,bullish_only,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10345.0,36154.0,22235.9,22243.5,7770.829820553272,16292.5,27458.25,-9956.0,-108.0,-4159.9,-3574.5,3209.883156405818,-5608.5,-2447.5,2759.0,35641.0,19593.4,17325.5,9645.748299985164,14184.0,26962.5,12656.0,39011.0,26395.8,25196.0,7414.587795540476,22699.5,31735.0
Original4,score=1,bullish_only,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,41406.0,19083.153846153848,17414.0,10650.258102084927,12140.0,22393.0,-9778.0,0.0,-3482.3846153846152,-3378.0,3227.893651141085,-5872.0,0.0,1379.0,40365.0,15627.0,13621.0,11394.432258783234,9828.0,17893.0,9684.0,43248.0,22565.53846153846,22177.0,9754.786010085722,16901.0,24126.0
Original4,score=2,bullish_only,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,39231.0,14474.586206896553,11724.0,9176.00320135251,8707.0,15345.0,-11354.0,0.0,-4134.3448275862065,-3378.0,2998.1759964049343,-6667.0,-1511.0,259.0,38205.0,11196.379310344828,8448.0,9973.771372289397,4310.0,14310.0,8405.0,47023.0,18608.931034482757,14924.0,9021.793561509954,12930.0,21523.0
Original4,score=3,bullish_only,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10345.0,36154.0,22235.9,22243.5,7770.829820553272,16292.5,27458.25,-9956.0,-108.0,-4159.9,-3574.5,3209.883156405818,-5608.5,-2447.5,2759.0,35641.0,19593.4,17325.5,9645.748299985164,14184.0,26962.5,12656.0,39011.0,26395.8,25196.0,7414.587795540476,22699.5,31735.0
Holdout35,UP-UP-UP only,bullish_only,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,36667.0,15855.123076923077,15690.0,8095.214040383082,11724.0,20426.0,-12089.0,0.0,-3874.646153846154,-3467.0,3097.284674874355,-5867.0,-1422.0,172.0,36154.0,12585.63076923077,11897.0,8966.43306060378,5517.0,17876.0,8032.0,36667.0,19729.76923076923,19794.0,7309.665428751747,13836.0,24455.0
