split,machine,feature,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,non_bullish_count,non_bullish_rate
discovery,049,UP-UP-UP,5,3,0.6,0.4666666666666667,0.1333333333333333,0.23071993220883708,0.8823817688407467,2,0.4
discovery,049,RIGHT,9,7,0.7777777777777778,0.4666666666666667,0.3111111111111111,0.4525833436728054,0.9367762376877727,2,0.2222222222222222
discovery,049,low_convergence + RIGHT,6,6,1.0,0.4666666666666667,0.5333333333333333,0.6096569663469354,0.9999999999999999,0,0.0
discovery,049,RIGHT + STABLE,2,2,1.0,0.4666666666666667,0.5333333333333333,0.34237195288961925,1.0,0,0.0
discovery,049,low_convergence + TRANSITION,3,2,0.6666666666666666,0.4666666666666667,0.19999999999999996,0.2076549551264879,0.9385096847238394,1,0.3333333333333333
discovery,049,DOWN-DOWN-DOWN,5,0,0.0,0.4666666666666667,-0.4666666666666667,-2.7755575615628914e-17,0.43449149475208104,5,1.0
validation,049,UP-UP-UP,2,2,1.0,0.5,0.5,0.34237195288961925,1.0,0,0.0
validation,049,RIGHT,7,4,0.5714285714285714,0.5,0.0714285714285714,0.2504542304090258,0.8417830777373732,3,0.42857142857142855
validation,049,low_convergence + RIGHT,7,4,0.5714285714285714,0.5,0.0714285714285714,0.2504542304090258,0.8417830777373732,3,0.42857142857142855
validation,049,RIGHT + STABLE,3,1,0.3333333333333333,0.5,-0.16666666666666669,0.0614903152761605,0.7923450448735121,2,0.6666666666666666
validation,049,low_convergence + TRANSITION,11,6,0.5454545454545454,0.5,0.045454545454545414,0.28008775568998817,0.7872904245601196,5,0.45454545454545453
validation,049,DOWN-DOWN-DOWN,3,0,0.0,0.5,-0.5,0.0,0.5615060804490177,3,1.0
discovery,056,UP-UP-UP,4,3,0.75,0.5,0.25,0.3006360524426366,0.9544139373553637,1,0.25
discovery,056,RIGHT,7,6,0.8571428571428571,0.5,0.3571428571428571,0.48686549668097007,0.9743210440510253,1,0.14285714285714285
discovery,056,low_convergence + RIGHT,6,5,0.8333333333333334,0.5,0.33333333333333337,0.43649056343635395,0.9699474141282697,1,0.16666666666666666
