split,machine,feature,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,non_bullish_count,non_bullish_rate,train_end,test_start,test_end
fold_30_40,POOLED,UP-UP-UP,3,3,1.0,0.425,0.575,0.43849391955098227,1.0,0,0.0,30,30,40
fold_30_40,POOLED,RIGHT,8,6,0.75,0.425,0.325,0.40926987910258916,0.9285223111419724,2,0.25,30,30,40
fold_30_40,POOLED,low_convergence + RIGHT,7,5,0.7142857142857143,0.425,0.2892857142857143,0.35892909014821267,0.9177828342909844,2,0.2857142857142857,30,30,40
fold_40_50,POOLED,UP-UP-UP,4,4,1.0,0.575,0.42500000000000004,0.5100999795960008,1.0,0,0.0,40,40,50
fold_40_50,POOLED,RIGHT,11,7,0.6363636363636364,0.575,0.0613636363636364,0.35379677689163724,0.8483377638586862,4,0.36363636363636365,40,40,50
fold_40_50,POOLED,low_convergence + RIGHT,10,7,0.7,0.575,0.125,0.39677321997956516,0.892210712513788,3,0.3,40,40,50
fold_50_60,POOLED,UP-UP-UP,4,3,0.75,0.5,0.25,0.3006360524426366,0.9544139373553637,1,0.25,50,50,60
fold_50_60,POOLED,RIGHT,8,4,0.5,0.5,0.0,0.21521252682444186,0.7847874731755582,4,0.5,50,50,60
fold_50_60,POOLED,low_convergence + RIGHT,6,4,0.6666666666666666,0.5,0.16666666666666663,0.29998832134152864,0.9032306674407831,2,0.3333333333333333,50,50,60
walk_forward_overall,POOLED,UP-UP-UP,11,10,0.9090909090909091,0.5,0.40909090909090906,0.6226353745137962,0.9837682477371741,1,0.09090909090909091,,30,60
walk_forward_overall,POOLED,RIGHT,27,17,0.6296296296296297,0.5,0.12962962962962965,0.442289046234463,0.7846771293206314,10,0.37037037037037035,,30,60
walk_forward_overall,POOLED,low_convergence + RIGHT,23,16,0.6956521739130435,0.5,0.19565217391304346,0.49133870939427393,0.8439617197902755,7,0.30434782608695654,,30,60
