signal_date,target_date,UP_UP_UP_count,RIGHT_count,LOW_CONVERGENCE_RIGHT_count,ANY_SIGNAL_count,ALL_3_count,DOWN_DOWN_DOWN_count,direction_balance,evaluation_status,actual_bullish_count,actual_bullish_rate,actual_close_mean,actual_close_median,actual_high_mean,actual_low_mean,actual_close_ge_5000_count,actual_close_ge_10000_count,actual_close_ge_15000_count,actual_close_ge_20000_count
2026-08-28,2026-08-29,7,9,4,12,1,2,5,evaluated,19,0.48717948717948717,-588.4615384615385,-1244.0,6999.666666666667,-8695.333333333334,14,8,2,1
2026-08-29,2026-08-30,5,8,8,12,1,8,-3,evaluated,22,0.5641025641025641,2342.948717948718,1552.0,8896.923076923076,-9066.615384615385,14,9,9,4
2026-08-30,2026-08-31,3,7,6,9,1,4,-1,evaluated,19,0.48717948717948717,888.8974358974359,-178.0,9130.28205128205,-7885.48717948718,14,10,7,6
2026-08-31,2026-09-01,2,8,7,10,0,10,-8,evaluated,11,0.28205128205128205,-3032.2051282051284,-5689.0,6155.2307692307695,-9496.76923076923,8,6,6,5
2026-09-01,2026-09-02,2,12,10,14,0,2,0,evaluated,17,0.4358974358974359,-2291.3846153846152,-2311.0,6089.615384615385,-8592.28205128205,9,6,2,2
2026-09-02,2026-09-03,9,14,12,20,1,4,5,evaluated,19,0.48717948717948717,1448.8974358974358,0.0,7097.871794871795,-6593.897435897436,11,5,4,3
20260903,20260904,9,6,5,14,1,3,6,evaluated,25,0.6410256410256411,5109.384615384615,8103.0,10645.923076923076,-7483.717948717948,23,17,9,6
20260904,20260905,6,6,6,12,0,6,0,evaluated,22,0.5641025641025641,2916.846153846154,4741.0,10489.48717948718,-9134.51282051282,19,12,8,5
20260905,20260906,7,6,5,13,0,7,0,evaluated,24,0.6153846153846154,2504.6923076923076,2586.0,8515.538461538461,-6598.128205128205,15,11,4,2
20260906,20260907,6,9,7,12,1,3,3,evaluated,18,0.46153846153846156,861.1794871794872,-1422.0,9009.23076923077,-7783.846153846154,11,8,5,4
20260907,20260908,4,8,6,12,0,6,-2,evaluated,22,0.5365853658536586,2390.6341463414633,431.0,7641.1463414634145,-6354.365853658536,14,11,7,3
20260908,20260909,5,8,6,12,1,4,1,evaluated,18,0.43902439024390244,-828.1951219512196,-2933.0,4560.5609756097565,-7279.585365853659,11,5,3,0
20260909,20260910,4,6,4,9,1,7,-3,evaluated,15,0.36585365853658536,-3496.560975609756,-3644.0,6020.268292682927,-10411.463414634147,12,3,2,1
20260910,20260911,4,13,10,15,1,2,2,evaluated,20,0.4878048780487805,1522.1951219512196,-889.0,7961.707317073171,-6521.073170731707,15,9,3,2
20260911,20260912,7,5,4,10,1,7,0,evaluated,21,0.5121951219512195,1916.8292682926829,690.0,10028.439024390244,-8966.853658536585,19,13,6,5
20260912,20260913,5,5,5,9,1,6,-1,pending,,,,,,,,,,
