signal_date,next_date,group,machine,up_up_up,right,low_conv_right,all3,score,down_down_down,next_bullish,next_close,next_high,next_low,ge3000,ge5000,ge10000,ge15000,ge20000,next_close_rank,top1,top2,top3
2026-06-28,2026-06-29,g1,046,1,1,1,1,3,0,0,-5122.0,5204.0,-5122.0,False,False,False,False,False,4,False,False,False
2026-06-30,2026-07-01,g1,046,1,1,1,1,3,0,1,28718.0,32308.0,-779.0,True,True,True,True,True,1,True,True,True
2026-07-12,2026-07-13,g1,046,1,1,1,1,3,0,1,23644.0,24153.0,-9694.0,True,True,True,True,True,1,True,True,True
2026-07-15,2026-07-16,g1,046,0,1,1,0,2,0,0,-5689.0,1552.0,-10133.0,False,False,False,False,False,4,False,False,False
2026-08-16,2026-08-17,g1,046,1,1,1,1,3,0,1,5000.0,6897.0,-8000.0,True,True,False,False,False,4,False,False,False
2026-06-28,2026-06-29,g1,055,1,1,0,0,2,0,1,8996.0,10706.0,0.0,True,True,False,False,False,2,False,True,True
2026-06-30,2026-07-01,g1,055,0,0,0,0,0,0,0,-2311.0,13103.0,-2311.0,False,False,False,False,False,3,False,False,True
2026-07-12,2026-07-13,g1,055,1,1,1,1,3,0,1,20339.0,22881.0,-1834.0,True,True,True,True,True,2,False,True,True
2026-07-15,2026-07-16,g1,055,1,0,0,0,1,0,1,2586.0,2672.0,-8444.0,False,False,False,False,False,2,False,True,True
2026-08-16,2026-08-17,g1,055,0,0,0,0,0,0,1,11901.0,15041.0,-13277.0,True,True,True,False,False,2,False,True,True
2026-06-28,2026-06-29,g1,064,0,1,1,0,2,0,1,31532.0,32758.0,-562.0,True,True,True,True,True,1,True,True,True
2026-06-30,2026-07-01,g1,064,0,0,0,0,0,0,0,-4622.0,5603.0,-4622.0,False,False,False,False,False,4,False,False,False
2026-07-12,2026-07-13,g1,064,0,0,0,0,0,1,0,-5297.0,0.0,-10594.0,False,False,False,False,False,3,False,False,True
2026-07-15,2026-07-16,g1,064,0,0,0,0,0,0,1,1897.0,2500.0,-5689.0,False,False,False,False,False,3,False,False,True
2026-08-16,2026-08-17,g1,064,1,0,0,0,1,0,1,18966.0,19655.0,-4800.0,True,True,True,True,False,1,True,True,True
2026-06-28,2026-06-29,g1,073,1,1,1,1,3,0,1,2751.0,5056.0,-4557.0,False,False,False,False,False,3,False,False,True
2026-06-30,2026-07-01,g1,073,0,0,0,0,0,0,1,25537.0,29256.0,0.0,True,True,True,True,True,2,False,True,True
2026-07-12,2026-07-13,g1,073,0,0,0,0,0,0,0,-13881.0,0.0,-13881.0,False,False,False,False,False,4,False,False,False
2026-07-15,2026-07-16,g1,073,1,1,1,1,3,0,1,5690.0,12586.0,-356.0,True,True,False,False,False,1,True,True,True
2026-08-16,2026-08-17,g1,073,0,1,1,0,2,0,1,5603.0,9483.0,-3289.0,True,True,False,False,False,3,False,False,True
2026-06-27,2026-06-28,g2,047,0,0,0,0,0,0,0,-2938.0,16877.0,-6328.0,False,False,False,False,False,3,False,False,True
2026-07-19,2026-07-20,g2,047,0,0,0,0,0,0,0,0.0,4483.0,-14222.0,False,False,False,False,False,2,False,True,True
2026-07-20,2026-07-21,g2,047,0,1,1,0,2,0,1,3448.0,14138.0,-1422.0,True,False,False,False,False,2,False,True,True
2026-07-29,2026-07-30,g2,047,1,1,0,0,2,0,1,11034.0,13448.0,0.0,True,True,True,False,False,2,False,True,True
2026-08-15,2026-08-16,g2,047,0,0,0,0,0,0,0,-20089.0,0.0,-20089.0,False,False,False,False,False,4,False,False,False
2026-08-25,2026-08-26,g2,047,0,0,0,0,0,0,0,-16533.0,0.0,-16533.0,False,False,False,False,False,4,False,False,False
2026-06-27,2026-06-28,g2,056,0,0,0,0,0,0,1,17143.0,22929.0,-2491.0,True,True,True,True,False,1,True,True,True
2026-07-19,2026-07-20,g2,056,0,0,0,0,0,0,1,8103.0,10172.0,-8533.0,True,True,False,False,False,1,True,True,True
2026-07-20,2026-07-21,g2,056,1,1,1,1,3,0,1,35641.0,36154.0,-2857.0,True,True,True,True,True,1,True,True,True
2026-07-29,2026-07-30,g2,056,0,0,0,0,0,0,0,-7378.0,776.0,-7378.0,False,False,False,False,False,3,False,False,True
2026-08-15,2026-08-16,g2,056,1,1,1,1,3,0,1,12931.0,16207.0,-9956.0,True,True,True,False,False,1,True,True,True
2026-08-25,2026-08-26,g2,056,0,1,0,0,1,0,0,-6933.0,9138.0,-6933.0,False,False,False,False,False,3,False,False,True
2026-06-27,2026-06-28,g2,065,1,1,1,1,3,0,0,-3013.0,7472.0,-3013.0,False,False,False,False,False,4,False,False,False
2026-07-19,2026-07-20,g2,065,0,0,0,0,0,0,0,-19200.0,0.0,-19200.0,False,False,False,False,False,3,False,False,True
2026-07-20,2026-07-21,g2,065,0,1,1,0,2,0,0,-3111.0,5948.0,-3111.0,False,False,False,False,False,3,False,False,True
2026-07-29,2026-07-30,g2,065,0,0,0,0,0,0,0,-7467.0,0.0,-10133.0,False,False,False,False,False,4,False,False,False
2026-08-15,2026-08-16,g2,065,0,0,0,0,0,0,0,-4711.0,172.0,-8000.0,False,False,False,False,False,3,False,False,True
2026-08-25,2026-08-26,g2,065,1,1,1,1,3,0,1,15517.0,16897.0,-3556.0,True,True,True,True,False,1,True,True,True
2026-06-27,2026-06-28,g2,074,0,1,1,0,2,0,1,13457.0,16729.0,0.0,True,True,True,False,False,2,False,True,True
2026-07-19,2026-07-20,g2,074,1,1,1,1,3,0,0,-21702.0,0.0,-25532.0,False,False,False,False,False,4,False,False,False
2026-07-20,2026-07-21,g2,074,0,1,1,0,2,0,0,-8533.0,0.0,-11556.0,False,False,False,False,False,4,False,False,False
2026-07-29,2026-07-30,g2,074,1,1,1,1,3,0,1,16207.0,18966.0,-8889.0,True,True,True,True,False,1,True,True,True
2026-08-15,2026-08-16,g2,074,0,0,0,0,0,0,1,8793.0,16034.0,-178.0,True,True,False,False,False,2,False,True,True
2026-08-25,2026-08-26,g2,074,0,1,1,0,2,0,1,3966.0,11207.0,-8178.0,True,False,False,False,False,2,False,True,True
2026-06-29,2026-06-30,g3,039,0,0,0,0,0,0,0,-3556.0,0.0,-5422.0,False,False,False,False,False,4,False,False,False
2026-07-11,2026-07-12,g3,039,1,1,0,0,2,0,1,7414.0,14138.0,-178.0,True,True,False,False,False,2,False,True,True
2026-07-17,2026-07-18,g3,039,0,0,0,0,0,0,0,-4089.0,172.0,-12267.0,False,False,False,False,False,2,False,True,True
2026-08-03,2026-08-04,g3,039,0,1,1,0,2,0,1,10000.0,11034.0,0.0,True,True,True,False,False,2,False,True,True
2026-08-05,2026-08-06,g3,039,1,1,1,1,3,0,1,3621.0,12759.0,-6400.0,True,False,False,False,False,3,False,False,True
2026-06-29,2026-06-30,g3,048,0,0,0,0,0,0,0,-15467.0,0.0,-15467.0,False,False,False,False,False,5,False,False,False
2026-07-11,2026-07-12,g3,048,0,0,0,0,0,0,0,-17422.0,0.0,-19200.0,False,False,False,False,False,5,False,False,False
2026-07-17,2026-07-18,g3,048,1,1,1,1,3,0,1,86.0,3276.0,-10044.0,False,False,False,False,False,1,True,True,True
2026-08-03,2026-08-04,g3,048,1,1,0,0,2,0,1,22314.0,23306.0,-3574.0,True,True,True,True,True,1,True,True,True
2026-08-05,2026-08-06,g3,048,0,0,0,0,0,0,1,43490.0,44531.0,-1842.0,True,True,True,True,True,1,True,True,True
2026-06-29,2026-06-30,g3,057,0,1,1,0,2,0,1,9310.0,10690.0,-2133.0,True,True,False,False,False,3,False,False,True
2026-07-11,2026-07-12,g3,057,0,0,0,0,0,0,0,-8444.0,1207.0,-8622.0,False,False,False,False,False,4,False,False,False
2026-07-17,2026-07-18,g3,057,0,0,0,0,0,0,0,-12089.0,1207.0,-12089.0,False,False,False,False,False,5,False,False,False
2026-08-03,2026-08-04,g3,057,1,1,1,1,3,0,0,-267.0,2069.0,-6933.0,False,False,False,False,False,4,False,False,False
2026-08-05,2026-08-06,g3,057,0,1,1,0,2,0,0,-7822.0,0.0,-11022.0,False,False,False,False,False,5,False,False,False
2026-06-29,2026-06-30,g3,066,0,0,0,0,0,0,1,21322.0,23058.0,-2043.0,True,True,True,True,True,2,False,True,True
2026-07-11,2026-07-12,g3,066,1,1,1,1,3,0,1,3276.0,3276.0,-5422.0,True,False,False,False,False,3,False,False,True
2026-07-17,2026-07-18,g3,066,0,0,0,0,0,1,0,-9956.0,3448.0,-11378.0,False,False,False,False,False,3,False,False,True
2026-08-03,2026-08-04,g3,066,0,0,0,0,0,0,0,-711.0,4655.0,-711.0,False,False,False,False,False,5,False,False,False
2026-08-05,2026-08-06,g3,066,0,0,0,0,0,0,1,21322.0,22314.0,-4596.0,True,True,True,True,True,2,False,True,True
2026-06-29,2026-06-30,g3,075,1,1,1,1,3,0,1,23058.0,25041.0,-3319.0,True,True,True,True,True,1,True,True,True
2026-07-11,2026-07-12,g3,075,0,0,0,0,0,0,1,7931.0,12241.0,-2133.0,True,True,False,False,False,1,True,True,True
2026-07-17,2026-07-18,g3,075,1,1,1,1,3,0,0,-11911.0,0.0,-17244.0,False,False,False,False,False,4,False,False,False
2026-08-03,2026-08-04,g3,075,1,1,0,0,2,0,1,948.0,4397.0,-8533.0,False,False,False,False,False,3,False,False,True
2026-08-05,2026-08-06,g3,075,0,0,0,0,0,0,0,-4356.0,4483.0,-5333.0,False,False,False,False,False,4,False,False,False
2026-06-29,2026-06-30,g4,040,0,0,0,0,0,0,0,-533.0,4310.0,-6578.0,False,False,False,False,False,2,False,True,True
2026-07-05,2026-07-06,g4,040,0,0,0,0,0,0,1,4483.0,8190.0,-711.0,True,False,False,False,False,3,False,False,True
2026-07-17,2026-07-18,g4,040,1,1,1,1,3,0,1,86.0,6293.0,-4267.0,False,False,False,False,False,3,False,False,True
2026-07-23,2026-07-24,g4,040,1,1,1,1,3,0,1,27273.0,27273.0,0.0,True,True,True,True,True,1,True,True,True
2026-07-29,2026-07-30,g4,040,0,0,0,0,0,0,1,517.0,1466.0,-8444.0,False,False,False,False,False,3,False,False,True
2026-08-18,2026-08-19,g4,040,1,1,1,1,3,0,0,-1579.0,1135.0,-6754.0,False,False,False,False,False,4,False,False,False
2026-08-19,2026-08-20,g4,040,0,0,0,0,0,0,0,-2105.0,0.0,-15351.0,False,False,False,False,False,4,False,False,False
2026-06-29,2026-06-30,g4,049,0,0,0,0,0,1,0,-9511.0,862.0,-9511.0,False,False,False,False,False,5,False,False,False
2026-07-05,2026-07-06,g4,049,1,1,1,1,3,0,1,2759.0,10345.0,-2311.0,False,False,False,False,False,4,False,False,False
2026-07-17,2026-07-18,g4,049,0,0,0,0,0,0,0,-9156.0,2586.0,-10044.0,False,False,False,False,False,4,False,False,False
2026-07-23,2026-07-24,g4,049,0,1,1,0,2,0,1,19091.0,20579.0,-1021.0,True,True,True,True,False,2,False,True,True
2026-07-29,2026-07-30,g4,049,0,0,0,0,0,0,0,-267.0,3966.0,-4444.0,False,False,False,False,False,4,False,False,False
2026-08-18,2026-08-19,g4,049,0,0,0,0,0,0,1,1790.0,8821.0,-5088.0,False,False,False,False,False,3,False,False,True
