signal_date,next_date,group,condition_rank_top3,condition_all3,condition_direction_positive,condition_all3_combined,next_strong3000,next_strong5000,next_strong10000,next_strong15000,next_strong20000,next_strong5000_count,next_strong10000_count,next_max_close,next_max_high,evaluated
2026-06-27,2026-06-28,g1,0,0,1,0,True,True,True,False,False,3,2,12268.0,16729.0,True
2026-06-27,2026-06-28,g2,1,1,1,1,True,True,True,True,False,2,2,17143.0,22929.0,True
2026-06-27,2026-06-28,g3,0,0,1,0,True,True,True,True,True,2,2,28929.0,29143.0,True
2026-06-27,2026-06-28,g4,0,0,0,0,True,True,True,True,True,2,2,32981.0,33426.0,True
2026-06-27,2026-06-28,g5,0,0,0,0,True,True,True,True,True,2,2,30418.0,33649.0,True
2026-06-27,2026-06-28,g6,0,0,0,0,False,False,False,False,False,0,0,1636.0,7955.0,True
2026-06-27,2026-06-28,g7,1,1,0,0,True,True,True,True,False,1,1,17679.0,25393.0,True
2026-06-27,2026-06-28,g8,0,0,0,0,True,True,False,False,False,1,0,7658.0,14498.0,True
2026-06-27,2026-06-28,g9,1,0,0,0,True,True,True,False,False,1,1,10855.0,15390.0,True
2026-06-28,2026-06-29,g1,1,1,1,1,True,True,True,True,True,2,1,31532.0,32758.0,True
2026-06-28,2026-06-29,g2,0,0,0,0,True,True,True,False,False,1,1,11599.0,14944.0,True
2026-06-28,2026-06-29,g3,0,0,0,0,True,True,True,False,False,3,2,12639.0,17100.0,True
2026-06-28,2026-06-29,g4,0,1,0,0,True,True,True,True,True,2,2,34429.0,38329.0,True
2026-06-28,2026-06-29,g5,1,1,0,0,True,True,True,True,False,1,1,15321.0,21429.0,True
2026-06-28,2026-06-29,g6,1,1,1,1,True,True,True,True,False,2,1,18107.0,20679.0,True
2026-06-28,2026-06-29,g7,0,0,0,0,True,True,False,False,False,2,0,9888.0,12788.0,True
2026-06-28,2026-06-29,g8,0,1,0,0,False,False,False,False,False,0,0,-3955.0,0.0,True
2026-06-28,2026-06-29,g9,0,0,0,0,True,True,True,False,False,2,2,12937.0,16134.0,True
2026-06-29,2026-06-30,g1,0,0,0,0,True,True,True,False,False,1,1,12586.0,13276.0,True
2026-06-29,2026-06-30,g2,0,1,1,0,True,True,True,False,False,2,1,13884.0,21570.0,True
2026-06-29,2026-06-30,g3,1,1,1,1,True,True,True,True,True,3,2,23058.0,25041.0,True
2026-06-29,2026-06-30,g4,1,1,1,1,True,True,True,True,True,1,1,20579.0,22562.0,True
2026-06-29,2026-06-30,g5,0,0,0,0,True,True,True,False,False,2,2,14138.0,19483.0,True
2026-06-29,2026-06-30,g6,1,0,1,0,True,True,True,True,False,1,1,16724.0,18276.0,True
2026-06-29,2026-06-30,g7,0,0,0,0,False,False,False,False,False,0,0,-2222.0,5776.0,True
2026-06-29,2026-06-30,g8,0,0,0,0,False,False,False,False,False,0,0,2759.0,9655.0,True
