time,minute,island_initial,island_continuation,island_total,top_machine,top_group,top_delta_5m,g1_delta_5m,g1_delta_10m,g1_delta_30m,g2_delta_5m,g2_delta_10m,g2_delta_30m,g3_delta_5m,g3_delta_10m,g3_delta_30m,g4_delta_5m,g4_delta_10m,g4_delta_30m,g5_delta_5m,g5_delta_10m,g5_delta_30m,g6_delta_5m,g6_delta_10m,g6_delta_30m,g7_delta_5m,g7_delta_10m,g7_delta_30m,g8_delta_5m,g8_delta_10m,g8_delta_30m,g9_delta_5m,g9_delta_10m,g9_delta_30m
13:00,780,1,3,4,0039,g3,0,0,0,-276,0,0,1808,0,0,-1639,0,0,1099,0,0,-3304,0,0,-944,0,0,3125,0,0,1444,0,0,2423
13:05,785,0,3,3,0039,g3,0,0,0,-276,0,0,1808,0,0,-1639,0,0,1099,0,0,-3304,0,0,-944,0,0,3125,0,0,1444,0,0,2423
13:10,790,0,2,2,0039,g3,0,0,0,-276,0,0,1808,0,0,-1639,0,0,1099,0,0,-3304,0,0,-944,0,0,3125,0,0,1444,0,0,2423
13:15,795,1,0,1,0039,g3,0,0,0,-276,0,0,1808,0,0,-1639,0,0,1099,0,0,-3304,0,0,-944,0,0,3125,0,0,1444,0,0,2423
13:20,800,2,1,3,0039,g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:25,805,1,5,6,0053,g8,7451,-9837,-9837,-9837,8889,8889,8889,-5633,-5633,-5633,-3691,-3691,-3691,-1094,-1094,-1094,-918,-918,-918,-2534,-2534,-2534,4774,4774,4774,-1558,-1558,-1558
13:30,810,3,4,7,0039,g3,0,0,-9837,-9837,0,8889,8889,0,-5633,-5633,0,-3691,-3691,0,-1094,-1094,0,-918,-918,0,-2534,-2534,0,4774,4774,0,-1558,-1558
13:35,815,2,4,6,0039,g3,0,0,0,-9837,0,0,8889,0,0,-5633,0,0,-3691,0,0,-1094,0,0,-918,0,0,-2534,0,0,4774,0,0,-1558
13:40,820,4,3,7,0039,g3,0,0,0,-9837,0,0,8889,0,0,-5633,0,0,-3691,0,0,-1094,0,0,-918,0,0,-2534,0,0,4774,0,0,-1558
13:45,825,1,8,9,0039,g3,0,0,0,-9837,0,0,8889,0,0,-5633,0,0,-3691,0,0,-1094,0,0,-918,0,0,-2534,0,0,4774,0,0,-1558
13:50,830,2,5,7,0072,g9,6923,-1829,-1829,-11666,6359,6359,15248,775,775,-4858,-2367,-2367,-6058,-932,-932,-2026,-4201,-4201,-5119,-584,-584,-3118,-2667,-2667,2107,7902,7902,6344
13:55,835,1,3,4,0039,g3,0,0,-1829,-1829,0,6359,6359,0,775,775,0,-2367,-2367,0,-932,-932,0,-4201,-4201,0,-584,-584,0,-2667,-2667,0,7902,7902
14:00,840,3,4,7,0039,g3,0,0,0,-1829,0,0,6359,0,0,775,0,0,-2367,0,0,-932,0,0,-4201,0,0,-584,0,0,-2667,0,0,7902
14:05,845,3,7,10,0039,g3,0,0,0,-1829,0,0,6359,0,0,775,0,0,-2367,0,0,-932,0,0,-4201,0,0,-584,0,0,-2667,0,0,7902
14:10,850,1,4,5,0039,g3,0,0,0,-1829,0,0,6359,0,0,775,0,0,-2367,0,0,-932,0,0,-4201,0,0,-584,0,0,-2667,0,0,7902
14:15,855,1,2,3,0039,g3,0,0,0,-1829,0,0,6359,0,0,775,0,0,-2367,0,0,-932,0,0,-4201,0,0,-584,0,0,-2667,0,0,7902
14:20,860,2,3,5,0039,g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:25,865,3,4,7,0039,g3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:30,870,2,7,9,0040,g4,8182,-10841,-10841,-10841,2136,2136,2136,-759,-759,-759,4448,4448,4448,5045,5045,5045,-9753,-9753,-9753,1214,1214,1214,-9116,-9116,-9116,9913,9913,9913
14:35,875,0,3,3,0039,g3,0,0,-10841,-10841,0,2136,2136,0,-759,-759,0,4448,4448,0,5045,5045,0,-9753,-9753,0,1214,1214,0,-9116,-9116,0,9913,9913
14:40,880,8,7,15,0039,g3,0,0,0,-10841,0,0,2136,0,0,-759,0,0,4448,0,0,5045,0,0,-9753,0,0,1214,0,0,-9116,0,0,9913
14:45,885,3,12,15,0072,g9,5641,396,396,-10445,2347,2347,4483,3527,3527,2768,6765,6765,11213,-6465,-6465,-1420,-1821,-1821,-11574,-3967,-3967,-2753,-5755,-5755,-14871,9410,9410,19323
14:50,890,0,10,10,0039,g3,0,0,396,-10445,0,2347,4483,0,3527,2768,0,6765,11213,0,-6465,-1420,0,-1821,-11574,0,-3967,-2753,0,-5755,-14871,0,9410,19323
14:55,895,3,8,11,0039,g3,0,0,0,-10445,0,0,4483,0,0,2768,0,0,11213,0,0,-1420,0,0,-11574,0,0,-2753,0,0,-14871,0,0,19323
15:00,900,1,8,9,0039,g3,0,0,0,396,0,0,2347,0,0,3527,0,0,6765,0,0,-6465,0,0,-1821,0,0,-3967,0,0,-5755,0,0,9410
