time,minute,machine,group,value,delta_5m,delta_10m,delta_30m
09:00,540,0039,g3,0,,,
09:05,545,0039,g3,0,0,,
09:10,550,0039,g3,0,0,0,
09:15,555,0039,g3,0,0,0,
09:20,560,0039,g3,0,0,0,
09:25,565,0039,g3,0,0,0,
09:30,570,0039,g3,0,0,0,0
09:35,575,0039,g3,0,0,0,0
09:40,580,0039,g3,0,0,0,0
09:45,585,0039,g3,0,0,0,0
09:50,590,0039,g3,0,0,0,0
09:55,595,0039,g3,0,0,0,0
10:00,600,0039,g3,0,0,0,0
10:05,605,0039,g3,0,0,0,0
10:10,610,0039,g3,0,0,0,0
10:15,615,0039,g3,0,0,0,0
10:20,620,0039,g3,0,0,0,0
10:25,625,0039,g3,-444,-444,-444,-444
10:30,630,0039,g3,-444,0,-444,-444
10:35,635,0039,g3,-444,0,0,-444
10:40,640,0039,g3,-1333,-889,-889,-1333
10:45,645,0039,g3,-1333,0,-889,-1333
10:50,650,0039,g3,-1333,0,0,-1333
10:55,655,0039,g3,-1333,0,0,-889
11:00,660,0039,g3,-2311,-978,-978,-1867
11:05,665,0039,g3,-2311,0,-978,-1867
11:10,670,0039,g3,-2311,0,0,-978
11:15,675,0039,g3,-2311,0,0,-978
11:20,680,0039,g3,-2311,0,0,-978
11:25,685,0039,g3,-2311,0,0,-978
11:30,690,0039,g3,-4267,-1956,-1956,-1956
11:35,695,0039,g3,-4267,0,-1956,-1956
11:40,700,0039,g3,-4267,0,0,-1956
11:45,705,0039,g3,-5600,-1333,-1333,-3289
11:50,710,0039,g3,-5600,0,-1333,-3289
11:55,715,0039,g3,-5600,0,0,-3289
12:00,720,0039,g3,-5600,0,0,-1333
12:05,725,0039,g3,-5600,0,0,-1333
12:10,730,0039,g3,-5600,0,0,-1333
12:15,735,0039,g3,-5600,0,0,0
12:20,740,0039,g3,-5600,0,0,0
12:25,745,0039,g3,-5600,0,0,0
12:30,750,0039,g3,-8178,-2578,-2578,-2578
12:35,755,0039,g3,-8178,0,-2578,-2578
12:40,760,0039,g3,-8178,0,0,-2578
12:45,765,0039,g3,-8178,0,0,-2578
12:50,770,0039,g3,-8622,-444,-444,-3022
12:55,775,0039,g3,-8622,0,-444,-3022
