time,minute,window_minutes,rank,machine,group,value,delta
13:00,780,5,1,0039,g3,-8622,0
13:00,780,5,2,0040,g4,8182,0
13:00,780,5,3,0041,g5,3448,0
13:00,780,5,4,0042,g6,-356,0
13:00,780,5,5,0043,g7,-4978,0
13:00,780,5,6,0044,g8,0,0
13:00,780,5,7,0045,g9,-6667,0
13:00,780,5,8,0046,g1,-7822,0
13:00,780,5,9,0047,g2,-1422,0
13:00,780,5,10,0048,g3,-5689,0
13:00,780,5,11,0049,g4,-2311,0
13:00,780,5,12,0050,g5,12586,0
13:00,780,5,13,0051,g6,0,0
13:00,780,5,14,0052,g7,2241,0
13:00,780,5,15,0053,g8,-1244,0
13:00,780,5,16,0054,g9,-356,0
13:00,780,5,17,0055,g1,-1600,0
13:00,780,5,18,0056,g2,-533,0
13:00,780,5,19,0057,g3,-1277,0
13:00,780,5,20,0058,g4,-7467,0
13:00,780,5,21,0059,g5,-3378,0
13:00,780,5,22,0060,g6,-2553,0
13:00,780,5,23,0061,g7,-178,0
13:00,780,5,24,0062,g8,4655,0
13:00,780,5,25,0063,g9,0,0
13:00,780,5,26,0064,g1,1034,0
13:00,780,5,27,0065,g2,3879,0
13:00,780,5,28,0066,g3,-711,0
13:00,780,5,29,0067,g4,-3378,0
13:00,780,5,30,0068,g5,-1600,0
13:00,780,5,31,0069,g6,-356,0
13:00,780,5,32,0070,g7,1207,0
13:00,780,5,33,0071,g8,-89,0
13:00,780,5,34,0072,g9,3846,0
13:00,780,5,35,0073,g1,8448,0
13:00,780,5,36,0074,g2,-8533,0
13:00,780,5,37,0075,g3,2586,0
13:00,780,5,38,0076,g4,-3911,0
13:00,780,5,39,0077,g5,0,0
13:00,780,10,1,0039,g3,-8622,0
13:00,780,10,2,0040,g4,8182,0
13:00,780,10,3,0041,g5,3448,0
13:00,780,10,4,0042,g6,-356,0
13:00,780,10,5,0043,g7,-4978,0
13:00,780,10,6,0044,g8,0,0
13:00,780,10,7,0045,g9,-6667,0
13:00,780,10,8,0046,g1,-7822,0
13:00,780,10,9,0047,g2,-1422,0
13:00,780,10,10,0048,g3,-5689,0
13:00,780,10,11,0049,g4,-2311,0
13:00,780,10,12,0050,g5,12586,0
13:00,780,10,13,0051,g6,0,0
13:00,780,10,14,0052,g7,2241,0
13:00,780,10,15,0053,g8,-1244,0
13:00,780,10,16,0054,g9,-356,0
13:00,780,10,17,0055,g1,-1600,0
13:00,780,10,18,0056,g2,-533,0
13:00,780,10,19,0057,g3,-1277,0
13:00,780,10,20,0058,g4,-7467,0
13:00,780,10,21,0059,g5,-3378,0
13:00,780,10,22,0060,g6,-2553,0
13:00,780,10,23,0061,g7,-178,0
13:00,780,10,24,0062,g8,4655,0
13:00,780,10,25,0063,g9,0,0
13:00,780,10,26,0064,g1,1034,0
13:00,780,10,27,0065,g2,3879,0
13:00,780,10,28,0066,g3,-711,0
13:00,780,10,29,0067,g4,-3378,0
13:00,780,10,30,0068,g5,-1600,0
13:00,780,10,31,0069,g6,-356,0
13:00,780,10,32,0070,g7,1207,0
13:00,780,10,33,0071,g8,-89,0
13:00,780,10,34,0072,g9,3846,0
13:00,780,10,35,0073,g1,8448,0
13:00,780,10,36,0074,g2,-8533,0
13:00,780,10,37,0075,g3,2586,0
13:00,780,10,38,0076,g4,-3911,0
13:00,780,10,39,0077,g5,0,0
13:00,780,30,1,0040,g4,8182,5455
13:00,780,30,2,0072,g9,3846,3846
13:00,780,30,3,0052,g7,2241,3663
13:00,780,30,4,0053,g8,-1244,2134
13:00,780,30,5,0056,g2,-533,2045
13:00,780,30,6,0047,g2,-1422,889
13:00,780,30,7,0055,g1,-1600,889
13:00,780,30,8,0073,g1,8448,689
13:00,780,30,9,0077,g5,0,356
13:00,780,30,10,0070,g7,1207,173
13:00,780,30,11,0042,g6,-356,0
13:00,780,30,12,0044,g8,0,0
13:00,780,30,13,0048,g3,-5689,0
13:00,780,30,14,0051,g6,0,0
13:00,780,30,15,0061,g7,-178,0
13:00,780,30,16,0063,g9,0,0
13:00,780,30,17,0066,g3,-711,0
13:00,780,30,18,0068,g5,-1600,0
13:00,780,30,19,0071,g8,-89,0
13:00,780,30,20,0075,g3,2586,-173
13:00,780,30,21,0074,g2,-8533,-177
13:00,780,30,22,0069,g6,-356,-178
13:00,780,30,23,0054,g9,-356,-356
13:00,780,30,24,0064,g1,1034,-432
13:00,780,30,25,0039,g3,-8622,-444
13:00,780,30,26,0076,g4,-3911,-533
13:00,780,30,27,0067,g4,-3378,-534
13:00,780,30,28,0062,g8,4655,-690
13:00,780,30,29,0043,g7,-4978,-711
13:00,780,30,30,0060,g6,-2553,-766
13:00,780,30,31,0065,g2,3879,-949
13:00,780,30,32,0057,g3,-1277,-1022
13:00,780,30,33,0041,g5,3448,-1035
13:00,780,30,34,0045,g9,-6667,-1067
13:00,780,30,35,0059,g5,-3378,-1245
13:00,780,30,36,0050,g5,12586,-1380
13:00,780,30,37,0046,g1,-7822,-1422
13:00,780,30,38,0058,g4,-7467,-1600
13:00,780,30,39,0049,g4,-2311,-1689
13:05,785,5,1,0039,g3,-8622,0
13:05,785,5,2,0040,g4,8182,0
13:05,785,5,3,0041,g5,3448,0
13:05,785,5,4,0042,g6,-356,0
13:05,785,5,5,0043,g7,-4978,0
13:05,785,5,6,0044,g8,0,0
13:05,785,5,7,0045,g9,-6667,0
13:05,785,5,8,0046,g1,-7822,0
13:05,785,5,9,0047,g2,-1422,0
13:05,785,5,10,0048,g3,-5689,0
13:05,785,5,11,0049,g4,-2311,0
13:05,785,5,12,0050,g5,12586,0
13:05,785,5,13,0051,g6,0,0
13:05,785,5,14,0052,g7,2241,0
13:05,785,5,15,0053,g8,-1244,0
13:05,785,5,16,0054,g9,-356,0
13:05,785,5,17,0055,g1,-1600,0
13:05,785,5,18,0056,g2,-533,0
13:05,785,5,19,0057,g3,-1277,0
13:05,785,5,20,0058,g4,-7467,0
13:05,785,5,21,0059,g5,-3378,0
13:05,785,5,22,0060,g6,-2553,0
13:05,785,5,23,0061,g7,-178,0
13:05,785,5,24,0062,g8,4655,0
13:05,785,5,25,0063,g9,0,0
13:05,785,5,26,0064,g1,1034,0
13:05,785,5,27,0065,g2,3879,0
13:05,785,5,28,0066,g3,-711,0
13:05,785,5,29,0067,g4,-3378,0
13:05,785,5,30,0068,g5,-1600,0
13:05,785,5,31,0069,g6,-356,0
13:05,785,5,32,0070,g7,1207,0
13:05,785,5,33,0071,g8,-89,0
13:05,785,5,34,0072,g9,3846,0
13:05,785,5,35,0073,g1,8448,0
13:05,785,5,36,0074,g2,-8533,0
13:05,785,5,37,0075,g3,2586,0
13:05,785,5,38,0076,g4,-3911,0
13:05,785,5,39,0077,g5,0,0
13:05,785,10,1,0039,g3,-8622,0
13:05,785,10,2,0040,g4,8182,0
13:05,785,10,3,0041,g5,3448,0
13:05,785,10,4,0042,g6,-356,0
13:05,785,10,5,0043,g7,-4978,0
13:05,785,10,6,0044,g8,0,0
13:05,785,10,7,0045,g9,-6667,0
13:05,785,10,8,0046,g1,-7822,0
13:05,785,10,9,0047,g2,-1422,0
13:05,785,10,10,0048,g3,-5689,0
13:05,785,10,11,0049,g4,-2311,0
13:05,785,10,12,0050,g5,12586,0
13:05,785,10,13,0051,g6,0,0
13:05,785,10,14,0052,g7,2241,0
13:05,785,10,15,0053,g8,-1244,0
13:05,785,10,16,0054,g9,-356,0
13:05,785,10,17,0055,g1,-1600,0
13:05,785,10,18,0056,g2,-533,0
13:05,785,10,19,0057,g3,-1277,0
13:05,785,10,20,0058,g4,-7467,0
13:05,785,10,21,0059,g5,-3378,0
13:05,785,10,22,0060,g6,-2553,0
13:05,785,10,23,0061,g7,-178,0
13:05,785,10,24,0062,g8,4655,0
13:05,785,10,25,0063,g9,0,0
13:05,785,10,26,0064,g1,1034,0
13:05,785,10,27,0065,g2,3879,0
13:05,785,10,28,0066,g3,-711,0
13:05,785,10,29,0067,g4,-3378,0
13:05,785,10,30,0068,g5,-1600,0
13:05,785,10,31,0069,g6,-356,0
13:05,785,10,32,0070,g7,1207,0
13:05,785,10,33,0071,g8,-89,0
13:05,785,10,34,0072,g9,3846,0
13:05,785,10,35,0073,g1,8448,0
13:05,785,10,36,0074,g2,-8533,0
13:05,785,10,37,0075,g3,2586,0
13:05,785,10,38,0076,g4,-3911,0
13:05,785,10,39,0077,g5,0,0
13:05,785,30,1,0040,g4,8182,5455
13:05,785,30,2,0072,g9,3846,3846
13:05,785,30,3,0052,g7,2241,3663
13:05,785,30,4,0053,g8,-1244,2134
13:05,785,30,5,0056,g2,-533,2045
13:05,785,30,6,0047,g2,-1422,889
13:05,785,30,7,0055,g1,-1600,889
13:05,785,30,8,0073,g1,8448,689
13:05,785,30,9,0077,g5,0,356
13:05,785,30,10,0070,g7,1207,173
13:05,785,30,11,0042,g6,-356,0
13:05,785,30,12,0044,g8,0,0
13:05,785,30,13,0048,g3,-5689,0
13:05,785,30,14,0051,g6,0,0
13:05,785,30,15,0061,g7,-178,0
13:05,785,30,16,0063,g9,0,0
13:05,785,30,17,0066,g3,-711,0
13:05,785,30,18,0068,g5,-1600,0
13:05,785,30,19,0071,g8,-89,0
13:05,785,30,20,0075,g3,2586,-173
13:05,785,30,21,0074,g2,-8533,-177
13:05,785,30,22,0069,g6,-356,-178
13:05,785,30,23,0054,g9,-356,-356
13:05,785,30,24,0064,g1,1034,-432
13:05,785,30,25,0039,g3,-8622,-444
13:05,785,30,26,0076,g4,-3911,-533
13:05,785,30,27,0067,g4,-3378,-534
13:05,785,30,28,0062,g8,4655,-690
13:05,785,30,29,0043,g7,-4978,-711
13:05,785,30,30,0060,g6,-2553,-766
