machine,group,first_positive_5m_time,max_5m,max_5m_time,first_positive_10m_time,max_10m,max_10m_time,first_positive_30m_time,max_30m,max_30m_time
0039,g3,13:25,4089,14:30,13:25,4089,14:30,13:25,5600,14:45
0040,g4,13:25,8182,14:30,13:25,8182,14:30,13:00,8182,14:30
0041,g5,14:30,7586,14:30,14:30,7586,14:30,14:30,7586,14:30
0042,g6,,0,13:00,,0,13:00,,0,13:00
0043,g7,14:30,711,14:30,14:30,711,14:30,14:30,711,14:30
0044,g8,,0,13:00,,0,13:00,,0,13:00
0045,g9,13:25,2844,14:30,13:25,2844,14:30,13:25,3734,13:50
0046,g1,13:50,3733,14:45,13:50,3733,14:45,13:55,3733,15:00
0047,g2,13:25,6939,13:25,13:25,6939,13:25,13:00,11077,13:50
0048,g3,13:50,1067,14:30,13:50,1067,14:30,13:55,1067,14:30
0049,g4,14:45,5409,14:45,14:45,5409,14:45,14:45,5409,15:00
0050,g5,13:50,3448,13:50,13:50,3448,13:50,13:50,3448,13:55
0051,g6,14:45,89,14:45,14:45,89,14:45,15:00,89,15:00
0052,g7,13:50,2586,14:30,13:50,2586,14:30,13:00,3663,13:00
0053,g8,13:25,7451,13:25,13:25,7451,13:25,13:00,7451,13:25
0054,g9,14:30,2613,14:45,14:30,2613,14:45,14:30,4035,14:45
0055,g1,,0,13:00,,0,13:00,13:00,889,13:00
0056,g2,13:25,6050,13:25,13:25,6050,13:25,13:00,9930,13:50
0057,g3,,0,13:00,,0,13:00,,0,13:20
0058,g4,14:30,1600,14:30,14:30,1600,14:30,14:30,1600,14:30
0059,g5,,0,13:00,,0,13:00,,0,13:20
0060,g6,,0,13:00,,0,13:00,,0,13:20
0061,g7,13:50,1512,13:50,13:50,1512,13:50,13:55,1512,13:55
0062,g8,,0,13:00,,0,13:00,,0,13:20
0063,g9,14:45,2134,14:45,14:45,2134,14:45,14:45,2134,15:00
0064,g1,,0,13:00,,0,13:00,,0,13:20
0065,g2,,0,13:00,,0,13:00,,0,13:20
0066,g3,13:50,1422,14:45,13:50,1422,14:45,13:55,1422,15:00
0067,g4,14:45,3733,14:45,14:45,3733,14:45,14:45,3733,15:00
0068,g5,13:25,4531,13:25,13:25,4531,13:25,13:25,4531,13:25
0069,g6,13:25,1046,13:25,13:25,1046,13:25,13:25,1046,13:25
0070,g7,13:25,1810,13:25,13:25,1810,13:25,13:00,1810,13:25
0071,g8,,0,13:00,,0,13:00,,0,13:00
0072,g9,13:50,7692,14:30,13:50,7692,14:30,13:00,13333,14:45
0073,g1,,0,13:00,,0,13:00,13:00,689,13:00
0074,g2,14:45,4266,14:45,14:45,4266,14:45,14:45,4266,15:00
0075,g3,13:50,2759,14:45,13:50,2759,14:45,13:50,2759,15:00
0076,g4,14:45,711,14:45,14:45,711,14:45,15:00,711,15:00
0077,g5,,0,13:00,,0,13:00,13:00,356,13:00
