time_bin,start_minute,end_time,group,initial_count,continuation_count,total_hit_count,group_value_start,group_value_end,group_delta
09:00,540,09:30,g1,0,0,0,0,0,0
09:00,540,09:30,g2,0,0,0,0,0,0
09:00,540,09:30,g3,0,0,0,0,0,0
09:00,540,09:30,g4,0,0,0,0,0,0
09:00,540,09:30,g5,0,0,0,0,0,0
09:00,540,09:30,g6,0,0,0,0,0,0
09:00,540,09:30,g7,0,0,0,0,0,0
09:00,540,09:30,g8,0,0,0,0,0,0
09:00,540,09:30,g9,0,0,0,0,0,0
09:30,570,10:00,g1,0,0,0,0,0,0
09:30,570,10:00,g2,0,0,0,0,0,0
09:30,570,10:00,g3,0,0,0,0,0,0
09:30,570,10:00,g4,0,0,0,0,0,0
09:30,570,10:00,g5,0,0,0,0,0,0
09:30,570,10:00,g6,0,0,0,0,0,0
09:30,570,10:00,g7,0,0,0,0,0,0
09:30,570,10:00,g8,0,0,0,0,0,0
09:30,570,10:00,g9,0,0,0,0,0,0
10:00,600,10:30,g1,0,0,0,0,0,0
10:00,600,10:30,g2,0,0,0,0,0,0
10:00,600,10:30,g3,0,0,0,0,-2521,-2521
10:00,600,10:30,g4,0,0,0,0,-3141,-3141
10:00,600,10:30,g5,0,0,0,0,0,0
10:00,600,10:30,g6,1,0,1,0,-1689,-1689
10:00,600,10:30,g7,1,0,1,0,-889,-889
10:00,600,10:30,g8,0,0,0,0,-533,-533
10:00,600,10:30,g9,0,0,0,0,-1499,-1499
10:30,630,11:00,g1,0,0,0,0,-2133,-2133
10:30,630,11:00,g2,0,0,0,0,-711,-711
10:30,630,11:00,g3,1,1,2,-2521,-3325,-804
10:30,630,11:00,g4,0,0,0,-3141,-10145,-7004
10:30,630,11:00,g5,0,0,0,0,-444,-444
10:30,630,11:00,g6,1,4,5,-1689,4634,6323
10:30,630,11:00,g7,0,0,0,-889,-2311,-1422
10:30,630,11:00,g8,0,0,0,-533,-1867,-1334
10:30,630,11:00,g9,0,0,0,-1499,-5498,-3999
11:00,660,11:30,g1,1,4,5,-2133,-404,1729
11:00,660,11:30,g2,0,0,0,-711,-2667,-1956
11:00,660,11:30,g3,1,0,1,-3325,-8839,-5514
11:00,660,11:30,g4,2,0,2,-10145,-12221,-2076
11:00,660,11:30,g5,0,0,0,-444,-2667,-2223
11:00,660,11:30,g6,1,1,2,4634,5458,824
11:00,660,11:30,g7,2,2,4,-2311,108,2419
11:00,660,11:30,g8,0,0,0,-1867,-5165,-3298
11:00,660,11:30,g9,1,1,2,-5498,-6752,-1254
11:30,690,12:00,g1,0,5,5,-404,2850,3254
11:30,690,12:00,g2,0,0,0,-2667,-4177,-1510
11:30,690,12:00,g3,0,1,1,-8839,-9869,-1030
11:30,690,12:00,g4,1,6,7,-12221,-8465,3756
11:30,690,12:00,g5,0,0,0,-2667,-4622,-1955
11:30,690,12:00,g6,0,0,0,5458,1013,-4445
11:30,690,12:00,g7,0,2,2,108,4074,3966
11:30,690,12:00,g8,2,3,5,-5165,-5524,-359
11:30,690,12:00,g9,0,0,0,-6752,-9473,-2721
12:00,720,12:30,g1,1,2,3,2850,8109,5259
12:00,720,12:30,g2,0,0,0,-4177,-10290,-6113
12:00,720,12:30,g3,2,3,5,-9869,-10961,-1092
12:00,720,12:30,g4,1,3,4,-8465,-2556,5909
12:00,720,12:30,g5,3,3,6,-4622,-6508,-1886
12:00,720,12:30,g6,0,0,0,1013,-5220,-6233
12:00,720,12:30,g7,0,0,0,4074,2156,-1918
12:00,720,12:30,g8,1,2,3,-5524,-5750,-226
12:00,720,12:30,g9,1,0,1,-9473,-18759,-9286
12:30,750,13:00,g1,1,2,3,8109,6674,-1435
12:30,750,13:00,g2,1,1,2,-10290,-15425,-5135
12:30,750,13:00,g3,2,5,7,-10961,-10007,954
12:30,750,13:00,g4,1,1,2,-2556,-4027,-1471
12:30,750,13:00,g5,1,4,5,-6508,-1447,5061
