machine,time,minute,value,x_px,y_px
0039,08:54,534,0,0,230
0039,09:06,546,0,6,230
0039,09:17,557,0,12,230
0039,09:25,565,0,16,230
0039,09:36,576,0,22,230
0039,09:47,587,0,28,230
0039,09:55,595,0,32,230
0039,10:06,606,-89,38,232
0039,10:25,625,-1244,48,258
0039,10:37,637,-2400,54,284
0039,10:56,656,-3289,64,304
0039,11:07,667,-3822,70,316
0039,11:26,686,-5244,80,348
0039,11:45,705,-6489,90,376
0039,12:04,724,-7556,100,400
0039,12:27,747,-9244,112,438
0039,12:46,766,-8444,122,420
0039,13:05,785,-9778,132,450
0039,13:24,804,-8089,142,412
0039,13:47,827,-2311,154,282
0039,14:06,846,2586,164,170
0039,14:26,866,2155,174,180
0039,14:45,885,948,184,208
0039,15:08,908,4741,196,120
0039,15:27,927,8707,206,28
0039,15:45,945,7500,216,56
0039,16:08,968,6983,228,68
0039,16:27,987,5517,238,102
0039,16:46,1006,4310,248,130
0039,17:05,1025,2931,258,162
0039,17:28,1048,1638,270,192
0039,17:47,1067,345,280,222
0039,18:06,1086,-978,290,252
0039,18:25,1105,-2489,300,286
0039,18:47,1127,-4000,312,320
0039,19:06,1146,-4711,322,336
0039,19:25,1165,-6133,332,368
0039,19:44,1184,-5867,342,362
0039,20:07,1207,-4889,354,340
0039,20:26,1226,-6222,364,370
0039,20:45,1245,-6933,374,386
0039,21:08,1268,-7111,386,390
0039,21:27,1287,-7733,396,404
0039,23:16,1396,-7733,454,404
0040,08:54,534,0,0,240
0040,09:06,546,0,6,240
0040,09:17,557,0,12,240
0040,09:25,565,0,16,240
0040,09:36,576,0,22,240
0040,09:47,587,0,28,240
0040,09:55,595,0,32,240
0040,10:06,606,0,38,240
0040,10:25,625,-1191,48,254
0040,10:37,637,-2383,54,268
0040,10:56,656,-3404,64,280
0040,11:07,667,-3745,70,284
0040,11:26,686,-5277,80,302
0040,11:45,705,-6979,90,322
0040,12:04,724,-6638,100,318
0040,12:27,747,-7319,112,326
0040,12:46,766,-7149,122,324
0040,13:05,785,-7830,132,332
0040,13:24,804,-9702,142,354
0040,13:47,827,-10723,154,366
0040,14:06,846,-11064,164,370
0040,14:26,866,-9872,174,356
0040,14:45,885,-11404,184,374
0040,15:08,908,-10213,196,360
0040,15:27,927,-8000,206,334
0040,15:45,945,-9362,216,350
0040,16:08,968,-10213,228,360
0040,16:27,987,-11234,238,372
0040,16:46,1006,-10213,248,360
0040,17:05,1025,-11064,258,370
0040,17:28,1048,-4936,270,298
0040,17:47,1067,-4936,280,298
0040,18:06,1086,-4255,290,290
0040,18:25,1105,-340,300,244
0040,18:47,1127,-340,312,244
0040,19:06,1146,-1532,322,258
0040,19:25,1165,4628,332,184
0040,19:44,1184,9091,342,130
0040,20:07,1207,8595,354,136
0040,20:26,1226,12397,364,90
0040,22:27,1347,12066,428,94
0040,23:16,1396,12066,454,94
0041,08:54,534,0,0,230
0041,09:06,546,0,6,230
0041,09:17,557,0,12,230
0041,09:25,565,0,16,230
0041,09:36,576,0,22,230
0041,09:47,587,0,28,230
0041,09:55,595,0,32,230
0041,10:06,606,0,38,230
0041,10:14,614,0,42,230
0041,10:25,625,0,48,230
0041,10:37,637,0,54,230
