time,minute,activity_top3,delta_top3,activity_rank,delta_rank
09:00,540,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:05,545,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:10,550,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:15,555,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:20,560,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:25,565,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:30,570,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:35,575,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:40,580,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:45,585,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:50,590,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
09:55,595,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
10:00,600,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
10:05,605,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
10:10,610,"g4,g2,g3","g1,g5,g6",1:g4;2:g2;3:g3;4:g1;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g5;3:g6;4:g7;5:g3;6:g2;7:g4;8:g9;9:g8
10:15,615,"g4,g1,g2","g1,g2,g3",1:g4;2:g1;3:g2;4:g3;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
10:20,620,"g2,g4,g1","g1,g2,g3",1:g2;2:g4;3:g1;4:g3;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
10:25,625,"g1,g2,g4","g4,g2,g1",1:g1;2:g2;3:g4;4:g3;5:g5;6:g6;7:g7;8:g8;9:g9,1:g4;2:g2;3:g1;4:g5;5:g7;6:g3;7:g6;8:g9;9:g8
10:30,630,"g2,g1,g3","g1,g2,g3",1:g2;2:g1;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
