time,minute,g1,g2,g3,g4,g5,g6,g7,g8,g9,all39_total
09:00,540,0,0,0,0,0,0,0,0,0,0
09:05,545,0,0,0,0,0,0,0,0,0,0
09:10,550,0,0,0,0,0,0,0,0,0,0
09:15,555,0,0,0,0,0,0,0,0,0,0
09:20,560,0,0,0,0,0,0,0,0,0,0
09:25,565,0,0,0,0,0,0,0,0,0,0
09:30,570,0,0,0,0,0,0,0,0,0,0
09:35,575,0,0,0,0,0,0,0,0,0,0
09:40,580,0,0,0,0,0,0,0,0,0,0
09:45,585,0,0,0,0,0,0,0,0,0,0
09:50,590,0,0,0,0,0,0,0,0,0,0
09:55,595,0,0,0,0,0,0,0,0,0,0
10:00,600,0,0,0,0,0,0,0,0,0,0
10:05,605,0,0,0,0,0,0,0,0,0,0
10:10,610,0,-356,0,0,0,-356,0,0,0,-712
10:15,615,0,-356,0,0,0,-356,0,0,0,-712
10:20,620,0,-356,0,0,0,-356,0,0,0,-712
10:25,625,0,-889,-1277,-178,-1277,-1600,-1156,-711,-444,-7532
10:30,630,0,-889,-1277,-178,-1277,-1600,-1156,-711,-444,-7532
10:35,635,0,-889,-1277,-178,-1277,-1600,-1156,-711,-444,-7532
10:40,640,-178,-889,-2154,-1156,-2298,862,-1511,-2311,-444,-10079
10:45,645,-178,-889,-2154,-1156,-2298,862,-1511,-2311,-444,-10079
10:50,650,-178,-889,-2154,-1156,-2298,862,-1511,-2311,-444,-10079
10:55,655,-178,-889,-2154,-1156,-2298,862,-1511,-2311,-444,-10079
11:00,660,-534,-889,-2776,-2844,0,-178,-2489,-3822,-444,-13976
11:05,665,-534,-889,-2776,-2844,0,-178,-2489,-3822,-444,-13976
11:10,670,-889,-889,-3132,-3912,1240,-711,-3200,-4356,-444,-16293
11:15,675,-889,-889,-3132,-3912,1240,-711,-3200,-4356,-444,-16293
11:20,680,-889,-889,-3132,-3912,1240,-711,-3200,-4356,-444,-16293
11:25,685,-889,-889,-3132,-3912,1240,-711,-3200,-4356,-444,-16293
11:30,690,-2134,-1333,-4998,-7201,7934,-3099,-4888,-6311,-444,-22474
11:35,695,-2134,-1333,-4998,-7201,7934,-3099,-4888,-6311,-444,-22474
11:40,700,-2134,-1333,-4998,-7201,7934,-3099,-4888,-6311,-444,-22474
11:45,705,-3733,-3555,-4331,-8178,6590,-2210,-6311,-8266,-800,-30794
11:50,710,-3733,-3555,-4331,-8178,6590,-2210,-6311,-8266,-800,-30794
11:55,715,-3733,-3555,-4331,-8178,6590,-2210,-6311,-8266,-800,-30794
12:00,720,-3733,-3555,-4331,-8178,6590,-2210,-6311,-8266,-800,-30794
12:05,725,-4622,-1703,-6241,-9333,5110,-2922,-6667,-9155,-1333,-36866
12:10,730,-4622,-1703,-6241,-9333,5110,-2922,-6667,-9155,-1333,-36866
12:15,735,-4622,-1703,-6241,-9333,5110,-2922,-6667,-9155,-1333,-36866
12:20,740,-4622,-1703,-6241,-9333,5110,-2922,-6667,-9155,-1333,-36866
12:25,745,-4622,-1703,-6241,-9333,5110,-2922,-6667,-9155,-1333,-36866
12:30,750,-5511,272,-6829,-10577,12425,156,-7912,-11645,-1956,-31577
12:35,755,-5511,272,-6829,-10577,12425,156,-7912,-11645,-1956,-31577
12:40,760,-5511,272,-6829,-10577,12425,156,-7912,-11645,-1956,-31577
12:45,765,-5511,272,-6829,-10577,12425,156,-7912,-11645,-1956,-31577
12:50,770,-5866,-1111,-2200,-13067,19696,5107,-8800,-14222,-3022,-23485
12:55,775,-5866,-1111,-2200,-13067,19696,5107,-8800,-14222,-3022,-23485
13:00,780,-5866,-1111,-2200,-13067,19696,5107,-8800,-14222,-3022,-23485
13:05,785,-7733,-732,426,-10163,18381,4574,-9600,-14667,-3644,-23158
13:10,790,-7733,-732,426,-10163,18381,4574,-9600,-14667,-3644,-23158
13:15,795,-7733,-732,426,-10163,18381,4574,-9600,-14667,-3644,-23158
13:20,800,-7733,-732,426,-10163,18381,4574,-9600,-14667,-3644,-23158
13:25,805,-9333,6532,-1231,-12811,21255,2734,-10578,-15734,-5867,-25033
13:30,810,-9333,6532,-1231,-12811,21255,2734,-10578,-15734,-5867,-25033
13:35,815,-9333,6532,-1231,-12811,21255,2734,-10578,-15734,-5867,-25033
13:40,820,-9333,6532,-1231,-12811,21255,2734,-10578,-15734,-5867,-25033
13:45,825,-9333,6532,-1231,-12811,21255,2734,-10578,-15734,-5867,-25033
13:50,830,-11734,5751,-3014,-13331,21126,1774,-4665,-18222,-3289,-25604
13:55,835,-11734,5751,-3014,-13331,21126,1774,-4665,-18222,-3289,-25604
14:00,840,-11734,5751,-3014,-13331,21126,1774,-4665,-18222,-3289,-25604
14:05,845,-11734,5751,-3014,-13331,21126,1774,-4665,-18222,-3289,-25604
14:10,850,-14489,3133,-5891,-16683,22236,-278,-5618,-22667,1256,-39001
14:15,855,-14489,3133,-5891,-16683,22236,-278,-5618,-22667,1256,-39001
14:20,860,-14489,3133,-5891,-16683,22236,-278,-5618,-22667,1256,-39001
14:25,865,-14489,3133,-5891,-16683,22236,-278,-5618,-22667,1256,-39001
14:30,870,-13778,12628,-3580,-15463,23730,-1653,-5473,-21748,133,-25204
14:35,875,-13778,12628,-3580,-15463,23730,-1653,-5473,-21748,133,-25204
14:40,880,-13778,12628,-3580,-15463,23730,-1653,-5473,-21748,133,-25204
14:45,885,-15822,14330,-4740,-15932,24746,1209,-4269,-22167,-1728,-24373
14:50,890,-15822,14330,-4740,-15932,24746,1209,-4269,-22167,-1728,-24373
14:55,895,-15822,14330,-4740,-15932,24746,1209,-4269,-22167,-1728,-24373
15:00,900,-15822,14330,-4740,-15932,24746,1209,-4269,-22167,-1728,-24373
15:05,905,-15822,14330,-4740,-15932,24746,1209,-4269,-22167,-1728,-24373
15:10,910,-19556,17962,-7510,-18303,23763,2316,-468,-23405,-4011,-29212
15:15,915,-19556,17962,-7510,-18303,23763,2316,-468,-23405,-4011,-29212
15:20,920,-19556,17962,-7510,-18303,23763,2316,-468,-23405,-4011,-29212
15:25,925,-19556,17962,-7510,-18303,23763,2316,-468,-23405,-4011,-29212
15:30,930,-12536,16195,-264,-19098,21864,-2194,1019,-24382,-740,-20136
15:35,935,-12536,16195,-264,-19098,21864,-2194,1019,-24382,-740,-20136
15:40,940,-12536,16195,-264,-19098,21864,-2194,1019,-24382,-740,-20136
15:45,945,-6933,13191,529,-20396,22636,1878,4252,-4872,-4497,5788
15:50,950,-6933,13191,529,-20396,22636,1878,4252,-4872,-4497,5788
15:55,955,-6933,13191,529,-20396,22636,1878,4252,-4872,-4497,5788
16:00,960,-6933,13191,529,-20396,22636,1878,4252,-4872,-4497,5788
16:05,965,-6933,13191,529,-20396,22636,1878,4252,-4872,-4497,5788
16:10,970,-5942,11222,-1773,-22949,20189,5611,1027,-3081,-8919,-4615
16:15,975,-5942,11222,-1773,-22949,20189,5611,1027,-3081,-8919,-4615
16:20,980,-5942,11222,-1773,-22949,20189,5611,1027,-3081,-8919,-4615
16:25,985,-5942,11222,-1773,-22949,20189,5611,1027,-3081,-8919,-4615
16:30,990,-3009,8980,8864,-22311,25003,19901,-1917,-7687,-7280,20544
16:35,995,-3009,8980,8864,-22311,25003,19901,-1917,-7687,-7280,20544
16:40,1000,-3009,8980,8864,-22311,25003,19901,-1917,-7687,-7280,20544
16:45,1005,-3009,8980,8864,-22311,25003,19901,-1917,-7687,-7280,20544
16:50,1010,-441,6426,10893,-22417,34208,19594,2071,-8754,-3663,37917
16:55,1015,-441,6426,10893,-22417,34208,19594,2071,-8754,-3663,37917
17:00,1020,-441,6426,10893,-22417,34208,19594,2071,-8754,-3663,37917
17:05,1025,592,2076,7816,-14846,41910,17142,2555,-10085,-3954,43206
17:10,1030,592,2076,7816,-14846,41910,17142,2555,-10085,-3954,43206
17:15,1035,592,2076,7816,-14846,41910,17142,2555,-10085,-3954,43206
17:20,1040,592,2076,7816,-14846,41910,17142,2555,-10085,-3954,43206
17:25,1045,592,2076,7816,-14846,41910,17142,2555,-10085,-3954,43206
17:30,1050,-3603,-1798,12569,-15293,45634,16033,-3274,-6351,-5903,38014
17:35,1055,-3603,-1798,12569,-15293,45634,16033,-3274,-6351,-5903,38014
17:40,1060,-3603,-1798,12569,-15293,45634,16033,-3274,-6351,-5903,38014
17:45,1065,-3603,-1798,12569,-15293,45634,16033,-3274,-6351,-5903,38014
17:50,1070,-4136,-3136,14161,-19530,50380,13830,-7429,-7417,-7663,29060
17:55,1075,-4136,-3136,14161,-19530,50380,13830,-7429,-7417,-7663,29060
18:00,1080,-4136,-3136,14161,-19530,50380,13830,-7429,-7417,-7663,29060
18:05,1085,-4136,-3136,14161,-19530,50380,13830,-7429,-7417,-7663,29060
18:10,1090,1108,-4877,15597,-15248,62472,11097,2784,-2350,-8638,61945
18:15,1095,1108,-4877,15597,-15248,62472,11097,2784,-2350,-8638,61945
18:20,1100,1108,-4877,15597,-15248,62472,11097,2784,-2350,-8638,61945
18:25,1105,471,-6902,17860,-10921,60844,10337,6872,-2380,-10416,65765
18:30,1110,471,-6902,17860,-10921,60844,10337,6872,-2380,-10416,65765
18:35,1115,471,-6902,17860,-10921,60844,10337,6872,-2380,-10416,65765
18:40,1120,471,-6902,17860,-10921,60844,10337,6872,-2380,-10416,65765
18:45,1125,471,-6902,17860,-10921,60844,10337,6872,-2380,-10416,65765
18:50,1130,880,-7754,19985,-7178,57491,6522,4185,-4994,-12262,56875
18:55,1135,880,-7754,19985,-7178,57491,6522,4185,-4994,-12262,56875
19:00,1140,880,-7754,19985,-7178,57491,6522,4185,-4994,-12262,56875
19:05,1145,880,-7754,19985,-7178,57491,6522,4185,-4994,-12262,56875
19:10,1150,2238,-8732,20410,-8491,60402,10446,2600,-3975,-13392,61506
19:15,1155,2238,-8732,20410,-8491,60402,10446,2600,-3975,-13392,61506
19:20,1160,2238,-8732,20410,-8491,60402,10446,2600,-3975,-13392,61506
19:25,1165,-1258,-10864,23455,-9393,63257,14458,2072,-2899,-15583,63245
19:30,1170,-1258,-10864,23455,-9393,63257,14458,2072,-2899,-15583,63245
19:35,1175,-1258,-10864,23455,-9393,63257,14458,2072,-2899,-15583,63245
19:40,1180,-1258,-10864,23455,-9393,63257,14458,2072,-2899,-15583,63245
19:45,1185,-2210,-11664,21946,-12035,62385,13687,176,-324,-16902,55059
19:50,1190,-2210,-11664,21946,-12035,62385,13687,176,-324,-16902,55059
19:55,1195,-2210,-11664,21946,-12035,62385,13687,176,-324,-16902,55059
