machine,group,first_hit_time,first_hit_order,source
0039,g3,14:21,27,PSCUBE history CSV status=初当り
0040,g4,11:11,4,PSCUBE history CSV status=初当り
0041,g5,15:14,31,PSCUBE history CSV status=初当り
0042,g6,19:16,38,PSCUBE history CSV status=初当り
0043,g7,13:05,16,PSCUBE history CSV status=初当り
0044,g8,15:21,32,PSCUBE history CSV status=初当り
0045,g9,13:51,25,PSCUBE history CSV status=初当り
0046,g1,13:43,22,PSCUBE history CSV status=初当り
0047,g2,12:33,14,PSCUBE history CSV status=初当り
0048,g3,10:37,2,PSCUBE history CSV status=初当り
0049,g4,13:44,23,PSCUBE history CSV status=初当り
0050,g5,14:48,29,PSCUBE history CSV status=初当り
0051,g6,15:54,37,PSCUBE history CSV status=初当り
0052,g7,15:41,34,PSCUBE history CSV status=初当り
0053,g8,13:10,18,PSCUBE history CSV status=初当り
0054,g9,12:15,10,PSCUBE history CSV status=初当り
0055,g1,13:25,20,PSCUBE history CSV status=初当り
0056,g2,14:56,30,PSCUBE history CSV status=初当り
0057,g3,13:14,19,PSCUBE history CSV status=初当り
0058,g4,11:36,7,PSCUBE history CSV status=初当り
0059,g5,12:20,11,PSCUBE history CSV status=初当り
0060,g6,11:26,5,PSCUBE history CSV status=初当り
0061,g7,,,no qualifying history event
0062,g8,15:53,36,PSCUBE history CSV status=初当り
0063,g9,14:29,28,PSCUBE history CSV status=初当り
0064,g1,10:35,1,PSCUBE history CSV status=初当り
0065,g2,10:47,3,PSCUBE history CSV status=初当り
0066,g3,12:23,13,PSCUBE history CSV status=初当り
0067,g4,13:49,24,PSCUBE history CSV status=初当り
0068,g5,12:21,12,PSCUBE history CSV status=初当り
0069,g6,14:01,26,PSCUBE history CSV status=初当り
0070,g7,11:30,6,PSCUBE history CSV status=初当り
0071,g8,15:45,35,PSCUBE history CSV status=初当り
0072,g9,13:39,21,PSCUBE history CSV status=初当り
0073,g1,13:07,17,PSCUBE history CSV status=初当り
0074,g2,12:37,15,PSCUBE history CSV status=初当り
0075,g3,11:50,8,PSCUBE history CSV status=初当り
0076,g4,15:28,33,PSCUBE history CSV status=初当り
0077,g5,12:13,9,PSCUBE history CSV status=初当り
