order,time,machine,group,source
1,10:15,0057,g3,PSCUBE history CSV status=初当り
2,10:32,0077,g5,PSCUBE history CSV status=初当り
3,10:42,0068,g5,PSCUBE history CSV status=初当り
4,10:43,0055,g1,PSCUBE history CSV status=初当り
5,10:55,0060,g6,PSCUBE history CSV status=初当り
6,11:08,0052,g7,PSCUBE history CSV status=初当り
7,11:15,0043,g7,PSCUBE history CSV status=初当り
8,11:16,0048,g3,PSCUBE history CSV status=初当り
9,12:04,0050,g5,PSCUBE history CSV status=初当り
10,12:17,0066,g3,PSCUBE history CSV status=初当り
11,12:18,0051,g6,PSCUBE history CSV status=初当り
12,12:21,0063,g9,PSCUBE history CSV status=初当り
13,12:29,0053,g8,PSCUBE history CSV status=初当り
14,12:36,0047,g2,PSCUBE history CSV status=初当り
15,12:57,0049,g4,PSCUBE history CSV status=初当り
16,13:02,0074,g2,PSCUBE history CSV status=初当り
17,13:19,0071,g8,PSCUBE history CSV status=初当り
18,13:19,0076,g4,PSCUBE history CSV status=初当り
19,13:26,0072,g9,PSCUBE history CSV status=初当り
20,13:41,0062,g8,PSCUBE history CSV status=初当り
21,13:47,0039,g3,PSCUBE history CSV status=初当り
22,14:14,0070,g7,PSCUBE history CSV status=初当り
23,14:15,0041,g5,PSCUBE history CSV status=初当り
24,14:18,0056,g2,PSCUBE history CSV status=初当り
25,14:24,0067,g4,PSCUBE history CSV status=初当り
26,14:34,0045,g9,PSCUBE history CSV status=初当り
27,14:38,0058,g4,PSCUBE history CSV status=初当り
28,14:39,0054,g9,PSCUBE history CSV status=初当り
29,15:00,0044,g8,PSCUBE history CSV status=初当り
30,15:20,0069,g6,PSCUBE history CSV status=初当り
31,15:35,0073,g1,PSCUBE history CSV status=初当り
32,15:49,0046,g1,PSCUBE history CSV status=初当り
33,15:49,0061,g7,PSCUBE history CSV status=初当り
34,16:31,0040,g4,PSCUBE history CSV status=初当り
35,16:47,0059,g5,PSCUBE history CSV status=初当り
36,17:17,0064,g1,PSCUBE history CSV status=初当り
37,17:52,0075,g3,PSCUBE history CSV status=初当り
