group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,2,4,6,2.0
g1,12-15,12:00,15:00,2,1,3,0.5
g1,15-18,15:00,18:00,9,62,71,6.8889
g1,18-close,18:00,24:00,2,7,9,3.5
g2,09-12,09:00,12:00,0,0,0,
g2,12-15,12:00,15:00,6,17,23,2.8333
g2,15-18,15:00,18:00,1,2,3,2.0
g2,18-close,18:00,24:00,2,9,11,4.5
g3,09-12,09:00,12:00,2,17,19,8.5
g3,12-15,12:00,15:00,6,14,20,2.3333
g3,15-18,15:00,18:00,11,23,34,2.0909
g3,18-close,18:00,24:00,4,6,10,1.5
g4,09-12,09:00,12:00,0,0,0,
g4,12-15,12:00,15:00,5,10,15,2.0
g4,15-18,15:00,18:00,10,22,32,2.2
g4,18-close,18:00,24:00,2,2,4,1.0
g5,09-12,09:00,12:00,4,14,18,3.5
g5,12-15,12:00,15:00,7,12,19,1.7143
g5,15-18,15:00,18:00,5,12,17,2.4
g5,18-close,18:00,24:00,9,21,30,2.3333
g6,09-12,09:00,12:00,4,4,8,1.0
g6,12-15,12:00,15:00,2,9,11,4.5
g6,15-18,15:00,18:00,4,8,12,2.0
g6,18-close,18:00,24:00,1,0,1,0.0
g7,09-12,09:00,12:00,3,3,6,1.0
g7,12-15,12:00,15:00,3,3,6,1.0
g7,15-18,15:00,18:00,6,22,28,3.6667
g7,18-close,18:00,24:00,0,15,15,
g8,09-12,09:00,12:00,0,0,0,
g8,12-15,12:00,15:00,4,12,16,3.0
g8,15-18,15:00,18:00,8,10,18,1.25
g8,18-close,18:00,24:00,4,2,6,0.5
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,8,8,16,1.0
g9,15-18,15:00,18:00,8,19,27,2.375
g9,18-close,18:00,24:00,0,0,0,
