time,minute,initial_5m,continuation_5m,total_5m,initial_10m,continuation_10m,total_10m,initial_30m,continuation_30m,total_30m
09:00,540,0,0,0,0,0,0,0,0,0
09:05,545,0,0,0,0,0,0,0,0,0
09:10,550,0,0,0,0,0,0,0,0,0
09:15,555,0,0,0,0,0,0,0,0,0
09:20,560,0,0,0,0,0,0,0,0,0
09:25,565,0,0,0,0,0,0,0,0,0
09:30,570,0,0,0,0,0,0,0,0,0
09:35,575,0,0,0,0,0,0,0,0,0
09:40,580,0,0,0,0,0,0,0,0,0
09:45,585,0,0,0,0,0,0,0,0,0
09:50,590,0,0,0,0,0,0,0,0,0
09:55,595,0,0,0,0,0,0,0,0,0
10:00,600,0,0,0,0,0,0,0,0,0
10:05,605,0,0,0,0,0,0,0,0,0
10:10,610,0,0,0,0,0,0,0,0,0
10:15,615,0,0,0,0,0,0,1,0,1
10:20,620,0,0,0,0,0,0,1,1,2
10:25,625,0,0,0,0,0,0,2,1,3
10:30,630,0,0,0,0,0,0,3,1,4
10:35,635,0,0,0,1,0,1,3,2,5
10:40,640,1,0,1,1,1,2,3,2,5
10:45,645,0,1,1,1,1,2,2,2,4
10:50,650,1,0,1,2,0,2,5,2,7
10:55,655,1,0,1,1,1,2,5,5,10
11:00,660,0,1,1,0,1,1,4,6,10
11:05,665,0,0,0,0,0,0,4,7,11
11:10,670,0,0,0,3,1,4,4,7,11
11:15,675,3,1,4,4,4,8,4,7,11
11:20,680,1,3,4,1,4,5,2,6,8
11:25,685,0,1,1,0,3,3,4,5,9
11:30,690,0,2,2,0,2,2,5,8,13
11:35,695,0,0,0,0,0,0,5,12,17
11:40,700,0,0,0,1,0,1,6,16,22
11:45,705,1,0,1,4,2,6,6,20,26
11:50,710,3,2,5,4,6,10,7,23,30
11:55,715,1,4,5,1,10,11,6,25,31
12:00,720,0,6,6,1,10,11,5,24,29
12:05,725,1,4,5,1,8,9,6,22,28
12:10,730,0,4,4,2,7,9,5,20,25
12:15,735,2,3,5,4,7,11,6,19,25
12:20,740,2,4,6,2,7,9,5,17,22
12:25,745,0,3,3,1,7,8,3,15,18
12:30,750,1,4,5,1,6,7,4,13,17
12:35,755,0,2,2,1,5,6,4,9,13
12:40,760,1,3,4,2,4,6,4,8,12
12:45,765,1,1,2,1,3,4,6,7,13
12:50,770,0,2,2,1,3,4,7,6,13
12:55,775,1,1,2,2,1,3,7,7,14
13:00,780,1,0,1,1,1,2,7,7,14
13:05,785,0,1,1,3,3,6,7,7,14
13:10,790,3,2,5,5,2,7,9,7,16
13:15,795,2,0,2,2,3,5,8,10,18
13:20,800,0,3,3,1,4,5,6,14,20
13:25,805,1,1,2,2,1,3,7,13,20
13:30,810,1,0,1,3,1,4,8,14,22
13:35,815,2,1,3,4,6,10,8,16,24
13:40,820,2,5,7,2,9,11,8,18,26
13:45,825,0,4,4,1,6,7,6,17,23
13:50,830,1,2,3,3,4,7,7,15,22
13:55,835,2,2,4,3,4,7,7,15,22
14:00,840,1,2,3,3,5,8,7,17,24
14:05,845,2,3,5,2,7,9,6,19,25
14:10,850,0,4,4,1,6,7,5,20,25
14:15,855,1,2,3,2,4,6,6,21,27
14:20,860,1,2,3,3,6,9,8,25,33
14:25,865,2,4,6,2,8,10,8,26,34
14:30,870,0,4,4,1,8,9,7,24,31
14:35,875,1,4,5,2,9,11,9,20,29
14:40,880,1,5,6,4,11,15,9,18,27
14:45,885,3,6,9,4,9,13,9,15,24
14:50,890,1,3,4,2,5,7,8,13,21
14:55,895,1,2,3,3,2,5,8,15,23
15:00,900,2,0,2,3,2,5,10,16,26
15:05,905,1,2,3,2,4,6,10,21,31
15:10,910,1,2,3,3,6,9,10,24,34
15:15,915,2,4,6,3,9,12,10,25,35
15:20,920,1,5,6,4,8,12,9,24,33
15:25,925,3,3,6,5,8,13,9,22,31
15:30,930,2,5,7,3,10,13,9,21,30
15:35,935,1,5,6,2,8,10,8,20,28
15:40,940,1,3,4,2,6,8,7,20,27
15:45,945,1,3,4,2,6,8,9,21,30
15:50,950,1,3,4,4,5,9,9,26,35
15:55,955,3,2,5,4,6,10,9,30,39
16:00,960,1,4,5,1,9,10,6,35,41
16:05,965,0,5,5,3,9,12,6,37,43
16:10,970,3,4,7,4,12,16,8,38,46
16:15,975,1,8,9,2,15,17,6,40,46
16:20,980,1,7,8,1,14,15,6,35,41
16:25,985,0,7,7,1,13,14,6,29,35
16:30,990,1,6,7,3,12,15,7,27,34
16:35,995,2,6,8,3,12,15,8,23,31
16:40,1000,1,6,7,2,9,11,8,20,28
16:45,1005,1,3,4,2,4,6,8,17,25
16:50,1010,1,1,2,2,6,8,8,16,24
16:55,1015,1,5,6,3,7,10,12,17,29
17:00,1020,2,2,4,4,5,9,12,20,32
17:05,1025,2,3,5,3,6,9,11,23,34
17:10,1030,1,3,4,2,5,7,9,24,33
17:15,1035,1,2,3,6,4,10,9,24,33
17:20,1040,5,2,7,6,10,16,9,26,35
17:25,1045,1,8,9,2,13,15,4,28,32
17:30,1050,1,5,6,1,9,10,3,22,25
17:35,1055,0,4,4,1,7,8,2,19,21
17:40,1060,1,3,4,2,7,9,2,15,17
17:45,1065,1,4,5,1,8,9,1,12,13
17:50,1070,0,4,4,0,6,6,1,8,9
17:55,1075,0,2,2,0,4,4,1,5,6
18:00,1080,0,2,2,0,2,2,1,4,5
18:05,1085,0,0,0,0,0,0,2,3,5
18:10,1090,0,0,0,1,0,1,2,4,6
18:15,1095,1,0,1,1,1,2,2,4,6
18:20,1100,0,1,1,0,2,2,2,5,7
18:25,1105,0,1,1,1,2,3,3,6,9
18:30,1110,1,1,2,1,2,3,3,5,8
18:35,1115,0,1,1,0,1,1,5,5,10
18:40,1120,0,0,0,1,1,2,6,6,12
18:45,1125,1,1,2,2,3,5,6,8,14
18:50,1130,1,2,3,1,2,3,5,8,13
18:55,1135,0,0,0,3,1,4,4,7,11
19:00,1140,3,1,4,4,3,7,4,9,13
19:05,1145,1,2,3,1,4,5,2,8,10
19:10,1150,0,2,2,0,3,3,3,8,11
19:15,1155,0,1,1,0,2,2,3,6,9
19:20,1160,0,1,1,0,3,3,3,5,8
19:25,1165,0,2,2,1,2,3,3,4,7
19:30,1170,1,0,1,3,2,5,3,2,5
19:35,1175,2,2,4,2,2,4,5,3,8
19:40,1180,0,0,0,0,0,0,3,2,5
19:45,1185,0,0,0,0,0,0,3,4,7
19:50,1190,0,0,0,0,0,0,4,5,9
19:55,1195,0,0,0,3,1,4,4,7,11
20:00,1200,3,1,4,3,2,5,4,8,12
20:05,1205,0,1,1,0,3,3,2,9,11
20:10,1210,0,2,2,1,3,4,3,10,13
20:15,1215,1,1,2,1,3,4,4,8,12
20:20,1220,0,2,2,0,3,3,3,8,11
20:25,1225,0,1,1,1,3,4,4,7,11
20:30,1230,1,2,3,2,4,6,4,7,11
20:35,1235,1,2,3,2,2,4,4,6,10
20:40,1240,1,0,1,1,1,2,3,5,8
20:45,1245,0,1,1,1,2,3,2,6,8
20:50,1250,1,1,2,1,2,3,2,5,7
20:55,1255,0,1,1,1,2,3,2,4,6
21:00,1260,1,1,2,1,2,3,2,3,5
21:05,1265,0,1,1,0,2,2,1,2,3
21:10,1270,0,1,1,0,1,1,1,1,2
21:15,1275,0,0,0,1,0,1,1,0,1
21:20,1280,1,0,1,1,0,1,1,0,1
21:25,1285,0,0,0,0,0,0,1,0,1
21:30,1290,0,0,0,0,0,0,1,2,3
21:35,1295,0,0,0,0,0,0,1,2,3
21:40,1300,0,0,0,0,0,0,1,2,3
21:45,1305,0,0,0,1,0,1,1,2,3
21:50,1310,1,0,1,1,2,3,1,2,3
21:55,1315,0,2,2,0,2,2,0,2,2
22:00,1320,0,0,0,0,0,0,0,0,0
22:05,1325,0,0,0,0,0,0,0,0,0
22:10,1330,0,0,0,0,0,0,0,0,0
22:15,1335,0,0,0,0,0,0,0,0,0
22:20,1340,0,0,0,0,0,0,0,0,0
22:25,1345,0,0,0,0,0,0,0,0,0
22:30,1350,0,0,0,0,0,0,0,0,0
22:35,1355,0,0,0,0,0,0,0,0,0
22:40,1360,0,0,0,0,0,0,0,0,0
22:45,1365,0,0,0,0,0,0,0,0,0
22:50,1370,0,0,0,0,0,0,0,0,0
22:55,1375,0,0,0,0,0,0,0,0,0
23:00,1380,0,0,0,0,0,0,0,0,0
23:05,1385,0,0,0,0,0,0,0,0,0
23:10,1390,0,0,0,0,0,0,0,0,0
23:15,1395,0,0,0,0,0,0,0,0,0
23:16,1396,0,0,0,0,0,0,0,0,0
23:20,1400,0,0,0,0,0,0,0,0,0
