window,time,minute,hit_count
5,10:20,620,1
5,10:25,625,0
5,10:30,630,0
5,10:35,635,0
5,10:40,640,1
5,10:45,645,0
5,10:50,650,0
5,10:55,655,1
5,11:00,660,0
5,11:05,665,0
5,11:10,670,0
5,11:15,675,2
5,11:20,680,2
5,11:25,685,2
5,11:30,690,0
5,11:35,695,0
5,11:40,700,0
5,11:45,705,3
5,11:50,710,0
5,11:55,715,0
5,12:00,720,1
5,12:05,725,1
5,12:10,730,2
5,12:15,735,1
5,12:20,740,1
5,12:25,745,0
5,12:30,750,1
5,12:35,755,3
5,12:40,760,3
5,12:45,765,0
5,12:50,770,1
5,12:55,775,1
5,13:00,780,0
5,13:05,785,2
5,13:10,790,2
5,13:15,795,1
5,13:20,800,0
5,13:25,805,0
5,13:30,810,0
5,13:35,815,1
5,13:40,820,1
5,13:45,825,0
5,13:50,830,2
5,13:55,835,2
5,14:00,840,1
5,14:05,845,1
5,14:10,850,0
5,14:15,855,3
5,14:20,860,2
5,14:25,865,3
5,14:30,870,6
5,14:35,875,2
5,14:40,880,2
5,14:45,885,2
5,14:50,890,1
5,14:55,895,2
5,15:00,900,1
5,15:05,905,2
5,15:10,910,4
5,15:15,915,2
5,15:20,920,3
5,15:25,925,1
5,15:30,930,1
5,15:35,935,2
5,15:40,940,3
5,15:45,945,4
5,15:50,950,2
5,15:55,955,1
5,16:00,960,1
5,16:05,965,0
5,16:10,970,2
5,16:15,975,2
5,16:20,980,1
5,16:25,985,0
5,16:30,990,3
5,16:35,995,1
5,16:40,1000,3
5,16:45,1005,0
5,16:50,1010,2
5,16:55,1015,3
5,17:00,1020,0
5,17:05,1025,1
5,17:10,1030,2
5,17:15,1035,5
5,17:20,1040,1
5,17:25,1045,1
5,17:30,1050,0
5,17:35,1055,1
5,17:40,1060,2
5,17:45,1065,1
5,17:50,1070,1
5,17:55,1075,1
5,18:00,1080,2
5,18:05,1085,0
5,18:10,1090,1
5,18:15,1095,4
5,18:20,1100,1
5,18:25,1105,3
5,18:30,1110,0
5,18:35,1115,2
5,18:40,1120,3
5,18:45,1125,1
5,18:50,1130,3
5,18:55,1135,1
5,19:00,1140,2
5,19:05,1145,1
5,19:10,1150,2
5,19:15,1155,0
5,19:20,1160,0
5,19:25,1165,0
5,19:30,1170,1
5,19:35,1175,1
5,19:40,1180,1
5,19:45,1185,0
5,19:50,1190,1
5,19:55,1195,1
5,20:00,1200,0
5,20:05,1205,1
5,20:10,1210,0
5,20:15,1215,1
5,20:20,1220,0
5,20:25,1225,0
5,20:30,1230,1
5,20:35,1235,0
5,20:40,1240,0
5,20:45,1245,0
5,20:50,1250,2
5,20:55,1255,0
5,21:00,1260,0
5,21:05,1265,0
5,21:10,1270,1
5,21:15,1275,4
5,21:20,1280,1
5,21:25,1285,0
5,21:30,1290,2
5,21:35,1295,0
5,21:40,1300,1
5,21:45,1305,0
5,21:50,1310,1
5,21:55,1315,0
5,22:00,1320,1
5,22:05,1325,1
10,10:20,620,1
10,10:30,630,0
10,10:40,640,1
10,10:50,650,1
10,11:00,660,0
10,11:10,670,2
10,11:20,680,4
10,11:30,690,0
10,11:40,700,3
10,11:50,710,0
10,12:00,720,2
10,12:10,730,3
10,12:20,740,1
10,12:30,750,4
10,12:40,760,3
10,12:50,770,2
10,13:00,780,2
10,13:10,790,3
10,13:20,800,0
10,13:30,810,1
10,13:40,820,1
10,13:50,830,4
10,14:00,840,2
10,14:10,850,3
10,14:20,860,5
10,14:30,870,8
10,14:40,880,4
10,14:50,890,3
10,15:00,900,3
10,15:10,910,6
10,15:20,920,4
10,15:30,930,3
10,15:40,940,7
10,15:50,950,3
10,16:00,960,1
10,16:10,970,4
10,16:20,980,1
10,16:30,990,4
10,16:40,1000,3
10,16:50,1010,5
10,17:00,1020,1
10,17:10,1030,7
10,17:20,1040,2
10,17:30,1050,1
10,17:40,1060,3
10,17:50,1070,2
10,18:00,1080,2
10,18:10,1090,5
10,18:20,1100,4
10,18:30,1110,2
10,18:40,1120,4
10,18:50,1130,4
10,19:00,1140,3
10,19:10,1150,2
10,19:20,1160,0
10,19:30,1170,2
10,19:40,1180,1
10,19:50,1190,2
10,20:00,1200,1
10,20:10,1210,1
10,20:20,1220,0
10,20:30,1230,1
10,20:40,1240,0
10,20:50,1250,2
10,21:00,1260,0
10,21:10,1270,5
10,21:20,1280,1
10,21:30,1290,2
10,21:40,1300,1
10,21:50,1310,1
10,22:00,1320,2
30,10:00,600,1
30,10:30,630,2
30,11:00,660,6
30,11:30,690,3
30,12:00,720,6
30,12:30,750,9
30,13:00,780,5
30,13:30,810,6
30,14:00,840,10
30,14:30,870,15
30,15:00,900,13
30,15:30,930,13
30,16:00,960,6
30,16:30,990,12
30,17:00,1020,10
30,17:30,1050,6
30,18:00,1080,11
30,18:30,1110,10
30,19:00,1140,5
30,19:30,1170,5
30,20:00,1200,2
30,20:30,1230,3
30,21:00,1260,6
30,21:30,1290,4
30,22:00,1320,2
