preprocessing,rank,role,frequency,period_days,amplitude,phase,relative_power,phase_definition,n_observations,n_fft,sampling_interval,frequency_unit,period_basis
raw_close,1,MID,0.421875,2.3703703703703702,6355.231826848681,143.4989381321052,0.11496981588497954,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
raw_close,2,SHORT,0.4375,2.2857142857142856,5518.587234426464,63.62293250697062,0.08669156937285376,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
raw_close,3,LONG,0.25,4.0,4956.123084269519,140.97689341128628,0.06992060990731236,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,1,MID,0.421875,2.3703703703703702,6378.019155840641,143.46895481071832,0.11601694308554204,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,2,SHORT,0.4375,2.2857142857142856,5528.067503354823,63.93644634303881,0.08715583233114263,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,3,LONG,0.25,4.0,5000.3267391913405,140.6323266637986,0.07130936133207773,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,1,MID,0.421875,2.3703703703703702,6367.158076635573,143.3804087014233,0.11586732590854636,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,2,SHORT,0.4375,2.2857142857142856,5537.681018505959,63.84870157525544,0.08764468641329892,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,3,LONG,0.25,4.0,4988.478882138038,140.52058834662637,0.07112233326017965,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,1,MID,0.421875,2.3703703703703702,6378.019155840641,143.46895481071832,0.11601694308554204,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,2,SHORT,0.4375,2.2857142857142856,5528.067503354823,63.93644634303881,0.08715583233114263,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,3,LONG,0.25,4.0,5000.3267391913405,140.6323266637986,0.07130936133207773,"0=trough, 90=rising, 180=crest, 270=falling",59,64,1.0,cycles/observation,observations (not calendar days)
