date,event_type,previous_value,current_value,details
2026-07-18,COMPONENT_REORDER,3-2-1,2-3-1,LONG-MID-SHORT rank signature changed
2026-07-19,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-07-23,MID_PERIOD_SHIFT,3.2,2.2857142857142856,absolute pct change=0.286
2026-07-23,COMPONENT_REORDER,2-3-1,1-2-3,LONG-MID-SHORT rank signature changed
2026-07-23,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-07-24,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-07-29,FFT_SIZE_CHANGE,32,64,frequency-bin resolution changed
2026-07-29,COMPONENT_REORDER,1-2-3,1-3-2,LONG-MID-SHORT rank signature changed
2026-07-29,JOINT_REPEAT_CHANGE,16,64,LCM of discrete component repeat periods changed
2026-07-29,REGIME_TO_UNSTABLE,STABLE,UNSTABLE,period-regime classification changed
2026-07-30,REGIME_TO_STABLE,UNSTABLE,STABLE,period-regime classification changed
2026-07-31,COMPONENT_REORDER,1-3-2,1-2-3,LONG-MID-SHORT rank signature changed
2026-07-31,JOINT_REPEAT_CHANGE,64,16,LCM of discrete component repeat periods changed
2026-07-31,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-08-01,COMPONENT_REORDER,1-2-3,2-1-3,LONG-MID-SHORT rank signature changed
2026-08-02,COMPONENT_REORDER,2-1-3,1-2-3,LONG-MID-SHORT rank signature changed
2026-08-03,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-04,COMPONENT_REORDER,1-2-3,1-3-2,LONG-MID-SHORT rank signature changed
2026-08-04,JOINT_REPEAT_CHANGE,16,64,LCM of discrete component repeat periods changed
2026-08-04,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-08-05,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-15,COMPONENT_REORDER,1-3-2,2-1-3,LONG-MID-SHORT rank signature changed
2026-08-15,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
2026-08-16,COMPONENT_REORDER,2-1-3,1-3-2,LONG-MID-SHORT rank signature changed
2026-08-17,COMPONENT_REORDER,1-3-2,1-2-3,LONG-MID-SHORT rank signature changed
2026-08-18,REGIME_TO_STABLE,TRANSITION,STABLE,period-regime classification changed
2026-08-21,COMPONENT_REORDER,1-2-3,2-1-3,LONG-MID-SHORT rank signature changed
2026-08-21,REGIME_TO_TRANSITION,STABLE,TRANSITION,period-regime classification changed
