date,machine,status,n_observations,n_fft,regime,long_k,long_frequency,long_period,long_rank,long_relative_power,mid_k,mid_frequency,mid_period,mid_rank,mid_relative_power,short_k,short_frequency,short_period,short_rank,short_relative_power,long_phase,long_wave_value,long_amplitude,long_x,long_y,long_region,long_top_side,mid_phase,mid_wave_value,mid_amplitude,mid_x,mid_y,mid_region,mid_top_side,short_phase,short_wave_value,short_amplitude,short_x,short_y,short_region,short_top_side,top_wave_count,top_wave_pattern,centroid_x,centroid_y,centroid_y_offset,centroid_region,phase_alignment_score,alignment_threshold_asof,high_alignment_asof,max_pair_distance,convergence_score,convergence_threshold_asof,phase_convergence_asof,bullish,next_day_bullish
2026-06-27,056,INSUFFICIENT_HISTORY,1,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
2026-06-28,056,INSUFFICIENT_HISTORY,2,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-06-29,056,INSUFFICIENT_HISTORY,3,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-06-30,056,INSUFFICIENT_HISTORY,4,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-07-01,056,INSUFFICIENT_HISTORY,5,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-02,056,INSUFFICIENT_HISTORY,6,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-03,056,INSUFFICIENT_HISTORY,7,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-04,056,INSUFFICIENT_HISTORY,8,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-07-05,056,INSUFFICIENT_HISTORY,9,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
2026-07-06,056,INSUFFICIENT_HISTORY,10,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-07-07,056,INSUFFICIENT_HISTORY,11,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-07-08,056,INSUFFICIENT_HISTORY,12,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
2026-07-09,056,INSUFFICIENT_HISTORY,13,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-07-10,056,INSUFFICIENT_HISTORY,14,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-07-11,056,INSUFFICIENT_HISTORY,15,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-07-12,056,INSUFFICIENT_HISTORY,16,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-13,056,INSUFFICIENT_HISTORY,17,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True
2026-07-14,056,INSUFFICIENT_HISTORY,18,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
2026-07-15,056,INSUFFICIENT_HISTORY,19,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False
2026-07-16,056,INSUFFICIENT_HISTORY,20,,INSUFFICIENT_HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
2026-07-17,056,VALID,21,32,TRANSITION,2,0.0625,16.0,3,0.14481173653450913,6,0.1875,5.333333333333333,2,0.16522100795251884,14,0.4375,2.2857142857142856,1,0.19105538011551798,348.2162645209369,-9523.074004908503,8469.344664769971,290.4682419137303,235.6907431518631,BOTTOM,False,3.1809673550997104,-9032.561050728582,9046.499426517594,302.5552683947305,235.97835356322972,BOTTOM,False,334.18764106205833,-7624.31469389462,9728.089606989646,278.5802088869156,234.28458571559054,BOTTOM,False,0,NONE,290.53457306512547,235.31789414356112,45.31789414356112,BOTTOM,0.978767479737241,,,24.03481491347418,0.8907508413023901,,,False,True
2026-07-18,056,VALID,22,32,STABLE,2,0.0625,16.0,3,0.11503153413512765,6,0.1875,5.333333333333333,2,0.15870828958145755,14,0.4375,2.2857142857142856,1,0.2116314115333113,148.21644099623427,8416.64680658337,7299.887311030383,355.410830998381,100.57419185421429,TOP,True,75.69548811053755,-2118.540988781518,8574.47435183355,367.9204276014175,207.31839607979703,RIGHT,False,357.8484025447917,-7294.74081191606,9901.426416147668,298.2721458205867,235.990113944049,BOTTOM,False,1,LONG,340.5344681401284,181.29423395935342,-8.70576604064658,RIGHT,0.5036884482816176,,,146.97721353763404,0.331921756647118,,,True,True
