category,value,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
LONG_REGION,TOP,11,9,81.81818181818183,10,6,60.0
LONG_REGION,RIGHT,13,6,46.15384615384615,13,7,53.84615384615385
LONG_REGION,BOTTOM,9,4,44.44444444444444,9,6,66.66666666666666
LONG_REGION,LEFT,5,3,60.0,5,3,60.0
LONG_SIDE,TOP,18,13,72.22222222222221,17,9,52.94117647058824
LONG_SIDE,BOTTOM,20,9,45.0,20,13,65.0
MID_REGION,TOP,5,4,80.0,5,3,60.0
MID_REGION,RIGHT,7,3,42.857142857142854,7,6,85.71428571428571
MID_REGION,BOTTOM,15,7,46.666666666666664,14,6,42.857142857142854
MID_REGION,LEFT,11,8,72.72727272727273,11,7,63.63636363636363
MID_SIDE,TOP,14,11,78.57142857142857,14,11,78.57142857142857
MID_SIDE,BOTTOM,24,11,45.83333333333333,23,11,47.82608695652174
SHORT_REGION,TOP,9,7,77.77777777777779,9,2,22.22222222222222
SHORT_REGION,RIGHT,10,9,90.0,9,7,77.77777777777779
SHORT_REGION,BOTTOM,12,3,25.0,12,10,83.33333333333334
SHORT_REGION,LEFT,7,3,42.857142857142854,7,3,42.857142857142854
SHORT_SIDE,TOP,17,14,82.35294117647058,17,6,35.294117647058826
SHORT_SIDE,BOTTOM,21,8,38.095238095238095,20,16,80.0
CENTROID_REGION,TOP,14,12,85.71428571428571,14,8,57.14285714285714
CENTROID_REGION,RIGHT,10,5,50.0,9,6,66.66666666666666
CENTROID_REGION,BOTTOM,8,1,12.5,8,6,75.0
CENTROID_REGION,LEFT,6,4,66.66666666666666,6,2,33.33333333333333
TOP_WAVE_COUNT,0,7,1,14.285714285714285,7,6,85.71428571428571
TOP_WAVE_COUNT,1,18,9,50.0,17,9,52.94117647058824
TOP_WAVE_COUNT,2,8,7,87.5,8,4,50.0
TOP_WAVE_COUNT,3,5,5,100.0,5,3,60.0
TOP_WAVE_COUNT,2+,13,12,92.3076923076923,13,7,53.84615384615385
