category,value,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
STABLE,0,1,1,100.0,1,1,100.0
STABLE,1,9,6,66.66666666666666,9,4,44.44444444444444
STABLE,2,5,4,80.0,5,2,40.0
STABLE,3,3,2,66.66666666666666,2,1,50.0
STABLE,2+,8,6,75.0,7,3,42.857142857142854
TRANSITION,0,3,0,0.0,3,3,100.0
TRANSITION,1,5,1,20.0,5,4,80.0
TRANSITION,2,1,1,100.0,1,1,100.0
TRANSITION,3,1,1,100.0,1,0,0.0
TRANSITION,2+,2,2,100.0,2,1,50.0
UNSTABLE,0,3,0,0.0,3,2,66.66666666666666
UNSTABLE,1,6,2,33.33333333333333,6,1,16.666666666666664
UNSTABLE,2,2,2,100.0,2,1,50.0
UNSTABLE,3,2,2,100.0,2,2,100.0
UNSTABLE,2+,4,4,100.0,4,3,75.0
