machine,source_date,target_date,source_regime,source_n_fft,selected_support_level,support_samples,transform_samples,non_transform_samples,transform_probability,confidence,most_likely_transform_type,conditional_type_probability,selection_basis,geometry_distance_threshold,actual_transform,actual_transformation_type,actual_bullish,probability_bucket,status
056,2026-07-17,2026-07-18,TRANSITION,32,LEVEL_4,0,0,0,,LOW,,,same machine historical transformation records,0.35,True,ROLE_SWAP,True,NO_SUPPORT,WALK_FORWARD_VALIDATION
056,2026-07-18,2026-07-19,STABLE,32,LEVEL_4,1,1,0,1.0,LOW,ROLE_SWAP,1.0,same machine historical transformation records,0.35,True,ROTATION_PLUS_ROLE_SWAP,True,80-100%,WALK_FORWARD_VALIDATION
056,2026-07-19,2026-07-20,UNSTABLE,32,LEVEL_4,2,2,0,1.0,LOW,ROLE_SWAP,0.5,same machine historical transformation records,0.35,False,IDENTITY_STABLE,True,80-100%,WALK_FORWARD_VALIDATION
056,2026-07-20,2026-07-21,TRANSITION,32,LEVEL_4,3,2,1,0.6666666666666666,MEDIUM,ROLE_SWAP,0.5,same machine historical transformation records,0.35,True,ROLE_SWAP,True,60-80%,WALK_FORWARD_VALIDATION
056,2026-07-21,2026-07-22,TRANSITION,32,LEVEL_4,4,3,1,0.75,MEDIUM,ROLE_SWAP,0.6666666666666666,same machine historical transformation records,0.35,True,ROLE_SWAP,True,60-80%,WALK_FORWARD_VALIDATION
056,2026-07-22,2026-07-23,STABLE,32,LEVEL_4,5,4,1,0.8,MEDIUM,ROLE_SWAP,0.75,same machine historical transformation records,0.35,False,NO_CLEAR_TRANSFORM,False,80-100%,WALK_FORWARD_VALIDATION
056,2026-07-23,2026-07-24,TRANSITION,32,LEVEL_2,3,3,0,1.0,MEDIUM,ROLE_SWAP,1.0,same machine + same regime + same n_fft,0.35,False,IRREGULAR,False,80-100%,WALK_FORWARD_VALIDATION
056,2026-07-24,2026-07-25,UNSTABLE,32,LEVEL_4,7,4,3,0.5714285714285714,HIGH,ROLE_SWAP,0.75,same machine historical transformation records,0.35,False,IRREGULAR,False,40-60%,WALK_FORWARD_VALIDATION
056,2026-07-25,2026-07-26,UNSTABLE,32,LEVEL_4,8,4,4,0.5,HIGH,ROLE_SWAP,0.75,same machine historical transformation records,0.35,False,NO_CLEAR_TRANSFORM,False,40-60%,WALK_FORWARD_VALIDATION
056,2026-07-26,2026-07-27,UNSTABLE,32,LEVEL_2,3,0,3,0.0,MEDIUM,,,same machine + same regime + same n_fft,0.35,False,IRREGULAR,True,0-20%,WALK_FORWARD_VALIDATION
056,2026-07-27,2026-07-28,STABLE,32,LEVEL_4,10,4,6,0.4,HIGH,ROLE_SWAP,0.75,same machine historical transformation records,0.35,False,IDENTITY_STABLE,True,40-60%,WALK_FORWARD_VALIDATION
056,2026-07-28,2026-07-29,STABLE,32,LEVEL_2,3,1,2,0.3333333333333333,MEDIUM,ROTATION_PLUS_ROLE_SWAP,1.0,same machine + same regime + same n_fft,0.35,True,ROTATION_PLUS_ROLE_SWAP,False,20-40%,WALK_FORWARD_VALIDATION
056,2026-07-29,2026-07-30,UNSTABLE,64,LEVEL_3,4,0,4,0.0,MEDIUM,,,same machine + same regime,0.35,False,NO_CLEAR_TRANSFORM,False,0-20%,WALK_FORWARD_VALIDATION
056,2026-07-30,2026-07-31,UNSTABLE,64,LEVEL_3,5,0,5,0.0,MEDIUM,,,same machine + same regime,0.35,False,IRREGULAR,True,0-20%,WALK_FORWARD_VALIDATION
056,2026-07-31,2026-08-01,STABLE,64,LEVEL_3,4,2,2,0.5,MEDIUM,ROTATION_PLUS_ROLE_SWAP,1.0,same machine + same regime,0.35,True,ROLE_SWAP,True,40-60%,WALK_FORWARD_VALIDATION
056,2026-08-01,2026-08-02,STABLE,64,LEVEL_3,5,3,2,0.6,MEDIUM,ROTATION_PLUS_ROLE_SWAP,0.6666666666666666,same machine + same regime,0.35,False,NO_CLEAR_TRANSFORM,False,40-60%,WALK_FORWARD_VALIDATION
056,2026-08-02,2026-08-03,TRANSITION,64,LEVEL_3,4,3,1,0.75,MEDIUM,ROLE_SWAP,1.0,same machine + same regime,0.35,True,ROLE_SWAP,True,60-80%,WALK_FORWARD_VALIDATION
056,2026-08-03,2026-08-04,STABLE,64,LEVEL_3,6,3,3,0.5,HIGH,ROTATION_PLUS_ROLE_SWAP,0.6666666666666666,same machine + same regime,0.35,True,ROLE_SWAP,True,40-60%,WALK_FORWARD_VALIDATION
056,2026-08-04,2026-08-05,STABLE,64,LEVEL_2,3,2,1,0.6666666666666666,MEDIUM,ROLE_SWAP,1.0,same machine + same regime + same n_fft,0.35,True,ROTATION_PLUS_ROLE_SWAP,False,60-80%,WALK_FORWARD_VALIDATION
