category,value,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
LONG_REGION,TOP,15,11,73.33333333333333,15,6,40.0
LONG_REGION,RIGHT,15,6,40.0,15,8,53.333333333333336
LONG_REGION,BOTTOM,15,8,53.333333333333336,15,10,66.66666666666666
LONG_REGION,LEFT,16,7,43.75,15,7,46.666666666666664
LONG_SIDE,TOP,31,18,58.06451612903226,30,15,50.0
LONG_SIDE,BOTTOM,30,14,46.666666666666664,30,16,53.333333333333336
MID_REGION,TOP,13,9,69.23076923076923,13,9,69.23076923076923
MID_REGION,RIGHT,16,8,50.0,15,8,53.333333333333336
MID_REGION,BOTTOM,16,8,50.0,16,7,43.75
MID_REGION,LEFT,16,7,43.75,16,7,43.75
MID_SIDE,TOP,29,20,68.96551724137932,28,16,57.14285714285714
MID_SIDE,BOTTOM,32,12,37.5,32,15,46.875
SHORT_REGION,TOP,16,11,68.75,15,5,33.33333333333333
SHORT_REGION,RIGHT,15,8,53.333333333333336,15,9,60.0
SHORT_REGION,BOTTOM,16,5,31.25,16,11,68.75
SHORT_REGION,LEFT,14,8,57.14285714285714,14,6,42.857142857142854
SHORT_SIDE,TOP,31,20,64.51612903225806,30,13,43.333333333333336
SHORT_SIDE,BOTTOM,30,12,40.0,30,18,60.0
CENTROID_REGION,TOP,23,13,56.52173913043478,22,10,45.45454545454545
CENTROID_REGION,RIGHT,15,9,60.0,15,10,66.66666666666666
CENTROID_REGION,BOTTOM,8,2,25.0,8,6,75.0
CENTROID_REGION,LEFT,15,8,53.333333333333336,15,5,33.33333333333333
TOP_WAVE_COUNT,0,8,1,12.5,8,6,75.0
TOP_WAVE_COUNT,1,23,11,47.82608695652174,23,11,47.82608695652174
TOP_WAVE_COUNT,2,22,13,59.09090909090909,22,9,40.909090909090914
TOP_WAVE_COUNT,3,8,7,87.5,7,5,71.42857142857143
TOP_WAVE_COUNT,2+,30,20,66.66666666666666,29,14,48.275862068965516
