wave,phase_start,phase_end,samples,bullish_count,bullish_rate
wave1,0,45,7,3,42.857142857142854
wave1,45,90,8,4,50.0
wave1,90,135,7,3,42.857142857142854
wave1,135,180,8,6,75.0
wave1,180,225,8,7,87.5
wave1,225,270,7,6,85.71428571428571
wave1,270,315,8,3,37.5
wave1,315,360,8,3,37.5
wave2,0,45,7,5,71.42857142857143
wave2,45,90,6,0,0.0
wave2,90,135,8,7,87.5
wave2,135,180,8,6,75.0
wave2,180,225,8,6,75.0
wave2,225,270,8,3,37.5
wave2,270,315,8,4,50.0
wave2,315,360,8,4,50.0
wave3,0,45,7,0,0.0
wave3,45,90,8,5,62.5
wave3,90,135,7,5,71.42857142857143
wave3,135,180,8,6,75.0
wave3,180,225,8,6,75.0
wave3,225,270,7,4,57.14285714285714
wave3,270,315,8,5,62.5
wave3,315,360,8,4,50.0
