n_fft,top_wave_pattern,samples,bullish_rate,next_day_samples,next_day_bullish_rate
32,NONE,2,50.0,2,50.0
32,LONG,1,0.0,1,0.0
32,MID,2,50.0,2,50.0
32,SHORT,2,0.0,2,0.0
32,LONG+MID,2,50.0,2,50.0
32,LONG+SHORT,1,0.0,1,100.0
32,MID+SHORT,2,50.0,2,0.0
32,LONG+MID+SHORT,0,,0,
64,NONE,2,50.0,2,50.0
64,LONG,5,20.0,5,80.0
64,MID,3,0.0,3,33.33333333333333
64,SHORT,2,0.0,2,0.0
64,LONG+MID,3,66.66666666666666,3,33.33333333333333
64,LONG+SHORT,2,100.0,2,50.0
64,MID+SHORT,4,100.0,3,33.33333333333333
64,LONG+MID+SHORT,4,50.0,4,75.0
